% time	cellId	IMSI	RNTI	layer	mcs	size	rv	ndi	correct	ccId
264	1	0	1	0	0	19	0	1	1	0
279	1	0	1	0	0	85	0	1	1	0
295	1	0	1	0	28	2292	0	1	1	0
296	1	0	1	0	28	2292	0	1	1	0
297	1	0	1	0	28	2292	0	1	1	0
298	1	0	1	0	28	2292	0	1	1	0
299	1	0	1	0	28	2292	0	1	1	0
300	1	0	1	0	28	2292	0	1	1	0
301	1	0	1	0	28	2292	0	1	1	0
302	1	0	1	0	28	2292	0	1	1	0
303	1	0	1	0	28	2292	0	1	1	0
304	1	0	1	0	28	2292	0	1	1	0
305	1	0	1	0	28	2292	0	1	1	0
306	1	0	1	0	28	2292	0	1	1	0
307	1	0	1	0	28	2292	0	1	1	0
308	1	0	1	0	28	2292	0	1	1	0
309	1	0	1	0	28	2292	0	1	1	0
310	1	0	1	0	28	2292	0	1	1	0
311	1	0	1	0	28	2292	0	1	1	0
312	1	0	1	0	28	2292	0	1	1	0
313	1	0	1	0	28	2292	0	1	1	0
314	1	0	1	0	28	2292	0	1	1	0
315	1	0	1	0	28	2292	0	1	1	0
316	1	0	1	0	28	2292	0	1	1	0
317	1	0	1	0	28	2292	0	1	1	0
318	1	0	1	0	28	2292	0	1	1	0
319	1	0	1	0	28	2292	0	1	1	0
320	1	0	1	0	28	2292	0	1	1	0
321	1	0	1	0	28	2292	0	1	1	0
322	1	0	1	0	28	2292	0	1	1	0
323	1	0	1	0	28	2292	0	1	1	0
324	1	0	1	0	28	2292	0	1	1	0
325	1	0	1	0	28	2292	0	1	1	0
326	1	0	1	0	28	2292	0	1	1	0
327	1	0	1	0	28	2292	0	1	1	0
328	1	0	1	0	28	2292	0	1	1	0
329	1	0	1	0	28	2292	0	1	1	0
330	1	0	1	0	28	2292	0	1	1	0
331	1	0	1	0	28	2292	0	1	1	0
332	1	0	1	0	28	2292	0	1	1	0
333	1	0	1	0	28	2292	0	1	1	0
334	1	0	1	0	28	2292	0	1	1	0
335	1	0	1	0	28	2292	0	1	1	0
336	1	0	1	0	28	2292	0	1	1	0
337	1	0	1	0	28	2292	0	1	1	0
338	1	0	1	0	28	2292	0	1	1	0
339	1	0	1	0	28	2292	0	1	1	0
340	1	0	1	0	28	2292	0	1	1	0
341	1	0	1	0	28	2292	0	1	1	0
342	1	0	1	0	28	2292	0	1	1	0
343	1	0	1	0	28	2292	0	1	1	0
344	1	0	1	0	28	2292	0	1	1	0
345	1	0	1	0	28	2292	0	1	1	0
346	1	0	1	0	28	2292	0	1	1	0
347	1	0	1	0	28	2292	0	1	1	0
348	1	0	1	0	28	2292	0	1	1	0
349	1	0	1	0	28	2292	0	1	1	0
350	1	0	1	0	28	2292	0	1	1	0
351	1	0	1	0	28	2292	0	1	1	0
352	1	0	1	0	28	2292	0	1	1	0
353	1	0	1	0	28	2292	0	1	1	0
354	1	0	1	0	28	2292	0	1	1	0
355	1	0	1	0	28	2292	0	1	1	0
356	1	0	1	0	28	2292	0	1	1	0
357	1	0	1	0	28	2292	0	1	1	0
358	1	0	1	0	28	2292	0	1	1	0
359	1	0	1	0	28	2292	0	1	1	0
360	1	0	1	0	28	2292	0	1	1	0
361	1	0	1	0	28	2292	0	1	1	0
362	1	0	1	0	28	2292	0	1	1	0
363	1	0	1	0	28	2292	0	1	1	0
364	1	0	1	0	28	2292	0	1	1	0
365	1	0	1	0	28	2292	0	1	1	0
366	1	0	1	0	28	2292	0	1	1	0
367	1	0	1	0	28	2292	0	1	1	0
368	1	0	1	0	28	2292	0	1	1	0
369	1	0	1	0	28	2292	0	1	1	0
370	1	0	1	0	28	2292	0	1	1	0
371	1	0	1	0	28	2292	0	1	1	0
372	1	0	1	0	28	2292	0	1	1	0
373	1	0	1	0	28	2292	0	1	1	0
374	1	0	1	0	28	2292	0	1	1	0
375	1	0	1	0	28	2292	0	1	1	0
376	1	0	1	0	28	2292	0	1	1	0
377	1	0	1	0	28	2292	0	1	1	0
378	1	0	1	0	28	2292	0	1	1	0
379	1	0	1	0	28	2292	0	1	1	0
380	1	0	1	0	28	2292	0	1	1	0
381	1	0	1	0	28	2292	0	1	1	0
382	1	0	1	0	28	2292	0	1	1	0
383	1	0	1	0	28	2292	0	1	1	0
384	1	0	1	0	28	2292	0	1	1	0
385	1	0	1	0	28	2292	0	1	1	0
386	1	0	1	0	28	2292	0	1	1	0
387	1	0	1	0	28	2292	0	1	1	0
388	1	0	1	0	28	2292	0	1	1	0
389	1	0	1	0	28	2292	0	1	1	0
