% time	cellId	IMSI	RNTI	sinrLinear	componentCarrierId
0.281	1	1	1	8804.96	0
0.321	1	1	1	8804.96	0
0.361	1	1	1	8804.96	0
0.401	1	1	1	9.86064e-07	0
0.441	1	1	1	9.86064e-07	0
0.481	1	1	1	9.86064e-07	0
0.521	1	1	1	9.86064e-07	0
0.561	1	1	1	9.86064e-07	0
0.601	1	1	1	9.86064e-07	0
0.641	1	1	1	9.86064e-07	0
0.681	1	1	1	9.86064e-07	0
0.721	1	1	1	9.86064e-07	0
0.761	1	1	1	9.86064e-07	0
0.801	1	1	1	9.86064e-07	0
0.841	1	1	1	9.86064e-07	0
0.881	1	1	1	9.86064e-07	0
0.921	1	1	1	9.86064e-07	0
0.961	1	1	1	9.86064e-07	0
1.001	1	1	1	9.86064e-07	0
1.041	1	1	1	9.86064e-07	0
1.081	1	1	1	9.86064e-07	0
1.121	1	1	1	9.86064e-07	0
1.161	1	1	1	9.86064e-07	0
1.201	1	1	1	9.86064e-07	0
1.241	1	1	1	9.86064e-07	0
1.281	1	1	1	9.86064e-07	0
1.321	1	1	1	9.86064e-07	0
1.361	1	1	1	9.86064e-07	0
1.401	1	1	1	9.86064e-07	0
1.441	1	1	1	9.86064e-07	0
1.481	1	1	1	9.86064e-07	0
1.521	1	1	1	9.86064e-07	0
1.561	1	1	1	9.86064e-07	0
1.641	2	1	1	8237.03	0
1.681	2	1	1	8237.03	0
1.721	2	1	1	8237.03	0
1.761	2	1	1	8237.03	0
1.801	2	1	1	8237.03	0
1.841	2	1	1	8237.03	0
1.881	2	1	1	8237.03	0
1.921	2	1	1	8237.03	0
1.961	2	1	1	8237.03	0
