Waf: Entering directory `/home/synrg-sc1/Desktop/Jiaming/ns-3.29-mesh/build'
Waf: Leaving directory `/home/synrg-sc1/Desktop/Jiaming/ns-3.29-mesh/build'
Build commands will be stored in build/compile_commands.json
'build' finished successfully (4.169s)
CreateVariables () DONE !!!
Creating 11 APs 50.00 m apart.
CreateApNodes () DONE !!!
Creating 0 CLs 20.00 m away from each AP.
CreateClNodes () DONE !!!
CreateNodes () DONE !!!
CreateMeshDevices () DONE !!!
CreateWifiDevices () DONE !!!
CreateCsmaDevices () DONE !!!
CreateDevices () DONE !!!
InstallMeshInternetStack () DONE !!!
InstallWifiInternetStack () DONE !!!
InstallCsmaInternetStack () DONE !!!
InstallInternetStack () DONE !!!
Gateway is connect to AP 0
InstallApplications () DONE !!!
Starting simulation for 40.00 s ...
-------------------------------------------------
Time[s]	ap-0	ap-1	ap-2	ap-3	ap-4	ap-5	ap-6	ap-7	ap-8	ap-9	ap-10
2.00	86.45	71.19	42.60	6.11	7.24	6.91	6.36	2.20	6.74	6.46	0.00
3.00	86.79	71.53	42.91	10.58	6.38	5.05	7.03	0.70	6.52	6.42	0.00
4.00	86.78	71.53	42.92	10.37	6.47	6.05	6.42	0.76	6.04	7.14	0.00
5.00	86.79	71.53	42.91	11.47	7.47	6.42	6.91	0.97	5.92	5.13	0.00
6.00	86.79	71.53	42.91	11.47	6.38	5.47	7.36	0.62	6.86	6.70	0.00
7.00	86.78	71.53	42.92	8.54	5.28	6.21	5.67	0.37	6.83	3.91	0.00
8.00	86.79	71.53	42.91	8.37	4.51	6.40	5.96	0.17	6.09	5.35	0.00
9.00	86.78	71.53	42.91	9.14	4.96	5.48	5.83	0.29	6.41	4.94	0.00
10.00	86.79	71.53	42.92	9.58	5.59	5.11	5.94	0.10	6.28	5.50	0.00
11.00	86.79	71.52	42.91	8.60	4.65	6.05	6.14	0.28	5.79	6.60	0.00
12.00	86.78	71.53	42.91	9.34	5.01	3.12	6.22	1.99	5.68	6.54	0.00
13.00	86.79	71.53	42.92	10.49	6.86	0.74	6.37	6.51	7.06	6.75	0.00
14.00	86.78	71.53	42.91	11.38	6.74	0.72	4.96	6.63	6.70	7.82	0.00
15.00	86.79	71.53	42.91	10.43	6.79	0.56	5.97	6.19	6.56	8.39	0.00
16.00	86.79	71.53	42.92	10.65	6.24	0.90	7.74	6.10	6.64	7.38	0.00
17.00	86.78	71.53	42.91	10.32	6.97	2.49	5.24	5.56	6.63	7.57	0.00
18.00	86.79	71.53	42.91	6.31	7.03	5.47	0.00	1.09	7.18	6.37	0.00
19.00	86.79	71.53	42.92	6.29	5.73	6.30	1.82	1.26	6.13	5.67	0.00
20.00	86.78	71.53	42.91	5.71	5.57	5.77	6.50	0.83	6.12	4.64	0.00
21.00	86.79	71.52	42.91	4.96	6.96	3.91	6.88	1.22	4.20	5.15	0.00
22.00	86.78	71.53	42.92	6.46	7.00	0.00	7.17	1.20	5.83	6.15	0.00
23.00	86.79	71.53	42.91	6.51	7.32	0.00	5.38	0.71	7.39	6.36	0.00
24.00	86.79	71.53	42.91	6.58	7.37	0.00	6.52	0.29	7.41	7.51	0.00
25.00	86.78	71.53	42.92	7.00	5.59	0.00	6.45	0.13	7.32	7.27	0.00
26.00	86.79	71.53	42.91	6.10	7.84	0.00	5.26	0.25	8.32	6.66	0.00
27.00	86.78	71.53	42.91	7.09	6.51	0.00	7.37	0.20	5.66	8.37	0.00
28.00	86.79	71.53	42.92	12.06	6.97	0.00	6.72	5.23	8.25	7.31	0.00
29.00	86.79	71.53	42.91	14.15	7.36	0.00	6.96	7.10	9.25	7.67	0.00
30.00	86.78	71.53	42.91	13.86	7.74	0.00	5.06	8.70	8.49	8.91	0.00
31.00	86.79	71.52	42.92	13.39	6.94	0.00	7.05	7.78	9.20	8.78	0.00
32.00	86.79	71.53	42.91	12.83	7.59	0.00	7.55	8.69	6.29	9.27	0.00
33.00	86.78	71.53	42.91	12.26	7.27	0.00	7.77	3.85	8.62	7.49	0.00
34.00	86.79	71.53	42.92	12.78	7.08	0.00	7.27	0.36	8.93	8.11	0.00
35.00	86.78	71.53	42.91	12.76	8.01	0.00	7.17	0.27	9.03	6.96	0.00
36.00	86.79	71.53	42.92	12.43	8.03	0.00	6.61	0.40	7.72	8.38	0.00
37.00	86.79	71.53	42.91	12.42	6.66	0.00	7.86	0.54	7.63	8.27	0.00
38.00	86.78	71.53	42.91	12.47	7.23	0.00	6.49	1.29	8.24	5.64	0.00
39.00	86.79	71.53	42.92	12.47	7.14	0.00	7.49	7.13	8.39	1.10	0.00
