Waf: Entering directory `/home/synrg/Desktop/Jiaming/sp2019-ns3-mesh/build'
Waf: Leaving directory `/home/synrg/Desktop/Jiaming/sp2019-ns3-mesh/build'
Build commands will be stored in build/compile_commands.json
'build' finished successfully (4.795s)
CreateVariables () DONE !!!
Creating 11 APs 50.00 m apart.
CreateApNodes () DONE !!!
Creating 0 CLs 20.00 m away from each AP.
CreateClNodes () DONE !!!
CreateNodes () DONE !!!
CreateMeshDevices () DONE !!!
CreateWifiDevices () DONE !!!
CreateCsmaDevices () DONE !!!
CreateDevices () DONE !!!
InstallMeshInternetStack () DONE !!!
InstallWifiInternetStack () DONE !!!
InstallCsmaInternetStack () DONE !!!
InstallInternetStack () DONE !!!
Gateway is connect to AP 0
InstallApplications () DONE !!!
Starting simulation for 30.00 s ...
-------------------------------------------------
Time[s]	ap-0	ap-1	ap-2	ap-3	ap-4	ap-5	ap-6	ap-7	ap-8	ap-9	ap-10
2.00	83.27	86.63	4.11	5.82	2.79	0.37	5.46	1.30	5.91	5.55	0.00
3.00	83.93	86.79	4.68	6.48	5.74	0.72	6.12	0.28	5.66	4.75	0.00
4.00	83.93	86.78	6.12	6.77	4.80	0.64	5.39	0.15	5.18	4.40	1.71
5.00	83.93	86.79	4.73	4.65	5.14	0.25	3.45	0.22	4.20	5.05	6.32
6.00	83.93	86.79	4.83	4.57	5.09	0.29	4.10	0.29	4.60	5.42	6.10
7.00	83.91	86.78	5.36	4.85	1.58	5.57	6.49	1.35	3.83	5.27	2.65
8.00	83.93	86.79	4.96	5.05	0.00	7.48	5.93	0.83	5.68	5.09	0.06
9.00	83.93	86.78	5.59	5.93	0.90	6.67	5.20	0.30	4.16	4.71	0.03
10.00	83.93	86.79	4.96	5.09	0.98	8.36	3.89	0.42	5.28	4.54	0.04
11.00	83.93	86.79	5.57	4.16	0.86	7.97	5.26	0.60	4.45	4.22	0.01
12.00	83.93	86.78	2.48	4.56	0.97	7.31	3.43	0.31	5.21	4.21	2.25
13.00	83.91	86.79	0.43	4.40	1.00	3.92	0.12	0.13	4.53	4.83	5.35
14.00	83.93	86.78	0.54	5.35	0.38	4.29	0.29	0.16	4.81	6.04	4.50
15.00	83.93	86.79	0.40	4.99	3.94	4.11	0.18	0.21	4.03	5.68	4.48
16.00	83.93	86.79	0.55	4.27	5.66	4.50	0.24	0.20	4.25	5.24	4.26
17.00	83.93	86.78	1.12	3.95	4.74	5.04	0.26	0.16	3.36	5.01	4.02
18.00	83.93	86.79	5.58	4.63	5.56	7.87	0.18	0.71	4.22	4.10	1.06
19.00	83.91	86.79	4.12	5.95	5.39	6.69	0.43	0.44	5.19	4.03	0.98
20.00	83.93	86.78	4.31	5.41	3.16	6.11	0.40	0.44	5.44	3.50	0.99
21.00	83.93	86.79	4.81	4.40	3.43	6.20	0.27	0.37	4.85	4.32	1.15
22.00	83.93	86.78	4.40	4.12	3.68	5.11	0.29	0.79	5.68	3.44	0.80
23.00	83.93	86.79	2.29	5.00	2.30	7.18	4.68	3.99	0.60	3.46	3.46
24.00	83.93	86.79	2.64	5.45	2.09	6.13	4.02	4.09	1.07	2.92	5.08
25.00	83.93	86.78	3.57	4.74	2.88	5.42	4.73	4.78	0.85	4.18	4.73
26.00	83.91	86.79	6.11	4.85	4.02	7.48	5.87	5.33	3.77	4.36	4.56
27.00	83.93	86.78	5.01	4.60	5.49	8.24	7.56	4.48	5.23	5.27	4.50
28.00	83.93	86.79	3.89	5.74	4.89	8.60	8.47	5.67	4.37	4.42	4.67
29.00	83.93	86.79	4.82	4.28	4.04	8.33	8.38	6.27	3.77	5.58	5.28
