Waf: Entering directory `/home/synrg/Desktop/Jiaming/sp2019-ns3-mesh/build'
Waf: Leaving directory `/home/synrg/Desktop/Jiaming/sp2019-ns3-mesh/build'
Build commands will be stored in build/compile_commands.json
'build' finished successfully (4.787s)
CreateVariables () DONE !!!
Creating 13 APs 50.00 m apart.
CreateApNodes () DONE !!!
Creating 0 CLs 20.00 m away from each AP.
CreateClNodes () DONE !!!
CreateNodes () DONE !!!
CreateMeshDevices () DONE !!!
CreateWifiDevices () DONE !!!
CreateCsmaDevices () DONE !!!
CreateDevices () DONE !!!
InstallMeshInternetStack () DONE !!!
InstallWifiInternetStack () DONE !!!
InstallCsmaInternetStack () DONE !!!
InstallInternetStack () DONE !!!
Gateway is connect to AP 0
InstallApplications () DONE !!!
Starting simulation for 30.00 s ...
-------------------------------------------------
Time[s]	ap-0	ap-1	ap-2	ap-3	ap-4	ap-5	ap-6	ap-7	ap-8	ap-9	ap-10	ap-11	ap-12
2.00	74.03	52.05	7.96	8.66	6.29	9.11	1.68	5.91	0.00	0.00	0.00	0.00	0.00
3.00	74.39	52.46	8.09	8.33	5.51	8.68	0.00	5.03	0.00	0.00	3.26	0.03	0.00
4.00	74.38	52.45	6.37	5.84	4.36	8.61	0.00	3.94	4.87	0.00	3.98	0.08	0.01
5.00	74.39	52.46	6.82	7.02	3.81	5.20	0.00	3.87	5.32	0.00	4.03	0.13	0.01
6.00	74.39	52.45	6.18	8.10	4.21	7.96	0.00	4.59	4.47	0.00	3.43	0.09	0.00
7.00	74.38	52.46	7.82	6.52	3.43	5.85	1.75	4.66	4.31	0.00	3.80	1.95	0.16
8.00	74.39	52.45	4.94	4.87	4.00	0.00	3.34	4.68	3.63	0.00	3.76	3.09	0.26
9.00	74.39	52.46	5.68	6.05	3.62	0.00	4.85	3.84	4.11	0.00	3.36	3.10	3.99
10.00	74.38	52.45	6.41	6.08	3.28	0.00	4.13	4.04	4.30	0.00	3.85	3.65	3.59
11.00	74.39	52.46	5.95	6.56	4.90	0.51	4.21	4.75	4.39	0.00	3.02	4.75	3.16
12.00	74.39	52.45	4.37	5.12	2.99	6.03	2.89	1.66	0.53	0.13	0.73	0.47	1.90
13.00	74.38	52.46	5.04	2.29	3.89	6.74	2.85	1.98	0.13	0.35	0.02	0.11	1.47
14.00	74.39	52.45	4.31	2.82	2.61	6.01	1.00	2.66	1.13	0.66	0.86	0.36	1.08
15.00	74.39	52.46	0.18	6.57	5.46	3.83	0.00	0.86	0.37	0.81	0.49	2.68	1.24
16.00	74.38	52.45	0.09	6.72	5.32	8.03	0.00	0.29	5.94	0.98	1.26	2.83	1.92
17.00	74.39	52.46	0.22	6.50	4.94	8.29	0.00	0.70	3.04	0.60	0.56	4.49	1.20
18.00	74.39	52.45	0.15	6.56	5.19	7.73	0.00	0.90	5.17	0.90	0.79	4.35	1.90
19.00	74.38	52.46	0.06	6.97	4.91	7.87	0.00	0.73	3.76	0.53	0.79	4.42	1.50
20.00	74.39	52.45	4.86	6.27	4.65	6.57	0.00	0.09	3.50	0.61	0.82	4.07	2.28
21.00	74.39	52.46	6.87	6.12	4.62	6.61	0.00	0.01	2.86	0.69	0.63	3.00	2.75
22.00	74.38	52.45	5.11	7.52	4.83	6.48	0.00	0.22	0.74	0.00	0.01	4.02	0.47
23.00	74.39	52.46	6.23	7.50	5.09	5.53	0.00	0.27	0.51	0.00	0.00	4.37	0.29
24.00	74.39	52.45	5.78	4.57	5.36	5.62	1.89	0.36	0.63	0.00	0.00	3.81	0.36
25.00	74.38	52.46	5.97	2.90	5.97	6.46	4.67	0.29	0.00	0.00	0.00	3.94	0.39
26.00	74.39	52.45	7.97	0.39	3.99	5.62	4.62	1.25	0.00	0.00	0.10	4.27	0.33
27.00	74.39	52.46	6.87	0.46	2.30	7.46	3.78	4.58	0.00	0.00	0.09	3.65	0.15
28.00	74.38	52.45	7.66	0.28	5.29	7.48	3.56	3.47	0.00	0.00	0.16	4.09	0.11
29.00	74.39	52.46	7.20	0.48	5.81	6.82	3.08	2.76	0.00	0.00	0.13	3.90	0.31
