Waf: Entering directory `/home/synrg-sc1/Desktop/Jiaming/ns-3.29-mesh/build'
Waf: Leaving directory `/home/synrg-sc1/Desktop/Jiaming/ns-3.29-mesh/build'
Build commands will be stored in build/compile_commands.json
'build' finished successfully (4.318s)
CreateVariables () DONE !!!
Creating 13 APs 50.00 m apart.
CreateApNodes () DONE !!!
Creating 0 CLs 20.00 m away from each AP.
CreateClNodes () DONE !!!
CreateNodes () DONE !!!
CreateMeshDevices () DONE !!!
CreateWifiDevices () DONE !!!
CreateCsmaDevices () DONE !!!
CreateDevices () DONE !!!
InstallMeshInternetStack () DONE !!!
InstallWifiInternetStack () DONE !!!
InstallCsmaInternetStack () DONE !!!
InstallInternetStack () DONE !!!
Gateway is connect to AP 0
InstallApplications () DONE !!!
Starting simulation for 40.00 s ...
-------------------------------------------------
Time[s]	ap-0	ap-1	ap-2	ap-3	ap-4	ap-5	ap-6	ap-7	ap-8	ap-9	ap-10	ap-11	ap-12
2.00	58.97	0.00	0.00	0.16	1.36	0.07	1.49	0.00	3.17	4.98	0.00	5.14	3.48
3.00	59.13	0.00	0.00	0.91	4.25	1.03	0.52	3.84	5.45	3.86	0.00	4.22	3.36
4.00	59.13	0.00	0.18	0.72	6.10	0.79	0.35	2.84	5.13	3.95	4.35	2.59	3.17
5.00	59.13	0.00	0.46	0.43	6.36	0.74	0.44	2.79	4.77	4.23	4.59	3.44	2.80
6.00	59.13	0.00	0.44	0.72	4.62	0.62	1.74	2.41	3.75	3.16	4.89	3.41	1.98
7.00	59.13	0.00	0.20	0.12	5.81	0.81	2.55	4.01	1.71	3.25	4.69	4.55	1.73
8.00	59.13	0.00	0.00	0.00	7.84	0.01	5.13	2.28	0.79	1.94	2.29	4.51	0.30
9.00	59.13	0.00	0.00	0.00	7.32	0.00	3.84	0.74	0.84	1.03	0.73	4.08	0.83
10.00	59.13	0.00	0.00	0.00	7.24	0.00	5.54	0.73	1.03	0.81	0.91	6.02	1.29
11.00	59.13	0.00	0.00	0.00	7.14	0.00	5.60	0.81	1.29	1.46	0.93	3.93	1.18
12.00	59.13	0.00	0.00	0.00	6.19	0.00	5.54	0.88	1.02	0.93	0.76	4.54	0.94
13.00	59.13	0.24	0.00	0.00	5.93	0.00	3.16	0.46	0.48	1.36	2.72	2.57	1.25
14.00	59.13	1.35	0.00	0.00	5.19	0.00	0.94	0.51	6.04	4.05	4.35	0.30	3.69
15.00	59.13	1.48	0.00	0.00	5.21	0.00	0.74	0.44	5.26	4.37	5.69	0.37	2.94
16.00	59.13	0.28	0.00	0.00	8.22	0.00	1.11	0.60	6.72	5.59	5.73	0.63	3.96
17.00	59.13	0.00	0.00	0.00	6.85	0.00	1.15	0.81	5.63	4.57	5.32	0.51	3.81
18.00	59.13	0.00	0.01	0.00	8.49	0.00	1.04	0.57	6.30	3.46	5.67	0.17	2.90
19.00	59.13	0.00	0.91	0.00	6.74	0.00	0.16	0.15	7.01	0.18	6.82	0.74	2.74
20.00	59.13	0.00	1.33	0.00	6.36	0.00	0.09	0.08	5.47	0.24	5.75	4.00	4.60
21.00	59.13	0.00	0.79	0.00	6.83	0.00	0.20	0.12	6.55	0.15	5.65	4.44	3.85
22.00	59.13	0.00	0.00	0.00	7.49	0.00	0.09	0.12	5.99	0.20	6.14	3.76	5.20
23.00	59.13	0.00	0.00	0.00	5.40	0.00	0.71	0.12	5.49	0.11	6.51	4.18	4.40
24.00	59.13	0.00	0.00	0.00	0.19	0.00	3.93	4.36	5.85	0.90	4.11	3.69	2.99
25.00	59.12	0.00	0.00	0.00	0.10	0.00	5.68	3.12	4.94	1.15	4.90	0.08	2.92
26.00	59.13	0.00	0.00	0.00	0.13	0.00	3.36	3.93	5.65	1.21	5.00	0.08	3.19
27.00	59.13	0.00	0.00	0.00	0.16	0.00	4.91	5.03	4.90	1.16	4.72	0.37	3.19
28.00	59.13	0.00	0.00	0.00	5.37	0.00	3.53	4.08	4.59	1.54	1.11	1.02	4.04
29.00	59.13	0.00	0.00	0.00	6.64	0.00	0.67	1.10	4.60	4.89	0.10	0.06	3.11
30.00	59.13	0.00	0.00	0.00	6.30	0.00	1.11	0.58	5.68	4.82	0.10	3.78	3.85
31.00	59.13	0.00	0.00	0.00	7.58	0.00	1.12	0.54	5.99	4.31	0.20	3.20	3.60
32.00	59.13	0.00	0.00	0.00	6.76	0.00	0.95	0.58	6.05	4.37	0.17	4.41	3.07
33.00	59.13	0.00	0.00	0.00	7.78	0.00	1.03	0.47	4.96	4.25	4.32	3.35	3.37
34.00	59.13	0.00	0.00	0.00	6.95	0.00	0.34	0.84	6.26	5.19	5.86	4.40	1.22
35.00	59.13	0.00	0.00	0.00	5.35	0.00	0.91	1.11	6.06	3.11	3.25	1.62	3.27
36.00	59.13	1.42	0.28	0.00	5.41	0.00	0.17	0.82	5.02	5.13	4.48	0.00	2.88
37.00	59.13	1.11	0.67	0.00	7.28	0.00	0.24	0.64	5.00	5.00	3.65	0.00	2.92
38.00	59.13	1.26	0.58	0.00	4.05	0.00	3.37	0.54	5.37	4.27	2.26	0.00	3.09
39.00	59.13	0.45	0.52	0.00	5.17	0.00	4.60	0.34	4.57	4.41	0.13	0.00	3.29
