Waf: Entering directory `/home/synrg/Desktop/Jiaming/sp2019-ns3-mesh/build'
Waf: Leaving directory `/home/synrg/Desktop/Jiaming/sp2019-ns3-mesh/build'
Build commands will be stored in build/compile_commands.json
'build' finished successfully (4.502s)
CreateVariables () DONE !!!
Creating 15 APs 50.00 m apart.
CreateApNodes () DONE !!!
Creating 0 CLs 20.00 m away from each AP.
CreateClNodes () DONE !!!
CreateNodes () DONE !!!
CreateMeshDevices () DONE !!!
CreateWifiDevices () DONE !!!
CreateCsmaDevices () DONE !!!
CreateDevices () DONE !!!
InstallMeshInternetStack () DONE !!!
InstallWifiInternetStack () DONE !!!
InstallCsmaInternetStack () DONE !!!
InstallInternetStack () DONE !!!
Gateway is connect to AP 0
InstallApplications () DONE !!!
Starting simulation for 30.00 s ...
-------------------------------------------------
Time[s]	ap-0	ap-1	ap-2	ap-3	ap-4	ap-5	ap-6	ap-7	ap-8	ap-9	ap-10	ap-11	ap-12	ap-13	ap-14
2.00	44.79	36.14	36.06	5.81	1.47	0.00	2.25	1.44	6.58	4.51	5.38	0.00	4.92	4.84	3.68
3.00	44.82	36.24	36.24	5.05	3.13	0.00	4.25	3.31	7.41	5.47	4.93	0.00	5.41	5.10	4.95
4.00	44.82	36.24	36.24	4.84	3.78	0.62	4.37	2.89	6.96	4.51	3.82	2.44	4.67	5.72	4.13
5.00	44.82	36.24	36.24	4.86	2.89	3.46	3.20	3.38	6.78	3.94	3.23	2.04	5.06	5.48	4.67
6.00	44.82	36.24	36.24	5.72	3.39	3.98	4.19	3.32	7.15	2.79	3.00	3.13	5.37	4.04	3.92
7.00	44.82	36.24	36.24	6.05	2.27	3.81	2.41	2.19	5.47	3.57	3.08	1.94	6.48	2.37	3.84
8.00	44.83	36.24	36.24	5.62	2.66	3.08	0.21	0.00	6.82	3.39	4.25	3.14	5.24	2.46	3.77
9.00	44.82	36.24	36.24	5.04	2.80	2.96	0.19	1.10	4.85	3.68	3.18	2.71	3.84	5.81	3.01
10.00	44.82	36.24	36.24	4.91	3.65	4.66	0.17	0.12	4.74	1.82	2.98	2.30	5.51	5.46	3.13
11.00	44.82	36.24	36.23	5.51	2.98	3.13	0.09	0.11	6.14	3.50	3.83	3.04	3.98	4.30	2.35
12.00	44.82	36.23	36.24	4.41	3.14	3.16	0.62	0.28	4.21	3.07	2.56	3.17	4.93	3.91	2.29
13.00	44.83	36.24	36.24	2.34	2.85	3.81	2.91	0.20	0.00	2.93	0.18	3.53	4.38	4.77	2.03
14.00	44.82	36.24	36.24	3.27	3.13	3.80	3.20	1.79	0.00	3.37	0.11	3.49	4.59	5.13	2.72
15.00	44.82	36.24	36.24	2.99	2.79	3.59	2.76	3.67	0.00	3.14	0.08	2.79	5.01	3.66	3.82
16.00	44.82	36.24	36.24	2.67	3.80	2.37	3.64	3.86	0.00	2.59	0.19	3.40	4.19	5.19	3.38
17.00	44.82	36.24	36.24	3.85	3.14	3.68	2.83	3.07	0.56	2.99	0.20	2.72	4.54	4.27	2.92
18.00	44.82	36.24	36.24	4.87	4.14	1.16	2.63	2.64	4.78	4.27	3.47	0.12	4.87	4.04	2.95
19.00	44.83	36.24	36.24	5.11	2.49	0.22	0.02	0.11	0.28	0.13	0.37	0.17	4.41	0.08	0.17
20.00	44.82	36.24	36.24	3.57	1.06	0.09	0.00	0.03	0.49	0.06	0.24	0.17	4.00	0.13	0.15
21.00	44.82	36.24	36.24	4.87	0.00	0.18	0.09	0.12	0.35	0.08	0.36	0.06	3.85	0.12	0.10
22.00	44.82	36.24	36.24	5.39	0.00	0.09	0.11	0.04	0.47	0.10	0.29	0.06	4.59	0.17	0.13
23.00	44.82	36.23	36.23	4.32	0.00	0.11	0.07	0.08	0.85	0.09	0.12	0.11	3.38	0.25	0.31
24.00	44.82	36.24	36.24	6.11	0.00	0.81	3.05	0.22	0.64	3.84	3.98	2.46	5.09	5.75	3.74
25.00	44.83	36.24	36.24	5.54	0.00	3.69	3.66	0.29	0.21	2.93	4.69	3.53	6.32	7.19	2.90
26.00	44.82	36.24	36.24	6.82	0.00	3.82	2.77	0.40	0.28	2.45	4.49	3.55	5.95	6.14	3.66
27.00	44.82	36.24	36.24	5.72	0.00	4.38	3.27	0.25	0.36	3.84	3.13	3.99	5.99	7.02	2.30
28.00	44.82	36.24	36.24	5.84	0.00	3.23	3.71	0.26	0.31	3.37	2.91	3.29	6.69	6.15	2.62
29.00	44.82	36.24	36.24	3.77	0.00	2.90	3.13	0.36	4.64	3.18	3.41	1.83	0.42	5.36	0.80
