Waf: Entering directory `/home/synrg-sc1/Desktop/Jiaming/ns-3.29-mesh/build'
Waf: Leaving directory `/home/synrg-sc1/Desktop/Jiaming/ns-3.29-mesh/build'
Build commands will be stored in build/compile_commands.json
'build' finished successfully (4.347s)
CreateVariables () DONE !!!
Creating 15 APs 50.00 m apart.
CreateApNodes () DONE !!!
Creating 0 CLs 20.00 m away from each AP.
CreateClNodes () DONE !!!
CreateNodes () DONE !!!
CreateMeshDevices () DONE !!!
CreateWifiDevices () DONE !!!
CreateCsmaDevices () DONE !!!
CreateDevices () DONE !!!
InstallMeshInternetStack () DONE !!!
InstallWifiInternetStack () DONE !!!
InstallCsmaInternetStack () DONE !!!
InstallInternetStack () DONE !!!
Gateway is connect to AP 0
InstallApplications () DONE !!!
Starting simulation for 40.00 s ...
-------------------------------------------------
Time[s]	ap-0	ap-1	ap-2	ap-3	ap-4	ap-5	ap-6	ap-7	ap-8	ap-9	ap-10	ap-11	ap-12	ap-13	ap-14
2.00	47.37	43.68	41.69	4.66	4.87	3.65	3.64	0.00	0.94	6.41	1.85	3.17	0.00	2.41	2.83
3.00	47.68	43.87	41.96	6.27	6.93	5.14	4.90	2.55	3.29	7.37	2.28	3.48	0.00	3.25	3.10
4.00	47.68	43.87	41.97	6.49	5.28	3.89	4.10	5.60	3.48	6.93	3.26	3.73	0.00	3.36	3.81
5.00	47.68	43.88	41.96	6.49	7.05	4.53	4.12	4.86	3.99	6.77	2.75	3.13	0.00	3.22	3.54
6.00	47.68	43.87	41.97	5.59	7.64	3.66	4.00	4.41	3.16	7.15	3.39	2.95	0.00	4.09	4.30
7.00	47.68	43.87	41.96	6.82	2.07	3.05	3.99	5.45	3.12	6.97	3.69	3.10	0.00	4.67	1.85
8.00	47.68	43.87	41.96	6.33	0.18	3.31	2.98	4.67	3.89	7.75	4.28	3.48	0.00	4.01	0.17
9.00	47.68	43.88	41.97	6.95	0.06	3.13	2.95	3.56	3.71	7.04	3.43	4.20	0.00	3.34	0.29
10.00	47.68	43.87	41.96	6.29	0.12	3.52	3.77	4.18	2.81	6.55	3.38	4.41	0.00	3.53	0.13
11.00	47.68	43.87	41.97	6.33	0.12	3.77	3.02	5.58	4.27	6.56	2.96	3.87	0.00	3.84	0.16
12.00	47.68	43.87	41.96	4.99	0.07	3.39	2.12	4.16	3.30	3.26	2.47	4.29	0.00	2.00	0.55
13.00	47.68	43.88	41.96	6.35	0.03	0.37	3.07	3.75	3.36	0.34	0.07	2.48	0.00	3.43	0.18
14.00	47.67	43.87	41.97	6.15	0.02	0.52	3.32	4.62	3.28	0.22	0.11	3.62	0.00	2.30	0.70
15.00	47.68	43.87	41.96	5.64	0.02	0.42	3.76	5.56	2.94	0.37	0.11	3.04	0.00	2.38	0.55
16.00	47.68	43.87	41.97	6.64	0.01	0.39	3.25	4.31	3.65	0.38	0.13	3.57	0.00	2.79	0.56
17.00	47.68	43.88	41.96	6.39	0.06	0.98	3.69	4.48	3.81	2.08	0.13	3.08	0.00	1.95	0.63
18.00	47.68	43.87	41.97	3.11	0.20	4.10	3.17	3.02	3.84	5.21	2.35	3.48	0.00	0.00	0.24
19.00	47.68	43.87	41.96	0.24	0.04	3.19	2.45	0.20	2.85	5.57	2.77	3.59	0.00	0.57	0.34
20.00	47.68	43.88	41.96	0.31	0.02	3.58	3.55	0.25	0.71	7.11	2.16	2.91	0.00	1.82	0.00
21.00	47.68	43.87	41.97	4.18	0.01	2.92	1.04	2.73	4.03	7.56	0.90	1.47	0.35	1.72	0.00
22.00	47.68	43.87	41.96	6.15	0.00	3.87	2.53	1.10	3.47	7.47	0.20	1.53	4.08	0.19	2.50
23.00	47.68	43.87	41.97	5.81	0.00	3.85	3.41	0.04	3.82	8.37	4.14	2.92	4.41	0.09	4.00
24.00	47.68	43.88	41.96	5.46	0.00	3.19	3.57	0.00	3.67	9.22	5.67	3.83	2.65	0.24	4.26
25.00	47.68	43.87	41.97	4.68	0.00	3.30	3.90	0.86	3.23	8.25	4.42	4.42	3.89	0.12	4.39
26.00	47.68	43.87	41.96	5.93	0.00	3.69	2.96	2.71	2.68	7.57	5.35	3.12	3.29	0.19	2.23
27.00	47.67	43.87	41.96	4.14	0.00	3.11	3.89	3.18	0.65	6.48	4.78	0.03	0.82	0.22	3.44
28.00	47.68	43.88	41.97	0.46	0.00	1.38	2.54	3.00	3.26	6.15	2.13	0.09	2.21	0.40	3.31
29.00	47.68	43.87	41.96	0.65	0.00	0.13	3.64	4.01	2.96	6.20	0.57	0.12	3.76	0.25	2.44
30.00	47.68	43.87	41.97	0.38	0.00	0.21	4.68	3.30	3.50	7.01	0.66	0.19	2.85	0.15	2.46
31.00	47.68	43.87	41.96	0.39	0.00	0.11	4.12	3.41	2.90	6.01	0.39	0.12	3.36	0.20	3.10
32.00	47.68	43.88	41.96	0.34	0.00	0.16	3.53	4.00	2.94	0.89	2.64	0.00	2.66	2.12	0.89
33.00	47.68	43.87	41.97	2.09	0.00	0.70	3.47	3.16	0.74	1.39	3.72	1.47	3.03	3.90	1.65
34.00	47.68	43.87	41.96	6.21	0.00	3.21	2.99	4.30	0.00	0.28	4.40	4.30	3.31	3.05	2.66
35.00	47.68	43.87	41.97	6.68	0.00	4.32	1.28	3.57	0.10	0.35	3.26	3.57	2.17	3.09	3.57
36.00	47.68	43.88	41.96	6.64	0.00	3.77	0.49	2.93	0.17	0.26	3.59	2.89	2.45	3.01	3.72
37.00	47.68	43.87	41.97	6.27	0.00	4.26	0.28	4.12	0.16	0.28	3.18	3.66	3.38	1.03	3.74
38.00	47.68	43.87	41.96	6.05	0.00	1.92	0.49	3.65	0.21	0.17	2.75	2.86	3.34	0.03	3.46
39.00	47.68	43.88	41.96	4.95	0.00	0.00	0.17	2.92	0.31	6.84	3.26	0.01	0.31	2.65	0.24
