Waf: Entering directory `/home/synrg-sc1/Desktop/Jiaming/ns-3.29-mesh/build'
Waf: Leaving directory `/home/synrg-sc1/Desktop/Jiaming/ns-3.29-mesh/build'
Build commands will be stored in build/compile_commands.json
'build' finished successfully (4.323s)
CreateVariables () DONE !!!
Creating 17 APs 50.00 m apart.
CreateApNodes () DONE !!!
Creating 0 CLs 20.00 m away from each AP.
CreateClNodes () DONE !!!
CreateNodes () DONE !!!
CreateMeshDevices () DONE !!!
CreateWifiDevices () DONE !!!
CreateCsmaDevices () DONE !!!
CreateDevices () DONE !!!
InstallMeshInternetStack () DONE !!!
InstallWifiInternetStack () DONE !!!
InstallCsmaInternetStack () DONE !!!
InstallInternetStack () DONE !!!
Gateway is connect to AP 0
InstallApplications () DONE !!!
Starting simulation for 40.00 s ...
-------------------------------------------------
Time[s]	ap-0	ap-1	ap-2	ap-3	ap-4	ap-5	ap-6	ap-7	ap-8	ap-9	ap-10	ap-11	ap-12	ap-13	ap-14	ap-15	ap-16
2.00	50.46	37.97	30.34	3.13	0.00	3.09	2.31	0.07	1.15	0.91	3.62	1.93	0.00	0.17	2.62	2.65	0.10
3.00	50.55	38.15	30.51	2.67	2.58	6.51	2.93	0.18	0.00	0.15	3.19	2.72	2.28	0.26	2.25	0.17	0.02
4.00	50.55	38.15	30.52	3.05	3.23	6.39	2.56	0.10	0.00	0.37	2.29	2.39	2.44	0.22	2.57	0.29	0.00
5.00	50.54	38.14	30.51	3.75	2.44	6.40	2.81	0.29	0.00	0.24	2.44	2.66	2.31	0.24	2.71	0.31	0.00
6.00	50.55	38.15	30.51	3.23	3.17	5.95	2.02	0.30	0.00	0.28	2.52	2.26	3.27	0.18	3.13	0.20	0.01
7.00	50.55	38.15	30.52	1.90	2.67	3.66	3.50	1.95	2.35	1.18	2.09	1.88	2.27	0.12	1.93	0.45	1.07
8.00	50.54	38.15	30.51	2.50	2.74	7.13	0.26	3.26	4.22	3.20	3.17	0.48	3.00	0.03	0.00	3.22	2.15
9.00	50.55	38.14	30.52	3.10	2.95	5.95	0.16	4.05	4.21	3.00	2.46	0.35	4.12	0.01	2.31	2.20	1.42
10.00	50.55	38.15	30.51	3.52	2.90	6.49	0.21	3.41	5.09	2.61	3.02	0.25	2.94	0.03	3.07	3.12	1.64
11.00	50.54	38.15	30.51	2.86	3.03	6.92	0.33	2.61	4.89	2.02	3.10	0.62	3.34	0.02	2.56	2.79	2.61
12.00	50.55	38.15	30.52	2.90	2.79	6.79	0.19	3.26	5.23	2.20	1.79	0.38	3.48	0.12	3.01	2.22	1.86
13.00	50.55	38.14	30.51	0.00	1.36	3.46	0.17	0.09	1.98	1.48	0.03	0.11	0.00	2.82	1.92	0.42	0.89
14.00	50.54	38.15	30.52	0.00	0.02	0.00	0.15	0.00	0.00	0.07	0.15	0.00	0.00	3.83	0.28	0.35	0.00
15.00	50.55	38.15	30.51	0.00	0.09	0.02	0.19	0.00	0.00	0.11	0.22	0.00	0.00	3.49	0.34	0.36	0.00
16.00	50.55	38.15	30.51	0.00	0.07	0.01	0.12	0.00	0.04	0.11	0.33	0.00	0.00	4.50	0.19	0.16	0.00
17.00	50.55	38.14	30.52	0.00	0.04	0.01	0.00	0.01	0.10	0.04	0.10	0.06	0.74	4.11	0.30	0.01	0.40
18.00	50.54	38.15	30.51	0.73	0.07	1.42	0.00	0.86	0.03	0.12	0.28	2.77	3.45	2.36	0.07	0.03	2.64
19.00	50.55	38.15	30.52	0.88	0.15	6.81	0.00	2.98	1.71	0.31	0.57	3.52	2.74	2.45	0.00	0.45	2.54
20.00	50.55	38.15	30.51	2.83	0.01	7.52	0.00	3.25	6.08	0.53	3.92	3.69	2.62	2.52	0.01	0.10	2.68
21.00	50.54	38.14	30.51	2.16	0.01	8.61	0.00	2.98	5.62	0.00	2.89	3.04	3.87	3.69	0.02	0.15	2.50
22.00	50.55	38.15	30.52	2.92	0.01	8.00	0.00	1.91	7.17	0.00	3.40	2.52	3.56	2.76	0.00	0.09	2.62
23.00	50.55	38.15	30.51	0.61	0.24	7.41	0.00	1.93	6.18	0.03	2.67	1.92	1.29	3.21	0.02	0.71	3.38
24.00	50.54	38.14	30.51	0.00	1.26	5.04	0.00	2.01	1.70	2.13	2.00	0.81	1.00	1.45	0.03	0.12	1.65
25.00	50.55	38.15	30.52	0.00	0.54	7.28	0.00	3.01	0.72	6.04	2.30	3.07	3.36	0.88	0.01	1.10	2.31
26.00	50.55	38.15	30.51	0.00	0.77	6.26	0.00	3.07	1.35	6.73	3.44	2.66	3.89	1.30	0.00	0.92	3.01
27.00	50.54	38.15	30.52	0.00	2.00	2.93	1.22	2.48	2.26	6.11	1.40	1.55	3.47	1.97	0.00	1.58	2.54
28.00	50.55	38.14	30.51	0.00	1.30	0.00	4.42	3.75	4.33	6.75	2.92	0.00	2.13	2.23	2.86	1.34	0.00
29.00	50.55	38.15	30.51	0.00	0.99	0.00	3.63	2.80	4.41	5.39	3.22	0.00	2.47	2.12	3.50	1.58	0.00
30.00	50.55	38.15	30.52	0.00	1.61	0.00	0.00	2.29	3.34	1.76	4.00	0.00	1.24	4.01	3.77	4.40	0.00
31.00	50.54	38.15	30.51	0.00	2.17	0.00	0.00	0.73	2.70	0.40	2.95	2.04	0.30	2.76	3.39	4.04	0.00
