Waf: Entering directory `/home/synrg/Desktop/Jiaming/sp2019-ns3-mesh/build'
Waf: Leaving directory `/home/synrg/Desktop/Jiaming/sp2019-ns3-mesh/build'
Build commands will be stored in build/compile_commands.json
'build' finished successfully (4.509s)
CreateVariables () DONE !!!
Creating 17 APs 50.00 m apart.
CreateApNodes () DONE !!!
Creating 0 CLs 20.00 m away from each AP.
CreateClNodes () DONE !!!
CreateNodes () DONE !!!
CreateMeshDevices () DONE !!!
CreateWifiDevices () DONE !!!
CreateCsmaDevices () DONE !!!
CreateDevices () DONE !!!
InstallMeshInternetStack () DONE !!!
InstallWifiInternetStack () DONE !!!
InstallCsmaInternetStack () DONE !!!
InstallInternetStack () DONE !!!
Gateway is connect to AP 0
InstallApplications () DONE !!!
Starting simulation for 30.00 s ...
-------------------------------------------------
Time[s]	ap-0	ap-1	ap-2	ap-3	ap-4	ap-5	ap-6	ap-7	ap-8	ap-9	ap-10	ap-11	ap-12	ap-13	ap-14	ap-15	ap-16
2.00	57.07	37.90	29.56	2.90	3.26	0.47	0.00	1.66	0.00	1.99	3.44	2.04	0.00	1.00	0.00	0.00	0.00
3.00	57.22	38.15	29.56	3.60	3.26	2.01	0.18	0.03	0.65	3.32	4.28	3.67	2.81	3.57	0.07	0.00	0.04
4.00	57.22	38.15	29.57	3.95	4.48	2.83	0.02	0.02	4.08	3.59	4.12	3.53	3.91	3.17	0.22	0.00	0.06
5.00	57.22	38.14	29.56	3.87	3.76	2.19	0.00	0.00	4.19	3.21	4.36	3.77	3.04	3.39	0.36	0.00	0.00
6.00	57.22	38.15	29.57	3.76	4.65	2.80	0.03	0.01	4.08	1.70	4.65	3.85	3.00	2.80	0.16	1.85	0.00
7.00	57.22	38.15	29.56	2.58	1.84	2.30	0.00	1.89	4.28	0.37	2.31	2.00	2.49	2.13	0.13	1.07	0.00
8.00	57.22	38.15	29.57	0.00	0.00	0.00	0.00	2.86	4.01	0.00	0.90	3.78	4.87	0.28	0.00	0.00	0.00
9.00	57.22	38.14	29.56	0.00	0.01	0.00	0.00	3.11	3.01	0.00	1.68	2.13	4.14	0.20	0.00	0.00	0.00
10.00	57.23	38.15	29.57	0.02	0.03	0.00	0.00	1.86	4.65	0.00	1.16	2.15	3.56	0.54	0.00	0.02	0.00
11.00	57.22	38.15	29.56	0.02	0.03	0.01	0.00	2.54	5.13	0.01	1.09	3.72	2.66	0.40	0.00	0.01	0.00
12.00	57.22	38.15	29.57	1.03	1.31	0.27	0.00	1.16	3.93	0.66	1.95	2.94	3.18	0.66	0.00	0.43	0.00
13.00	57.22	38.14	29.56	4.14	4.84	3.18	0.00	0.20	5.74	0.28	3.96	0.34	3.93	2.92	0.00	3.47	0.00
14.00	57.22	38.15	29.57	3.21	4.25	3.54	0.00	0.42	4.96	0.06	4.73	0.30	4.20	4.02	0.00	2.92	0.00
15.00	57.22	38.15	29.56	5.40	5.56	2.72	0.00	0.22	4.23	0.01	3.48	0.30	3.71	3.48	0.00	3.40	0.00
16.00	57.22	38.15	29.57	4.17	4.74	3.52	0.00	2.43	6.22	0.07	4.68	0.13	3.69	2.63	0.00	2.75	0.00
17.00	57.22	38.14	29.56	3.96	3.29	4.08	0.00	2.37	4.21	0.36	4.16	0.22	2.90	3.17	0.00	3.63	0.00
18.00	57.23	38.15	29.57	0.24	3.16	0.00	0.00	1.06	0.00	0.09	0.98	0.74	0.20	1.50	0.00	2.46	0.00
19.00	57.22	38.15	29.56	0.40	3.39	2.46	0.00	1.03	0.07	0.08	0.84	0.51	0.28	0.85	0.00	2.85	0.00
20.00	57.22	38.15	29.57	0.43	4.59	2.45	0.00	0.55	0.06	0.06	0.56	0.65	0.39	0.94	0.00	2.09	0.00
21.00	57.22	38.14	29.56	0.45	3.08	3.68	0.00	0.62	0.07	0.02	1.01	0.62	0.29	0.85	0.00	1.52	0.00
22.00	57.22	38.15	29.57	0.66	3.38	3.01	0.00	0.56	0.56	0.04	0.77	0.77	0.16	1.03	0.00	2.09	0.00
23.00	57.22	38.15	29.56	4.75	0.90	3.66	0.00	0.04	5.38	1.99	3.53	3.52	0.25	4.80	0.00	3.23	0.00
24.00	57.22	38.14	29.57	3.62	0.35	3.47	0.00	0.00	5.30	3.54	3.82	4.27	0.34	4.37	0.00	3.43	0.00
25.00	57.22	38.15	29.56	5.20	0.24	3.71	0.00	0.00	5.77	4.33	3.35	4.74	0.33	3.09	0.00	2.67	0.00
26.00	57.23	38.15	29.56	5.04	0.40	3.57	0.00	0.00	6.33	3.94	4.29	3.43	0.43	4.57	0.00	4.36	0.00
27.00	57.22	38.15	29.57	5.22	0.33	4.60	0.00	0.00	4.62	3.35	4.21	3.87	0.42	4.69	0.00	3.43	0.00
28.00	57.22	38.14	29.56	3.23	2.37	4.09	0.00	2.21	4.30	3.87	2.15	1.82	4.40	2.38	0.00	2.23	0.00
29.00	57.22	38.15	29.57	3.93	4.96	3.16	0.00	3.55	5.54	3.92	0.13	0.03	3.92	0.07	0.00	3.14	0.00
