Waf: Entering directory `/home/synrg/Desktop/Jiaming/sp2019-ns3-mesh/build'
Waf: Leaving directory `/home/synrg/Desktop/Jiaming/sp2019-ns3-mesh/build'
Build commands will be stored in build/compile_commands.json
'build' finished successfully (4.850s)
CreateVariables () DONE !!!
Creating 19 APs 50.00 m apart.
CreateApNodes () DONE !!!
Creating 0 CLs 20.00 m away from each AP.
CreateClNodes () DONE !!!
CreateNodes () DONE !!!
CreateMeshDevices () DONE !!!
CreateWifiDevices () DONE !!!
CreateCsmaDevices () DONE !!!
CreateDevices () DONE !!!
InstallMeshInternetStack () DONE !!!
InstallWifiInternetStack () DONE !!!
InstallCsmaInternetStack () DONE !!!
InstallInternetStack () DONE !!!
Gateway is connect to AP 0
InstallApplications () DONE !!!
Starting simulation for 40.00 s ...
-------------------------------------------------
Time[s]	ap-0	ap-1	ap-2	ap-3	ap-4	ap-5	ap-6	ap-7	ap-8	ap-9	ap-10	ap-11	ap-12	ap-13	ap-14	ap-15	ap-16	ap-17	ap-18
2.00	49.17	46.52	41.73	2.81	0.66	0.00	0.00	0.00	1.79	0.00	0.49	2.79	0.00	1.00	0.60	0.00	0.69	3.08	2.27
3.00	49.59	46.73	41.96	4.63	2.59	1.90	0.00	2.30	2.64	0.12	2.73	4.83	0.00	0.91	3.28	0.81	2.32	2.96	0.72
4.00	49.59	46.74	41.97	5.76	2.61	1.28	0.04	0.64	2.62	1.99	2.96	2.81	0.18	0.10	2.23	1.77	3.35	2.63	0.31
5.00	49.59	46.73	41.96	5.73	2.53	0.42	0.02	0.27	1.03	2.20	1.92	0.71	0.55	1.75	2.28	2.10	0.84	1.84	3.09
6.00	49.58	46.73	41.97	4.56	3.29	0.36	3.52	0.16	0.07	2.48	2.77	0.18	0.26	0.58	3.19	3.05	0.16	2.15	2.54
7.00	49.59	46.73	41.96	4.45	1.93	0.36	6.02	0.22	0.15	3.13	2.50	0.10	0.47	0.00	3.38	2.48	0.09	1.80	4.29
8.00	49.59	46.73	41.96	4.81	2.91	0.43	4.28	0.29	0.19	3.12	2.68	0.25	0.36	0.00	1.95	2.31	0.18	2.38	3.43
9.00	49.59	46.73	41.97	2.65	2.04	0.20	4.12	1.12	0.61	3.81	1.81	0.36	0.26	0.00	1.03	1.49	0.65	1.03	1.77
10.00	49.58	46.73	41.96	0.02	3.47	0.18	3.73	1.35	0.11	2.46	2.75	1.76	0.03	0.00	0.00	2.68	0.86	0.94	0.12
11.00	49.59	46.73	41.97	0.01	1.97	0.09	4.64	2.74	0.44	2.40	2.23	3.85	0.01	0.00	1.90	2.77	2.32	0.76	0.07
12.00	49.59	46.73	41.96	0.00	1.76	0.13	4.92	2.38	0.60	3.39	2.50	3.66	0.06	0.00	2.57	2.61	2.21	0.54	0.09
13.00	49.59	46.73	41.96	0.06	2.93	0.21	4.45	1.57	0.26	2.22	2.71	3.46	0.03	0.00	2.85	2.59	1.93	0.46	0.12
14.00	49.58	46.73	41.97	1.03	2.11	0.12	4.45	2.62	0.47	2.31	2.29	2.58	0.00	0.00	2.39	2.04	1.84	1.52	0.08
15.00	49.59	46.73	41.96	1.89	2.30	0.10	4.14	0.11	0.17	2.20	2.85	1.82	0.33	0.00	2.40	1.80	2.01	3.37	2.17
16.00	49.59	46.73	41.97	0.35	2.15	0.07	4.64	0.12	0.28	1.82	3.80	4.17	0.35	0.00	3.19	3.64	0.02	2.28	1.76
17.00	49.59	46.73	41.96	0.83	2.48	0.08	4.12	0.13	0.22	1.92	2.46	3.53	0.10	0.00	2.03	3.28	0.11	3.74	2.28
18.00	49.59	46.73	41.97	0.49	2.57	0.18	3.75	0.16	0.24	2.20	3.55	3.38	0.38	0.00	2.92	2.92	0.08	2.84	2.09
19.00	49.58	46.73	41.96	0.62	2.67	0.13	4.23	0.09	0.36	2.34	1.84	2.99	0.15	0.00	2.64	2.99	0.09	2.46	2.30
20.00	49.59	46.73	41.96	3.25	2.27	1.65	2.79	0.21	0.17	2.59	2.17	2.70	1.07	0.00	2.03	2.25	0.12	2.34	1.46
21.00	49.59	46.73	41.97	3.99	2.13	1.97	3.39	1.47	0.25	2.18	2.41	0.02	1.70	0.00	0.85	2.45	1.61	2.22	1.91
22.00	49.59	46.73	41.96	4.21	2.09	1.65	4.36	2.25	0.54	2.65	2.01	3.36	2.59	0.00	0.12	1.56	2.12	2.27	1.93
23.00	49.58	46.73	41.97	3.77	2.72	2.58	4.27	1.62	0.31	2.09	1.84	3.41	2.77	0.00	0.07	2.39	2.46	2.09	1.92
24.00	49.59	46.73	41.96	3.50	2.40	2.65	3.89	1.71	0.36	3.67	2.32	2.25	2.30	0.00	0.10	1.80	2.88	1.67	1.90
25.00	49.59	46.73	41.97	2.03	1.10	2.30	3.72	2.12	0.38	1.92	0.93	2.58	0.42	0.00	0.38	2.39	2.29	1.54	1.01
26.00	49.59	46.73	41.96	0.81	2.76	1.26	4.47	1.31	0.13	0.33	2.61	2.99	1.24	0.00	0.74	2.17	0.00	2.62	2.16
27.00	49.59	46.73	41.96	1.43	2.09	1.31	3.90	0.88	0.02	0.62	1.67	1.06	2.18	0.00	0.43	2.99	0.00	3.02	2.44
28.00	49.58	46.73	41.97	2.12	2.34	1.82	4.13	0.86	0.00	0.28	2.98	1.33	2.75	0.00	0.60	2.35	0.00	3.05	1.36
29.00	49.59	46.73	41.96	1.24	2.80	2.22	4.31	0.99	0.01	0.36	2.30	1.46	1.93	0.00	0.80	2.65	0.00	2.10	2.75
30.00	49.59	46.73	41.97	1.89	2.49	2.38	4.33	0.80	1.15	0.30	0.91	0.65	0.92	0.00	1.21	2.04	0.00	1.74	2.30
31.00	49.59	46.73	41.96	1.83	0.79	2.02	4.48	0.63	2.73	1.24	0.17	1.18	2.37	0.00	1.83	0.12	1.03	0.82	1.61
32.00	49.58	46.73	41.96	4.74	2.15	2.08	3.45	0.03	2.46	2.31	0.34	0.16	0.49	0.00	2.16	0.06	1.18	3.01	2.15
33.00	49.59	46.73	41.97	3.95	3.75	2.36	4.62	0.31	3.23	1.27	1.28	3.43	0.95	0.62	0.98	1.18	0.58	1.59	1.85
34.00	49.59	46.73	41.96	3.62	1.66	1.91	5.02	0.00	2.08	2.09	0.00	3.20	0.55	3.57	0.00	1.38	1.50	1.94	2.06
35.00	49.59	46.73	41.97	5.17	2.55	0.00	5.73	0.00	3.36	2.32	0.00	3.16	2.71	2.34	0.00	0.17	0.43	0.64	3.43
36.00	49.58	46.73	41.96	5.06	1.46	0.00	5.55	0.00	2.73	3.59	0.00	3.01	2.94	1.64	0.00	3.57	0.16	0.13	3.05
37.00	49.59	46.73	41.97	4.78	1.19	0.00	6.08	0.00	2.81	3.08	0.00	4.32	3.04	2.68	0.00	2.96	0.22	0.00	4.51
38.00	49.59	46.73	41.96	4.95	1.98	4.33	5.02	0.00	3.65	0.25	0.00	3.94	0.56	2.85	0.00	2.25	0.08	0.00	2.08
39.00	49.59	46.73	41.96	4.40	3.08	4.83	4.07	0.00	3.14	0.38	0.00	4.04	0.52	3.58	0.00	2.21	0.09	0.00	0.16
