Waf: Entering directory `/home/synrg-sc1/Desktop/Jiaming/ns-3.29-mesh/build'
Waf: Leaving directory `/home/synrg-sc1/Desktop/Jiaming/ns-3.29-mesh/build'
Build commands will be stored in build/compile_commands.json
'build' finished successfully (4.342s)
CreateVariables () DONE !!!
Creating 19 APs 50.00 m apart.
CreateApNodes () DONE !!!
Creating 0 CLs 20.00 m away from each AP.
CreateClNodes () DONE !!!
CreateNodes () DONE !!!
CreateMeshDevices () DONE !!!
CreateWifiDevices () DONE !!!
CreateCsmaDevices () DONE !!!
CreateDevices () DONE !!!
InstallMeshInternetStack () DONE !!!
InstallWifiInternetStack () DONE !!!
InstallCsmaInternetStack () DONE !!!
InstallInternetStack () DONE !!!
Gateway is connect to AP 0
InstallApplications () DONE !!!
Starting simulation for 40.00 s ...
-------------------------------------------------
Time[s]	ap-0	ap-1	ap-2	ap-3	ap-4	ap-5	ap-6	ap-7	ap-8	ap-9	ap-10	ap-11	ap-12	ap-13	ap-14	ap-15	ap-16	ap-17	ap-18
2.00	50.41	35.20	37.06	1.19	0.47	2.22	0.00	0.00	1.79	4.49	0.79	0.01	2.53	1.47	0.90	1.34	0.00	0.00	1.47
3.00	50.55	35.29	37.20	0.19	0.33	2.46	0.57	0.37	0.18	6.02	2.98	0.13	2.15	0.18	0.17	0.00	3.19	1.88	2.30
4.00	50.55	35.29	37.20	0.13	0.26	1.61	0.19	0.76	0.19	5.04	3.26	0.15	2.61	0.25	0.15	0.00	3.43	2.40	1.35
5.00	50.54	35.29	37.20	2.21	5.35	2.44	0.19	2.48	2.25	3.99	3.25	2.35	2.63	2.57	2.71	0.00	2.84	2.18	2.59
6.00	50.55	35.29	37.20	0.72	5.03	2.32	0.31	2.44	1.59	3.76	2.55	2.68	2.28	3.55	3.09	0.16	3.52	3.22	1.89
7.00	50.55	35.29	37.18	1.67	5.32	2.13	0.00	2.37	2.74	2.38	2.34	2.80	1.31	3.29	2.37	0.04	2.92	2.52	2.29
8.00	50.54	35.29	37.20	2.40	4.35	2.07	0.00	2.27	2.31	2.46	2.89	2.48	0.34	0.07	2.21	2.68	2.73	2.40	2.55
9.00	50.55	35.29	37.20	2.48	4.91	2.30	0.00	2.43	2.32	2.86	1.49	2.20	0.21	0.09	2.82	3.74	2.52	1.74	1.71
10.00	50.55	35.29	37.20	2.56	2.67	1.99	0.00	2.68	2.20	2.28	2.84	2.54	0.21	4.37	0.18	3.63	3.38	2.36	2.09
11.00	50.54	35.29	37.20	2.10	6.87	2.63	0.00	2.96	2.18	5.24	3.00	3.57	0.00	5.24	0.07	1.89	3.52	3.08	3.29
12.00	50.55	35.29	37.20	2.83	6.56	1.95	0.00	3.08	2.61	4.27	2.53	2.25	0.39	4.20	0.02	2.34	3.45	2.39	2.34
13.00	50.55	35.29	37.18	2.54	4.84	2.50	0.00	2.20	1.72	4.32	0.20	1.70	0.97	0.03	0.71	2.46	3.26	3.03	0.75
14.00	50.54	35.29	37.20	2.94	5.66	3.09	0.00	1.21	1.88	4.59	2.20	4.22	2.06	3.78	0.00	2.54	2.86	2.77	0.39
15.00	50.55	35.29	37.20	3.34	4.85	1.54	0.00	2.88	1.95	5.09	2.74	3.01	2.96	4.29	0.00	1.73	1.81	3.26	0.45
16.00	50.55	35.29	37.20	2.58	5.17	3.91	0.00	3.18	1.99	5.15	2.59	2.37	2.15	4.66	0.00	0.99	2.15	2.52	0.20
17.00	50.55	35.29	37.20	2.66	4.81	2.71	0.00	2.10	1.67	3.40	0.75	2.72	2.23	3.53	0.62	1.50	2.74	2.32	0.30
18.00	50.54	35.29	37.20	1.75	4.39	1.99	0.00	2.48	1.27	4.67	0.35	2.62	2.75	2.28	1.06	2.16	1.12	0.28	0.24
19.00	50.55	35.29	37.18	1.33	4.94	1.73	0.00	2.16	0.66	4.26	0.61	2.38	0.57	5.12	0.61	2.18	0.02	1.16	0.39
20.00	50.55	35.29	37.20	1.72	5.68	2.06	0.00	2.62	0.80	5.55	0.25	2.71	0.01	4.81	0.21	2.20	0.01	3.49	0.22
21.00	50.54	35.29	37.20	2.11	6.00	2.64	0.00	2.98	0.44	4.77	1.77	3.49	0.00	5.36	0.36	2.49	0.00	1.90	0.33
22.00	50.55	35.29	37.20	1.97	6.05	2.80	0.00	2.17	0.33	4.46	2.73	2.73	0.00	5.58	0.28	2.70	0.04	2.55	0.21
23.00	50.55	35.29	37.20	2.72	5.68	2.80	0.00	2.84	0.19	4.23	2.03	1.58	0.01	4.80	0.36	2.19	1.38	2.19	1.63
24.00	50.54	35.29	37.20	2.38	5.19	2.49	0.00	1.28	1.18	5.14	1.38	2.79	1.53	2.89	0.11	3.05	2.84	1.37	2.90
25.00	50.55	35.29	37.18	1.43	6.78	1.66	0.00	0.01	2.30	4.19	2.13	2.67	2.35	0.33	1.86	2.68	3.16	0.24	2.86
26.00	50.55	35.29	37.20	2.35	2.99	1.55	0.00	0.01	1.31	4.33	1.54	0.00	2.12	0.36	2.30	0.04	2.75	0.49	0.63
27.00	50.54	35.29	37.20	2.03	1.95	2.59	0.00	0.00	0.35	3.82	3.09	0.00	2.08	0.47	1.95	0.00	3.21	0.34	2.28
28.00	50.55	35.29	37.20	2.07	1.31	2.17	0.00	0.00	0.19	4.60	3.09	0.00	3.23	0.20	1.72	0.00	2.48	0.33	2.16
29.00	50.55	35.29	37.20	2.21	2.80	2.47	0.00	0.37	0.53	3.10	2.02	0.00	2.20	0.72	1.52	0.00	1.77	1.62	2.85
30.00	50.55	35.29	37.18	1.04	1.42	2.79	0.00	3.23	1.39	0.71	2.66	0.00	2.01	4.09	1.53	0.00	0.00	3.08	2.43
31.00	50.54	35.29	37.20	2.90	4.09	2.00	0.00	3.68	0.80	3.31	2.92	0.00	1.06	0.90	1.07	0.00	1.46	3.23	3.40
32.00	50.55	35.29	37.20	2.59	4.71	3.03	0.00	3.95	0.19	4.50	3.08	0.00	3.18	0.34	0.21	0.00	3.60	4.13	2.46
33.00	50.55	35.29	37.20	2.71	6.18	3.09	0.00	3.53	0.24	5.39	3.20	0.00	2.50	0.21	0.31	0.00	3.62	3.46	3.43
34.00	50.54	35.29	37.20	1.63	6.00	2.89	0.00	3.16	0.25	5.12	2.35	0.00	2.92	0.36	0.27	0.00	3.94	3.95	3.59
35.00	50.55	35.29	37.20	2.00	5.63	3.09	0.00	3.35	0.13	4.14	0.72	1.45	2.56	0.22	1.94	0.00	3.23	2.80	2.46
36.00	50.55	35.29	37.18	2.71	5.22	3.18	0.00	3.64	0.00	2.35	0.00	3.75	1.08	0.62	2.21	0.00	3.43	1.35	3.52
37.00	50.54	35.29	37.20	1.76	3.28	1.22	0.00	2.22	0.00	1.68	0.00	2.39	0.04	3.60	1.47	0.82	3.27	0.17	2.54
38.00	50.55	35.29	37.20	2.39	5.03	0.02	0.17	3.34	0.00	2.35	0.00	3.00	2.81	4.86	0.53	0.15	2.86	0.34	1.36
39.00	50.55	35.29	37.20	1.54	5.38	0.01	0.33	3.13	0.00	1.80	0.00	2.58	2.31	5.00	0.49	0.26	3.56	0.20	1.33
