Waf: Entering directory `/home/synrg/Desktop/Jiaming/sp2019-ns3-mesh/build'
Waf: Leaving directory `/home/synrg/Desktop/Jiaming/sp2019-ns3-mesh/build'
Build commands will be stored in build/compile_commands.json
'build' finished successfully (4.870s)
CreateVariables () DONE !!!
Creating 21 APs 50.00 m apart.
CreateApNodes () DONE !!!
Creating 0 CLs 20.00 m away from each AP.
CreateClNodes () DONE !!!
CreateNodes () DONE !!!
CreateMeshDevices () DONE !!!
CreateWifiDevices () DONE !!!
CreateCsmaDevices () DONE !!!
CreateDevices () DONE !!!
InstallMeshInternetStack () DONE !!!
InstallWifiInternetStack () DONE !!!
InstallCsmaInternetStack () DONE !!!
InstallInternetStack () DONE !!!
Gateway is connect to AP 0
InstallApplications () DONE !!!
Starting simulation for 40.00 s ...
-------------------------------------------------
Time[s]	ap-0	ap-1	ap-2	ap-3	ap-4	ap-5	ap-6	ap-7	ap-8	ap-9	ap-10	ap-11	ap-12	ap-13	ap-14	ap-15	ap-16	ap-17	ap-18	ap-19	ap-20
2.00	63.34	0.00	0.00	0.00	0.00	2.43	3.80	1.63	0.00	0.00	4.28	0.00	0.00	0.00	0.00	0.00	0.00	0.00	1.17	0.00	0.00
3.00	63.90	0.00	2.35	0.00	0.12	4.67	1.31	0.91	0.00	0.16	2.96	0.03	0.19	0.00	0.00	0.00	0.07	1.03	1.50	0.00	0.26
4.00	63.89	0.02	2.56	0.00	0.21	5.19	0.06	0.10	0.00	0.00	2.09	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.08
5.00	63.90	0.08	2.82	0.00	0.12	4.47	0.08	0.08	0.00	0.00	2.15	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.01	0.18
6.00	63.89	0.42	2.07	0.00	0.17	3.55	0.27	0.42	0.01	0.02	2.03	0.64	0.03	0.00	0.00	0.00	0.01	0.06	0.01	0.09	0.12
7.00	63.90	1.81	2.07	0.00	0.00	3.57	0.89	1.90	0.01	0.03	2.96	1.54	0.03	0.04	0.02	0.00	0.08	0.20	0.08	0.45	1.31
8.00	63.89	3.20	2.34	0.00	0.00	4.00	0.67	1.46	0.00	0.00	1.15	2.45	0.10	0.00	0.00	0.00	0.00	0.11	0.34	0.21	1.08
9.00	63.90	3.20	3.41	0.00	0.00	4.81	0.04	1.72	0.00	0.00	0.06	2.25	0.00	0.04	0.00	0.00	0.00	0.00	0.56	0.00	0.01
10.00	63.89	2.12	2.59	0.00	0.02	4.20	0.10	1.29	0.00	0.62	0.19	2.18	0.00	0.00	0.00	0.00	0.00	0.01	2.08	0.06	0.00
11.00	63.90	1.50	3.48	0.00	0.27	3.92	0.07	1.57	0.00	2.66	0.08	2.09	0.00	0.00	0.00	0.00	0.00	0.02	2.58	0.01	0.01
12.00	63.89	1.97	3.02	0.00	0.17	4.47	0.15	2.57	0.00	1.94	0.33	1.64	0.00	0.00	0.00	0.00	0.00	0.00	1.66	0.01	0.00
13.00	63.90	0.94	3.30	0.00	0.01	3.77	0.12	2.00	0.00	1.99	0.20	2.01	0.00	0.00	0.00	0.00	0.00	0.00	2.68	0.02	0.00
14.00	63.90	1.88	2.71	0.00	0.00	3.36	0.04	0.19	0.00	2.20	1.85	1.74	0.19	0.09	0.00	0.00	0.00	0.46	1.56	1.09	0.34
15.00	63.89	2.11	3.76	0.00	0.00	3.72	0.08	0.46	0.00	2.00	0.00	1.40	0.44	0.34	0.00	0.00	0.00	2.02	0.18	1.83	0.93
16.00	63.90	2.61	2.83	0.00	0.00	4.33	0.11	1.99	0.00	0.06	1.95	1.77	0.81	0.09	0.00	0.00	0.00	1.68	0.99	2.53	1.62
17.00	63.89	0.38	0.00	0.00	0.00	3.29	0.02	0.58	0.00	0.11	0.09	0.28	0.00	0.00	0.00	0.00	0.00	0.27	0.24	0.13	0.20
18.00	63.90	0.12	0.06	0.00	0.00	3.73	0.01	0.00	0.00	0.02	0.15	0.16	0.00	0.00	0.00	0.00	0.00	0.00	0.07	0.00	0.00
19.00	63.89	0.02	0.00	0.00	0.00	3.90	0.00	0.01	0.00	0.00	0.10	0.15	0.00	0.00	0.00	0.00	0.00	0.00	0.07	0.00	0.00
20.00	63.90	0.06	1.35	0.00	0.00	4.22	1.88	1.64	0.00	0.02	0.20	0.07	0.00	0.00	0.00	0.00	0.00	0.08	0.13	0.01	1.72
21.00	63.89	0.26	3.03	0.00	0.00	2.06	1.85	2.66	0.00	0.27	0.26	0.42	0.00	0.00	0.00	0.00	0.00	0.17	0.26	0.01	2.01
22.00	63.90	0.15	2.09	0.00	0.00	0.00	0.46	1.26	0.00	1.04	1.03	1.07	0.00	0.00	0.00	0.00	0.00	0.07	0.09	0.44	0.65
23.00	63.89	0.00	2.45	0.00	0.00	0.12	0.04	2.54	0.00	0.07	3.74	0.06	0.00	0.07	0.00	0.00	0.00	0.07	0.02	2.67	0.06
24.00	63.90	0.00	3.54	0.00	0.00	0.11	0.06	2.58	0.00	0.70	3.01	0.08	0.00	0.01	0.00	0.00	0.00	0.06	0.00	2.79	0.07
25.00	63.90	0.00	3.41	0.00	0.00	0.12	0.04	2.74	0.00	2.12	3.46	0.04	0.00	0.00	0.00	0.00	0.00	0.11	0.00	0.00	0.08
26.00	63.89	0.00	3.54	0.00	0.00	0.06	0.07	2.17	0.00	1.90	3.53	0.07	0.00	0.00	0.00	0.00	0.00	0.07	0.02	0.03	0.04
27.00	63.90	0.00	3.25	0.00	0.00	1.67	0.15	1.74	0.00	2.34	3.39	0.08	0.00	0.15	0.00	0.00	0.00	0.19	0.02	0.38	0.45
28.00	63.89	0.00	3.68	0.00	0.00	4.51	0.09	2.81	0.00	2.23	2.56	0.09	0.00	0.34	0.00	0.00	0.00	2.32	0.00	0.09	1.66
29.00	63.90	0.00	2.91	0.00	0.00	4.95	0.09	2.35	0.00	1.79	2.74	0.11	0.00	0.20	0.00	0.00	0.00	2.09	0.00	0.25	1.24
30.00	63.89	0.00	2.41	0.00	0.00	3.92	0.45	2.18	0.00	2.27	1.73	0.08	0.00	0.11	0.00	0.00	0.00	1.86	0.00	0.15	0.95
31.00	63.90	0.00	0.42	0.00	0.00	2.85	0.65	0.57	0.00	0.71	0.77	0.02	0.00	0.01	0.00	0.00	0.00	1.27	0.00	0.11	1.10
32.00	63.89	0.00	2.58	0.00	0.00	0.65	0.00	0.00	0.00	1.01	0.03	0.00	0.00	0.00	0.00	0.00	0.00	0.57	0.00	0.00	0.73
33.00	63.90	0.00	3.43	0.00	0.00	5.53	0.00	0.00	0.00	0.00	0.02	0.00	0.00	0.00	0.00	0.00	0.00	0.01	0.00	0.00	0.00
34.00	63.89	0.00	4.35	0.00	0.00	5.15	0.00	0.00	0.00	0.09	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.06	0.00	0.00	0.00
35.00	63.90	0.00	0.03	0.00	0.00	5.53	0.00	0.00	0.00	0.51	0.07	0.00	0.00	0.00	0.00	0.00	0.00	0.75	0.00	0.00	0.03
36.00	63.90	0.00	1.12	0.00	0.00	3.62	0.00	0.00	0.00	2.44	1.04	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
