Waf: Entering directory `/home/synrg-sc1/Desktop/Jiaming/ns-3.29-mesh/build'
Waf: Leaving directory `/home/synrg-sc1/Desktop/Jiaming/ns-3.29-mesh/build'
Build commands will be stored in build/compile_commands.json
'build' finished successfully (4.567s)
CreateVariables () DONE !!!
Creating 21 APs 50.00 m apart.
CreateApNodes () DONE !!!
Creating 0 CLs 20.00 m away from each AP.
CreateClNodes () DONE !!!
CreateNodes () DONE !!!
CreateMeshDevices () DONE !!!
CreateWifiDevices () DONE !!!
CreateCsmaDevices () DONE !!!
CreateDevices () DONE !!!
InstallMeshInternetStack () DONE !!!
InstallWifiInternetStack () DONE !!!
InstallCsmaInternetStack () DONE !!!
InstallInternetStack () DONE !!!
Gateway is connect to AP 0
InstallApplications () DONE !!!
Starting simulation for 40.00 s ...
-------------------------------------------------
Time[s]	ap-0	ap-1	ap-2	ap-3	ap-4	ap-5	ap-6	ap-7	ap-8	ap-9	ap-10	ap-11	ap-12	ap-13	ap-14	ap-15	ap-16	ap-17	ap-18	ap-19	ap-20
2.00	66.71	0.00	0.00	5.28	2.80	0.00	0.00	0.00	0.00	0.98	0.00	2.32	0.00	0.00	0.72	0.58	0.00	0.00	0.00	0.00	0.00
3.00	66.75	0.00	0.07	5.69	1.91	0.00	0.10	0.00	0.00	3.13	1.98	2.35	0.18	0.00	2.20	1.89	2.03	0.27	0.09	0.02	1.98
4.00	66.75	0.00	0.13	7.13	1.58	4.09	0.10	0.00	0.06	1.86	1.56	2.16	0.07	0.00	0.36	1.12	2.57	0.67	0.13	0.03	1.66
5.00	66.77	0.00	0.20	6.08	1.59	3.58	0.12	0.21	0.13	2.17	1.80	2.58	0.09	0.00	0.08	1.38	2.12	0.46	0.21	0.00	1.26
6.00	66.75	0.00	0.10	5.90	2.57	4.14	0.19	0.29	0.12	1.99	2.01	1.97	0.06	0.00	0.16	1.38	2.71	0.45	0.08	0.01	1.16
7.00	66.75	0.00	0.02	6.78	2.01	5.49	0.00	0.17	0.62	3.60	2.86	2.56	0.31	0.00	0.17	2.30	2.07	0.44	0.00	0.03	2.64
8.00	66.77	0.00	0.00	5.49	1.37	4.94	0.00	0.00	1.10	2.34	1.64	1.39	0.12	0.01	0.19	2.25	3.22	0.31	0.00	0.04	1.34
9.00	66.75	0.00	0.00	6.77	0.74	4.59	0.00	0.00	0.29	2.40	0.61	2.56	0.00	0.00	3.05	1.34	1.99	0.10	0.00	0.02	0.80
10.00	66.75	0.00	0.00	3.22	1.97	2.31	0.00	0.00	0.24	1.82	0.60	1.59	0.02	0.00	2.09	1.76	1.86	0.17	0.00	0.04	0.86
11.00	66.77	0.00	0.00	0.00	0.00	5.62	0.00	0.00	0.33	0.08	0.85	0.00	0.02	0.00	0.00	0.98	2.83	0.19	0.00	0.02	1.34
