Waf: Entering directory `/home/synrg/Desktop/Jiaming/sp2019-ns3-mesh/build'
Waf: Leaving directory `/home/synrg/Desktop/Jiaming/sp2019-ns3-mesh/build'
Build commands will be stored in build/compile_commands.json
'build' finished successfully (4.683s)
CreateVariables () DONE !!!
Creating 10 APs 50.00 m apart.
CreateApNodes () DONE !!!
Creating 0 CLs 20.00 m away from each AP.
CreateClNodes () DONE !!!
CreateNodes () DONE !!!
CreateMeshDevices () DONE !!!
CreateWifiDevices () DONE !!!
CreateCsmaDevices () DONE !!!
CreateDevices () DONE !!!
InstallMeshInternetStack () DONE !!!
InstallWifiInternetStack () DONE !!!
InstallCsmaInternetStack () DONE !!!
InstallInternetStack () DONE !!!
Gateway is connect to AP 0
InstallApplications () DONE !!!
Starting simulation for 40.00 s ...
-------------------------------------------------
Time[s]	ap-0	ap-1	ap-2	ap-3	ap-4	ap-5	ap-6	ap-7	ap-8	ap-9
2.00	37.18	0.00	0.04	6.40	3.93	0.00	0.00	0.00	0.00	0.00
3.00	37.20	0.01	4.54	3.46	3.44	0.00	0.00	0.00	0.00	0.00
4.00	37.20	0.09	4.13	4.45	4.18	0.00	0.00	0.00	0.00	0.00
5.00	37.20	0.00	4.47	4.56	4.27	0.00	0.00	0.00	0.00	0.00
6.00	37.20	0.00	4.42	4.80	4.57	0.00	0.00	0.00	0.00	0.00
7.00	37.18	0.00	3.41	1.42	3.15	0.00	0.00	0.00	0.00	0.00
8.00	37.20	0.00	7.03	0.00	6.84	0.00	0.00	0.00	0.00	0.00
9.00	37.20	0.00	7.01	0.00	7.39	0.00	0.00	0.00	0.00	0.00
10.00	37.20	0.00	6.92	0.00	7.15	0.00	0.00	0.00	0.00	0.00
11.00	37.20	0.00	6.85	0.00	7.00	0.00	0.00	0.00	0.00	0.00
12.00	37.20	0.00	7.21	0.00	7.14	0.00	0.00	0.00	0.00	0.00
13.00	37.18	0.00	6.73	0.00	7.44	0.00	0.00	0.00	0.00	0.00
14.00	37.20	0.00	6.88	0.00	7.13	0.00	0.00	0.00	0.00	0.00
15.00	37.20	0.00	6.40	0.50	7.09	0.00	0.00	0.00	0.00	0.00
16.00	37.20	0.00	6.61	0.20	7.10	0.00	0.00	0.00	0.00	0.00
17.00	37.20	0.00	6.87	0.27	7.07	0.00	0.00	0.00	0.00	0.00
18.00	37.19	0.00	3.93	0.99	3.67	0.00	0.00	0.00	0.00	0.00
19.00	37.19	0.00	5.95	2.16	6.04	0.00	0.00	0.00	0.00	0.00
20.00	37.20	0.00	5.72	2.34	5.66	0.00	0.00	0.00	0.00	0.00
21.00	37.20	0.00	0.00	3.55	4.74	0.00	0.00	0.00	0.00	0.00
22.00	37.20	0.00	0.00	6.59	6.71	0.00	0.00	0.00	0.00	0.00
23.00	37.20	0.00	0.00	0.00	8.24	0.00	0.00	0.00	0.00	0.00
24.00	37.19	0.00	0.00	6.37	7.66	0.00	0.00	0.00	0.00	0.00
25.00	37.19	0.00	0.00	7.13	7.16	0.00	0.00	0.00	0.00	0.00
26.00	37.20	0.00	0.00	0.38	12.88	0.00	0.00	0.00	0.00	0.00
27.00	37.20	0.00	0.00	0.00	13.25	0.00	0.00	0.00	0.00	0.00
28.00	37.20	0.00	0.00	3.46	3.53	0.00	0.00	0.00	0.00	0.00
29.00	37.20	0.00	0.00	13.29	0.00	0.00	0.00	0.00	0.00	0.00
30.00	37.19	0.00	0.00	13.70	0.00	0.00	0.00	0.00	0.00	0.00
31.00	37.19	0.00	0.00	13.00	0.00	0.00	0.00	0.00	0.00	0.00
32.00	37.20	0.00	0.00	13.75	0.00	0.00	0.00	0.00	0.00	0.00
33.00	37.20	0.00	0.00	4.13	0.00	0.00	0.00	0.00	0.00	0.00
34.00	37.20	0.00	0.00	12.02	0.00	0.00	0.00	0.00	0.00	0.00
35.00	37.20	0.00	0.00	13.35	0.00	0.00	0.00	0.00	0.00	0.00
36.00	37.18	0.00	0.00	13.43	0.00	0.00	0.00	0.00	0.00	0.00
37.00	37.20	0.00	0.00	13.37	0.00	0.00	0.00	0.00	0.00	0.00
38.00	37.20	0.00	0.00	13.48	0.00	0.00	0.00	0.00	0.00	0.00
39.00	37.20	0.00	0.00	13.54	0.00	0.00	0.00	0.00	0.00	0.00
