Waf: Entering directory `/home/synrg/Desktop/Jiaming/sp2019-ns3-mesh/build'
Waf: Leaving directory `/home/synrg/Desktop/Jiaming/sp2019-ns3-mesh/build'
Build commands will be stored in build/compile_commands.json
'build' finished successfully (4.676s)
CreateVariables () DONE !!!
Creating 11 APs 50.00 m apart.
CreateApNodes () DONE !!!
Creating 0 CLs 20.00 m away from each AP.
CreateClNodes () DONE !!!
CreateNodes () DONE !!!
CreateMeshDevices () DONE !!!
CreateWifiDevices () DONE !!!
CreateCsmaDevices () DONE !!!
CreateDevices () DONE !!!
InstallMeshInternetStack () DONE !!!
InstallWifiInternetStack () DONE !!!
InstallCsmaInternetStack () DONE !!!
InstallInternetStack () DONE !!!
Gateway is connect to AP 0
InstallApplications () DONE !!!
Starting simulation for 40.00 s ...
-------------------------------------------------
Time[s]	ap-0	ap-1	ap-2	ap-3	ap-4	ap-5	ap-6	ap-7	ap-8	ap-9	ap-10
2.00	36.23	0.00	0.00	5.19	0.00	0.00	0.00	3.44	0.00	0.62	0.00
3.00	36.24	0.00	0.00	2.85	0.02	0.00	0.00	4.27	0.00	0.65	0.00
4.00	36.24	0.00	0.00	6.03	0.02	0.00	0.00	6.26	0.00	0.00	0.00
5.00	36.24	0.00	0.00	6.13	0.00	0.00	0.00	6.77	0.00	0.00	0.00
6.00	36.24	0.00	0.00	7.29	0.00	0.00	0.00	6.94	0.00	0.00	0.00
7.00	36.24	0.00	0.00	3.66	0.00	0.00	0.00	4.50	0.00	0.00	0.00
8.00	36.24	0.00	0.60	0.00	0.00	0.00	0.00	11.67	0.00	0.00	0.00
9.00	36.24	0.00	2.17	0.00	0.00	0.00	0.00	8.71	0.00	0.00	0.00
10.00	36.24	0.00	0.85	0.40	0.00	0.00	0.00	2.58	0.00	0.00	0.00
11.00	36.24	0.00	0.00	9.89	0.00	0.00	0.00	3.02	0.00	0.00	0.00
12.00	36.23	0.00	0.00	7.13	0.00	0.00	0.00	6.98	0.00	0.00	0.00
13.00	36.24	0.00	0.00	6.64	0.00	0.00	0.00	6.90	0.00	0.00	0.00
14.00	36.24	0.00	0.00	7.28	0.00	0.00	0.00	6.71	0.00	0.00	0.00
15.00	36.24	0.00	0.00	5.50	0.00	0.00	0.00	5.57	0.00	0.00	0.00
16.00	36.24	0.00	0.00	0.12	0.00	0.00	0.00	0.00	0.00	0.00	0.00
17.00	36.24	0.00	0.00	12.91	0.00	0.00	0.00	0.00	0.00	0.00	0.00
18.00	36.24	0.00	0.00	11.39	0.00	0.00	0.00	0.88	0.00	0.06	0.00
19.00	36.24	0.00	0.00	13.07	0.00	0.00	0.00	0.00	0.00	0.02	0.00
20.00	36.24	0.00	0.00	13.46	0.00	0.00	0.00	0.00	0.00	0.00	0.00
21.00	36.24	0.00	0.00	8.40	0.00	0.00	0.00	0.00	0.00	0.00	0.00
22.00	36.24	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
23.00	36.23	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
24.00	36.24	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
25.00	36.24	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
26.00	36.24	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
27.00	36.24	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
28.00	36.24	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
29.00	36.24	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
30.00	36.24	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
31.00	36.24	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
32.00	36.24	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
33.00	36.24	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
34.00	36.24	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
35.00	36.24	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
36.00	36.24	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
37.00	36.24	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
38.00	36.24	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
39.00	36.24	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
