Waf: Entering directory `/home/synrg/Desktop/Jiaming/sp2019-ns3-mesh/build'
Waf: Leaving directory `/home/synrg/Desktop/Jiaming/sp2019-ns3-mesh/build'
Build commands will be stored in build/compile_commands.json
'build' finished successfully (4.677s)
CreateVariables () DONE !!!
Creating 12 APs 50.00 m apart.
CreateApNodes () DONE !!!
Creating 0 CLs 20.00 m away from each AP.
CreateClNodes () DONE !!!
CreateNodes () DONE !!!
CreateMeshDevices () DONE !!!
CreateWifiDevices () DONE !!!
CreateCsmaDevices () DONE !!!
CreateDevices () DONE !!!
InstallMeshInternetStack () DONE !!!
InstallWifiInternetStack () DONE !!!
InstallCsmaInternetStack () DONE !!!
InstallInternetStack () DONE !!!
Gateway is connect to AP 0
InstallApplications () DONE !!!
Starting simulation for 40.00 s ...
-------------------------------------------------
Time[s]	ap-0	ap-1	ap-2	ap-3	ap-4	ap-5	ap-6	ap-7	ap-8	ap-9	ap-10	ap-11
2.00	36.23	25.74	25.74	0.00	0.00	0.00	0.00	8.19	0.25	0.00	0.00	0.00
3.00	36.24	25.75	25.75	0.00	0.00	0.00	0.00	7.02	2.90	0.00	0.00	0.00
4.00	36.24	25.75	25.75	0.00	0.00	0.00	0.00	7.74	3.69	0.00	0.00	0.00
5.00	36.24	25.75	25.75	0.00	0.00	0.00	0.00	7.75	4.20	0.00	0.00	0.00
6.00	36.24	25.73	25.74	0.00	0.00	0.00	0.00	9.28	4.39	0.00	0.00	0.00
7.00	36.24	25.76	25.75	0.00	0.00	0.00	0.00	9.07	4.41	0.00	0.00	0.00
8.00	36.24	25.75	25.75	0.00	0.00	0.00	0.00	9.51	3.75	0.00	0.00	0.00
9.00	36.24	25.75	25.75	0.00	0.00	0.00	0.00	9.30	4.52	0.00	0.00	0.00
10.00	36.24	25.75	25.74	0.00	0.00	0.00	0.00	9.21	4.49	0.00	0.00	0.00
11.00	36.23	25.74	25.75	0.00	0.00	0.00	0.11	5.91	5.77	0.00	0.00	0.00
12.00	36.24	25.75	25.75	0.00	0.00	0.00	0.03	1.83	9.79	0.00	0.00	0.00
13.00	36.24	25.75	25.75	0.00	0.00	0.00	0.00	0.00	11.83	0.00	0.00	0.00
14.00	36.24	25.75	25.75	0.00	0.00	0.00	0.00	0.00	11.68	0.00	0.00	0.00
15.00	36.24	25.74	25.75	0.00	0.00	0.00	0.00	0.49	10.95	0.00	0.00	0.00
16.00	36.24	25.75	25.74	0.00	0.00	0.00	0.00	9.17	4.45	0.00	0.00	0.00
17.00	36.24	25.75	25.75	0.00	0.00	0.00	0.00	0.00	11.87	0.00	0.00	0.00
18.00	36.24	25.75	25.75	0.00	0.00	0.00	0.00	4.06	7.80	0.00	0.00	0.00
19.00	36.24	25.75	25.75	0.00	0.00	0.00	0.00	13.49	0.00	0.00	0.00	0.00
20.00	36.24	25.75	25.74	0.00	0.00	0.00	0.00	13.28	0.00	0.00	0.00	0.00
21.00	36.24	25.74	25.75	0.00	0.00	0.00	0.00	13.28	0.00	0.00	0.00	0.00
22.00	36.24	25.75	25.75	0.00	0.00	0.00	0.00	13.49	0.00	0.00	0.00	0.00
23.00	36.23	25.75	25.75	5.84	0.00	0.00	0.00	0.35	0.00	0.00	0.00	0.00
24.00	36.24	25.75	25.75	5.56	0.00	0.00	0.00	8.58	0.00	0.00	0.00	0.00
25.00	36.24	25.74	25.75	9.58	0.00	0.00	0.00	3.98	0.00	0.00	0.00	0.00
26.00	36.24	25.75	25.74	13.36	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
27.00	36.24	25.75	25.75	13.38	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
28.00	36.24	25.75	25.75	2.54	0.00	0.00	0.00	1.59	0.00	0.00	0.00	0.00
29.00	36.24	25.75	25.75	0.00	0.00	0.00	0.00	12.69	0.00	0.00	0.00	0.00
30.00	36.24	25.75	25.75	0.00	0.00	0.00	0.00	13.47	0.00	0.00	0.00	0.00
31.00	36.24	25.74	25.74	0.00	0.00	0.00	0.21	12.89	0.00	0.00	0.00	0.00
32.00	36.24	25.75	25.75	0.00	0.00	0.00	0.00	13.19	0.00	0.00	0.00	0.00
33.00	36.23	25.75	25.75	4.64	0.00	0.00	0.00	9.03	0.00	0.00	0.00	0.00
34.00	36.24	25.75	25.75	4.93	0.00	0.00	0.00	9.37	0.00	0.00	0.00	0.00
35.00	36.24	25.75	25.74	5.37	0.00	0.00	0.00	8.56	0.00	0.00	0.00	0.00
36.00	36.24	25.74	25.75	5.46	0.00	0.00	0.00	8.73	0.00	0.00	0.00	0.00
37.00	36.24	25.75	25.75	4.71	0.00	0.00	0.00	9.39	0.00	0.00	0.00	0.00
38.00	36.24	25.75	25.75	0.84	0.00	0.00	0.00	0.93	0.00	0.00	0.00	0.00
39.00	36.24	25.75	25.75	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
