Waf: Entering directory `/home/synrg/Desktop/Jiaming/sp2019-ns3-mesh/build'
Waf: Leaving directory `/home/synrg/Desktop/Jiaming/sp2019-ns3-mesh/build'
Build commands will be stored in build/compile_commands.json
'build' finished successfully (4.681s)
CreateVariables () DONE !!!
Creating 13 APs 50.00 m apart.
CreateApNodes () DONE !!!
Creating 0 CLs 20.00 m away from each AP.
CreateClNodes () DONE !!!
CreateNodes () DONE !!!
CreateMeshDevices () DONE !!!
CreateWifiDevices () DONE !!!
CreateCsmaDevices () DONE !!!
CreateDevices () DONE !!!
InstallMeshInternetStack () DONE !!!
InstallWifiInternetStack () DONE !!!
InstallCsmaInternetStack () DONE !!!
InstallInternetStack () DONE !!!
Gateway is connect to AP 0
InstallApplications () DONE !!!
Starting simulation for 40.00 s ...
-------------------------------------------------
Time[s]	ap-0	ap-1	ap-2	ap-3	ap-4	ap-5	ap-6	ap-7	ap-8	ap-9	ap-10	ap-11	ap-12
2.00	33.38	33.37	0.00	0.70	3.41	0.00	1.22	0.00	0.00	0.00	0.00	0.00	0.00
3.00	33.38	33.38	18.84	3.30	5.25	0.00	1.33	0.00	0.00	0.00	0.00	0.00	0.00
4.00	33.38	33.38	24.80	2.92	5.30	0.00	3.29	0.00	0.00	0.00	0.00	0.00	0.00
5.00	33.38	33.38	24.80	3.17	5.25	0.00	3.22	0.00	0.00	0.00	0.00	0.00	0.00
6.00	33.38	33.38	24.80	3.97	5.23	0.00	4.40	0.00	0.00	0.00	0.00	0.00	0.00
7.00	33.38	33.38	24.80	4.07	5.70	0.00	4.25	0.00	0.00	0.00	0.00	0.00	0.00
8.00	33.38	33.38	24.80	4.25	5.91	0.00	4.08	0.00	0.00	0.00	0.00	0.00	0.00
9.00	33.39	33.38	24.79	2.49	9.99	0.00	1.04	0.00	0.00	0.00	0.00	0.00	0.00
10.00	33.38	33.39	24.79	4.17	5.69	0.00	4.27	0.00	0.00	0.00	0.00	0.00	0.00
11.00	33.38	33.38	24.80	4.22	4.49	0.00	4.04	0.00	0.00	0.00	0.00	0.00	0.00
12.00	33.38	33.38	24.80	5.99	1.80	0.00	5.69	0.00	0.00	0.00	0.00	0.00	0.00
13.00	33.38	33.38	24.80	6.72	0.00	0.00	6.80	0.00	0.00	0.00	0.00	0.00	0.00
14.00	33.38	33.38	24.80	6.44	0.00	0.00	6.82	0.00	0.00	0.00	0.00	0.00	0.00
15.00	33.38	33.38	24.80	6.85	0.00	0.00	4.83	0.00	0.00	0.00	0.00	0.00	0.00
16.00	33.38	33.38	24.80	5.71	0.00	0.00	3.54	0.00	0.00	0.00	0.00	0.00	0.00
17.00	33.38	33.38	24.80	4.56	0.00	0.00	7.90	0.00	0.00	0.00	0.00	0.00	0.00
18.00	33.38	33.38	24.79	0.00	0.00	0.00	13.34	0.00	0.00	0.00	0.00	0.00	0.00
19.00	33.38	33.38	24.80	0.00	0.00	0.00	3.58	0.00	0.00	0.00	0.00	0.00	0.00
20.00	33.38	33.38	24.80	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
21.00	33.38	33.38	24.80	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
22.00	33.39	33.37	24.80	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
23.00	33.38	33.39	24.80	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
24.00	33.38	33.38	24.80	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
25.00	33.38	33.38	24.80	1.75	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
26.00	33.38	33.38	24.79	12.66	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
27.00	33.38	33.38	24.79	12.88	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
28.00	33.38	33.38	24.80	8.57	5.06	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
29.00	33.38	33.39	24.80	7.29	6.91	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
30.00	33.38	33.37	24.80	7.48	6.36	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
31.00	33.38	33.38	24.80	7.03	7.20	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
32.00	33.38	33.38	24.80	6.87	7.27	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
33.00	33.38	33.38	24.80	7.16	7.09	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
34.00	33.38	33.38	24.80	6.77	6.94	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
35.00	33.38	33.38	24.79	6.83	7.30	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
36.00	33.38	33.38	24.80	6.98	7.20	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
37.00	33.35	33.38	24.80	6.59	7.25	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
38.00	33.40	33.38	24.80	0.00	8.90	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
39.00	33.38	33.38	24.80	6.60	7.74	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
