Waf: Entering directory `/home/synrg/Desktop/Jiaming/sp2019-ns3-mesh/build'
Waf: Leaving directory `/home/synrg/Desktop/Jiaming/sp2019-ns3-mesh/build'
Build commands will be stored in build/compile_commands.json
'build' finished successfully (4.687s)
CreateVariables () DONE !!!
Creating 14 APs 50.00 m apart.
CreateApNodes () DONE !!!
Creating 0 CLs 20.00 m away from each AP.
CreateClNodes () DONE !!!
CreateNodes () DONE !!!
CreateMeshDevices () DONE !!!
CreateWifiDevices () DONE !!!
CreateCsmaDevices () DONE !!!
CreateDevices () DONE !!!
InstallMeshInternetStack () DONE !!!
InstallWifiInternetStack () DONE !!!
InstallCsmaInternetStack () DONE !!!
InstallInternetStack () DONE !!!
Gateway is connect to AP 0
InstallApplications () DONE !!!
Starting simulation for 40.00 s ...
-------------------------------------------------
Time[s]	ap-0	ap-1	ap-2	ap-3	ap-4	ap-5	ap-6	ap-7	ap-8	ap-9	ap-10	ap-11	ap-12	ap-13
2.00	32.42	0.00	0.15	5.04	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
3.00	32.42	2.35	0.69	1.41	2.24	0.02	0.00	0.00	0.00	0.04	0.00	0.00	0.00	0.00
4.00	32.42	3.25	0.00	2.77	4.61	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
5.00	32.42	3.40	0.33	2.64	4.42	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
6.00	32.43	2.88	1.45	2.99	4.53	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
7.00	32.42	7.98	0.67	1.36	0.79	0.00	0.00	0.00	0.00	0.09	0.00	0.00	0.00	0.00
8.00	32.42	4.65	1.95	1.33	0.24	0.00	0.00	0.00	0.00	0.58	0.00	0.00	0.00	0.00
9.00	32.42	5.25	0.47	1.28	2.15	0.02	0.00	0.00	0.00	2.45	0.00	0.00	0.00	0.00
10.00	32.43	5.83	0.00	1.85	3.10	0.00	0.00	0.00	0.00	0.73	0.00	0.00	0.00	0.00
11.00	32.43	0.34	0.00	6.70	6.12	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
12.00	32.42	0.10	0.00	4.76	3.37	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
13.00	32.42	0.00	0.00	13.16	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
14.00	32.43	0.00	0.00	13.44	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
15.00	32.43	0.00	0.00	7.48	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
16.00	32.42	0.00	0.45	10.02	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
17.00	32.42	0.00	1.93	8.06	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
18.00	32.42	0.00	0.00	12.29	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
19.00	32.43	0.00	0.00	10.96	1.21	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
20.00	32.42	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	3.95	0.00	0.00	0.00	0.00
21.00	32.42	0.00	0.00	5.53	0.69	0.00	0.00	0.00	0.00	4.69	0.00	0.00	0.00	0.00
22.00	32.42	0.00	0.00	6.45	0.00	0.00	0.00	0.00	0.00	5.48	0.00	0.00	0.00	0.00
23.00	32.43	0.00	0.00	5.30	0.00	0.00	0.00	0.00	0.00	4.92	0.00	0.00	0.00	0.00
24.00	32.42	0.00	0.00	6.18	0.48	0.00	0.00	0.00	0.00	6.60	0.00	0.00	0.00	0.00
25.00	32.42	0.00	0.00	5.84	1.25	0.00	0.00	0.00	0.00	6.09	0.00	0.00	0.00	0.00
26.00	32.42	0.00	0.00	6.10	1.87	0.00	0.00	0.00	0.00	5.79	0.00	0.00	0.00	0.00
27.00	32.43	0.00	0.00	6.18	2.21	0.00	0.00	0.00	0.00	5.88	0.00	0.00	0.00	0.00
28.00	32.42	0.00	0.00	8.22	0.49	0.00	0.00	0.00	0.00	0.96	0.00	0.00	0.00	0.00
29.00	32.42	0.00	0.00	13.16	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
30.00	32.42	0.00	0.00	10.21	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
31.00	32.43	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
32.00	32.43	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
33.00	32.42	0.00	0.00	3.17	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
34.00	32.42	0.00	0.00	13.30	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
35.00	32.43	0.00	0.00	12.18	0.00	0.00	0.00	0.00	0.00	0.17	0.00	0.00	0.00	0.00
36.00	32.43	0.00	0.00	5.32	0.00	0.00	0.00	0.00	0.00	5.32	0.00	0.00	0.00	0.00
37.00	32.42	0.00	0.00	2.11	0.00	0.00	0.00	0.00	0.00	8.62	0.00	0.00	0.00	0.00
38.00	32.42	0.00	0.00	7.70	0.00	0.00	0.00	0.00	0.00	4.66	0.00	0.00	0.00	0.00
39.00	32.42	0.00	0.00	1.69	0.00	0.00	0.00	0.00	0.00	5.87	0.00	0.00	0.00	0.00
