Waf: Entering directory `/home/synrg/Desktop/Jiaming/sp2019-ns3-mesh/build'
Waf: Leaving directory `/home/synrg/Desktop/Jiaming/sp2019-ns3-mesh/build'
Build commands will be stored in build/compile_commands.json
'build' finished successfully (4.695s)
CreateVariables () DONE !!!
Creating 15 APs 50.00 m apart.
CreateApNodes () DONE !!!
Creating 0 CLs 20.00 m away from each AP.
CreateClNodes () DONE !!!
CreateNodes () DONE !!!
CreateMeshDevices () DONE !!!
CreateWifiDevices () DONE !!!
CreateCsmaDevices () DONE !!!
CreateDevices () DONE !!!
InstallMeshInternetStack () DONE !!!
InstallWifiInternetStack () DONE !!!
InstallCsmaInternetStack () DONE !!!
InstallInternetStack () DONE !!!
Gateway is connect to AP 0
InstallApplications () DONE !!!
Starting simulation for 40.00 s ...
-------------------------------------------------
Time[s]	ap-0	ap-1	ap-2	ap-3	ap-4	ap-5	ap-6	ap-7	ap-8	ap-9	ap-10	ap-11	ap-12	ap-13	ap-14
2.00	37.18	34.32	33.37	0.00	0.00	0.00	0.00	0.00	4.22	0.00	0.00	0.00	0.00	0.00	0.00
3.00	37.20	34.34	33.38	7.75	0.00	0.00	0.00	0.00	3.14	0.00	0.00	0.00	0.00	0.00	0.00
4.00	37.20	34.33	33.38	5.89	2.31	0.00	0.00	0.00	2.85	0.00	0.00	0.00	0.00	0.00	0.00
5.00	37.19	34.33	33.38	3.97	0.31	0.00	0.00	0.00	2.12	0.00	0.00	0.00	0.00	0.00	0.00
6.00	37.20	34.33	33.38	8.77	2.43	0.00	0.00	0.00	2.74	0.00	0.00	0.00	0.00	0.00	0.00
7.00	37.18	34.33	33.38	7.22	2.16	0.00	0.00	0.00	4.06	0.00	0.00	0.00	0.00	0.00	0.00
8.00	37.20	34.33	33.38	9.07	0.00	0.00	0.00	0.00	4.93	0.00	0.00	0.00	0.00	0.00	0.00
9.00	37.20	34.33	33.38	3.47	0.00	0.00	0.00	0.00	3.73	0.00	0.00	0.00	0.00	0.00	0.00
10.00	37.20	34.33	33.38	0.00	0.00	0.00	0.00	0.00	6.89	0.00	0.00	0.00	0.00	0.00	0.00
11.00	37.20	34.33	33.38	0.00	0.00	0.00	0.00	0.00	2.83	0.00	0.00	0.00	0.00	0.00	0.00
12.00	37.19	34.33	33.38	3.54	0.00	1.14	0.00	0.00	7.32	0.00	0.00	0.00	0.00	0.00	0.00
13.00	37.19	34.33	33.38	7.37	0.00	1.90	0.00	0.00	3.19	0.00	0.00	0.00	0.00	0.00	0.00
14.00	37.20	34.33	33.38	8.54	0.01	1.92	0.00	0.00	2.02	0.00	0.00	0.00	0.00	0.00	0.00
15.00	37.20	34.33	33.39	10.76	0.00	2.23	0.00	0.00	0.08	0.00	0.00	0.00	0.00	0.00	0.00
16.00	37.20	34.33	33.38	1.10	0.00	6.04	0.00	0.00	3.62	0.00	0.00	0.00	0.00	0.00	0.00
17.00	37.20	34.34	33.38	0.00	0.00	7.12	0.00	0.00	3.06	0.00	0.00	0.00	0.00	0.00	0.00
18.00	37.19	34.34	33.38	0.00	0.00	8.40	0.00	0.00	2.11	0.00	0.00	0.00	0.00	0.00	0.00
19.00	37.19	34.33	33.38	0.00	0.00	6.50	0.00	0.00	3.77	0.00	0.00	0.00	0.00	0.00	0.00
20.00	37.20	34.34	33.38	0.00	0.00	5.77	0.00	0.00	4.78	0.00	0.00	0.00	0.00	0.00	0.00
21.00	37.20	34.33	33.38	0.00	0.04	0.48	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
22.00	37.20	34.33	33.39	0.00	0.03	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
23.00	37.19	34.33	33.38	0.00	0.01	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
24.00	37.19	34.33	33.38	3.12	0.00	1.97	0.00	0.00	5.30	0.00	0.00	0.00	0.00	0.00	0.00
25.00	37.20	34.33	33.38	4.98	0.00	1.30	0.00	0.00	4.98	0.00	0.00	0.00	0.00	0.00	0.00
26.00	37.20	34.33	33.38	4.97	0.28	0.00	0.00	0.00	2.75	0.00	0.00	0.00	0.00	0.00	0.00
27.00	37.20	34.33	33.38	8.11	1.28	0.00	0.00	0.00	3.64	0.00	0.00	0.00	0.00	0.00	0.00
28.00	37.20	34.33	33.38	9.35	0.00	0.45	0.00	0.00	4.03	0.00	0.00	0.00	0.00	0.00	0.00
29.00	37.19	34.33	33.39	8.26	0.00	2.29	0.00	0.00	1.27	0.00	0.00	0.00	0.00	0.00	0.00
30.00	37.20	34.33	33.38	6.46	0.00	1.55	0.00	0.00	3.50	0.00	0.00	0.00	0.00	0.00	0.00
31.00	37.19	34.33	33.38	5.39	0.00	1.06	0.00	0.00	2.36	0.00	0.00	0.00	0.00	0.00	0.00
32.00	37.20	34.34	33.38	0.00	0.00	7.55	0.00	0.00	1.44	0.00	0.00	0.00	0.00	0.00	0.00
33.00	37.20	34.34	33.38	0.00	0.02	6.48	0.00	0.00	5.12	0.00	0.00	0.00	0.00	0.00	0.00
34.00	37.20	34.33	33.38	0.00	0.92	5.86	0.00	0.00	4.49	0.00	0.00	0.00	0.00	0.00	0.00
35.00	37.19	34.33	33.38	0.00	1.79	5.19	0.00	0.00	4.00	0.00	0.00	0.00	0.00	0.00	0.00
36.00	37.19	34.33	33.38	0.00	1.62	4.58	0.00	0.00	3.37	0.00	0.00	0.00	0.00	0.00	0.00
37.00	37.20	34.33	33.38	0.00	0.01	0.00	0.00	0.00	10.40	0.00	0.00	0.00	0.00	0.00	0.00
38.00	37.20	33.08	33.38	0.00	0.20	3.70	0.00	0.00	3.93	0.00	0.00	0.00	0.00	0.00	0.00
39.00	37.20	0.00	33.38	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
