Waf: Entering directory `/home/synrg/Desktop/Jiaming/sp2019-ns3-mesh/build'
Waf: Leaving directory `/home/synrg/Desktop/Jiaming/sp2019-ns3-mesh/build'
Build commands will be stored in build/compile_commands.json
'build' finished successfully (4.682s)
CreateVariables () DONE !!!
Creating 16 APs 50.00 m apart.
CreateApNodes () DONE !!!
Creating 0 CLs 20.00 m away from each AP.
CreateClNodes () DONE !!!
CreateNodes () DONE !!!
CreateMeshDevices () DONE !!!
CreateWifiDevices () DONE !!!
CreateCsmaDevices () DONE !!!
CreateDevices () DONE !!!
InstallMeshInternetStack () DONE !!!
InstallWifiInternetStack () DONE !!!
InstallCsmaInternetStack () DONE !!!
InstallInternetStack () DONE !!!
Gateway is connect to AP 0
InstallApplications () DONE !!!
Starting simulation for 40.00 s ...
-------------------------------------------------
Time[s]	ap-0	ap-1	ap-2	ap-3	ap-4	ap-5	ap-6	ap-7	ap-8	ap-9	ap-10	ap-11	ap-12	ap-13	ap-14	ap-15
2.00	38.14	0.00	0.00	0.97	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.50	0.00
3.00	38.15	0.00	0.00	4.81	0.01	0.00	0.00	3.94	0.00	0.00	0.00	0.00	0.00	0.00	0.51	0.00
4.00	38.15	0.00	0.00	5.16	0.00	0.00	3.11	1.80	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
5.00	38.14	33.42	1.20	4.95	0.00	0.00	2.32	1.25	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
6.00	38.15	32.43	3.80	4.39	0.31	0.00	3.60	2.09	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
7.00	38.15	32.42	4.60	4.05	0.34	0.00	2.30	2.74	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
8.00	38.15	32.42	3.30	6.58	0.02	0.00	2.55	1.97	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
9.00	38.14	32.42	1.08	3.31	0.00	0.00	3.92	0.66	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
10.00	38.15	32.43	0.00	3.79	0.00	0.00	5.16	0.90	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
11.00	38.15	32.42	1.84	0.63	0.12	0.00	1.64	4.13	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
12.00	38.15	32.42	2.99	3.50	0.51	0.00	2.83	2.52	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
13.00	38.14	32.42	2.65	4.38	0.72	0.00	2.25	2.34	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
14.00	38.15	32.43	3.46	3.39	0.42	0.00	3.86	3.03	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
15.00	38.15	32.43	3.15	3.77	0.31	0.00	3.61	3.29	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
16.00	38.15	32.42	4.29	3.87	0.90	0.00	1.33	2.64	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
17.00	38.15	32.42	3.23	3.56	0.56	0.00	3.05	3.51	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
18.00	38.15	32.42	3.43	3.69	0.21	0.00	3.39	3.61	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
19.00	38.15	32.43	4.15	3.32	0.24	0.00	3.18	3.43	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
