Waf: Entering directory `/home/synrg/Desktop/Jiaming/sp2019-ns3-mesh/build'
Waf: Leaving directory `/home/synrg/Desktop/Jiaming/sp2019-ns3-mesh/build'
Build commands will be stored in build/compile_commands.json
'build' finished successfully (4.684s)
CreateVariables () DONE !!!
Creating 17 APs 50.00 m apart.
CreateApNodes () DONE !!!
Creating 0 CLs 20.00 m away from each AP.
CreateClNodes () DONE !!!
CreateNodes () DONE !!!
CreateMeshDevices () DONE !!!
CreateWifiDevices () DONE !!!
CreateCsmaDevices () DONE !!!
CreateDevices () DONE !!!
InstallMeshInternetStack () DONE !!!
InstallWifiInternetStack () DONE !!!
InstallCsmaInternetStack () DONE !!!
InstallInternetStack () DONE !!!
Gateway is connect to AP 0
InstallApplications () DONE !!!
Starting simulation for 40.00 s ...
-------------------------------------------------
Time[s]	ap-0	ap-1	ap-2	ap-3	ap-4	ap-5	ap-6	ap-7	ap-8	ap-9	ap-10	ap-11	ap-12	ap-13	ap-14	ap-15	ap-16
2.00	35.27	1.84	0.00	0.00	0.00	0.53	0.00	0.80	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
3.00	35.29	33.46	0.00	0.00	0.00	0.49	0.00	3.38	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.61	0.00
4.00	35.29	33.38	0.00	0.00	0.00	0.07	1.84	5.81	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
5.00	35.29	33.38	0.00	0.00	0.00	1.74	2.78	4.94	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
6.00	35.29	33.38	0.00	0.00	0.00	2.68	3.72	5.91	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
7.00	35.29	33.38	0.00	0.00	0.00	3.55	4.56	5.18	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
8.00	35.29	33.38	0.00	0.00	0.00	4.16	2.83	4.40	0.00	0.00	0.00	0.01	0.00	0.00	0.00	0.00	0.00
9.00	35.29	33.38	0.00	0.00	0.00	3.97	3.44	5.12	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
10.00	35.29	33.38	0.00	0.00	0.00	4.32	2.83	5.51	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
11.00	35.29	33.38	0.00	0.00	0.00	4.18	2.10	4.91	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
12.00	35.29	33.38	0.00	0.00	0.00	2.63	1.51	2.99	0.00	3.51	0.00	0.00	0.00	0.00	0.00	0.00	0.00
13.00	35.29	33.38	0.00	0.00	0.00	2.79	4.45	0.00	0.00	4.73	0.00	0.00	0.00	0.00	0.00	0.00	0.00
14.00	35.29	33.38	0.00	0.00	0.00	3.32	5.07	0.00	0.00	3.44	0.00	0.00	0.00	0.00	0.00	0.00	0.00
15.00	35.29	33.39	0.00	0.00	0.00	3.52	5.57	0.02	0.00	4.12	0.00	0.00	0.00	0.00	0.00	0.00	0.00
16.00	35.29	33.38	0.00	0.00	0.00	2.19	1.69	0.06	0.00	9.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
17.00	35.29	33.38	0.34	0.00	0.00	3.35	0.55	0.02	0.00	5.35	0.00	0.00	0.00	0.00	0.00	0.00	0.00
18.00	35.29	33.38	0.00	0.00	0.00	0.00	0.30	0.00	0.00	2.12	0.00	0.00	0.00	0.00	0.00	0.00	0.00
19.00	35.29	33.38	4.02	0.00	0.00	4.83	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
20.00	35.29	33.38	5.37	0.00	0.00	4.70	2.60	0.01	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.18	0.00
21.00	35.29	33.38	4.61	0.00	0.00	4.06	4.22	0.00	0.00	0.12	0.00	0.00	0.00	0.00	0.00	0.04	0.00
22.00	35.29	33.38	0.15	0.00	0.00	0.02	3.61	0.00	0.00	1.53	0.00	0.00	0.00	0.00	0.00	0.00	0.00
23.00	35.29	33.38	1.42	0.00	0.00	0.00	3.91	0.00	0.00	0.12	0.00	0.00	0.00	0.00	0.00	0.00	0.00
24.00	35.29	33.38	2.57	0.00	0.00	0.00	6.57	0.00	0.00	0.86	0.00	0.00	0.00	0.00	0.00	0.00	0.00
25.00	35.29	33.38	0.47	0.00	0.00	0.00	5.83	0.00	0.00	2.59	0.00	0.00	0.00	0.00	0.00	0.00	0.00
26.00	35.29	33.38	0.00	0.00	0.00	0.00	5.86	0.00	0.00	3.19	0.00	0.00	0.00	0.00	0.00	0.00	0.00
27.00	35.29	33.38	0.00	0.00	0.00	0.00	5.35	0.00	0.00	3.25	0.00	0.00	0.00	0.00	0.00	0.00	0.00
28.00	35.29	33.38	0.00	0.00	0.00	0.00	6.25	0.68	0.00	1.85	0.00	0.00	0.00	0.00	0.00	0.00	0.00
29.00	35.29	33.39	0.00	0.00	0.00	0.00	3.07	1.18	0.00	0.60	0.00	0.00	0.00	0.00	0.00	0.00	0.00
30.00	35.29	33.38	0.00	0.00	0.00	0.00	6.34	6.51	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
31.00	35.29	33.38	0.00	0.00	0.00	0.00	6.36	6.58	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
32.00	35.29	33.38	0.00	0.00	0.00	0.00	3.14	7.57	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
33.00	35.29	33.38	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
34.00	35.29	33.38	0.00	0.00	0.00	0.00	0.00	0.50	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
35.00	35.29	33.38	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
36.00	35.29	33.38	0.00	0.00	0.00	0.00	3.50	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
37.00	35.29	33.38	0.00	0.00	0.00	2.27	5.96	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
38.00	35.29	33.38	0.00	0.00	0.00	3.95	5.72	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
39.00	35.29	33.38	0.00	0.00	0.00	2.31	6.71	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
