Waf: Entering directory `/home/synrg/Desktop/Jiaming/sp2019-ns3-mesh/build'
Waf: Leaving directory `/home/synrg/Desktop/Jiaming/sp2019-ns3-mesh/build'
Build commands will be stored in build/compile_commands.json
'build' finished successfully (4.700s)
CreateVariables () DONE !!!
Creating 18 APs 50.00 m apart.
CreateApNodes () DONE !!!
Creating 0 CLs 20.00 m away from each AP.
CreateClNodes () DONE !!!
CreateNodes () DONE !!!
CreateMeshDevices () DONE !!!
CreateWifiDevices () DONE !!!
CreateCsmaDevices () DONE !!!
CreateDevices () DONE !!!
InstallMeshInternetStack () DONE !!!
InstallWifiInternetStack () DONE !!!
InstallCsmaInternetStack () DONE !!!
InstallInternetStack () DONE !!!
Gateway is connect to AP 0
InstallApplications () DONE !!!
Starting simulation for 40.00 s ...
-------------------------------------------------
Time[s]	ap-0	ap-1	ap-2	ap-3	ap-4	ap-5	ap-6	ap-7	ap-8	ap-9	ap-10	ap-11	ap-12	ap-13	ap-14	ap-15	ap-16	ap-17
2.00	37.18	37.18	5.59	0.38	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
3.00	37.20	37.20	31.79	2.93	2.72	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
4.00	37.20	37.20	31.47	1.64	4.07	0.00	0.00	0.00	0.00	1.12	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
5.00	37.20	37.20	31.48	3.68	3.86	0.00	0.00	0.00	0.00	2.51	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
6.00	37.20	37.18	31.47	4.32	3.05	0.00	0.00	0.00	0.00	4.29	0.01	0.00	0.00	0.00	0.00	0.00	0.00	0.00
7.00	37.18	37.20	31.47	3.50	4.68	0.44	0.00	0.00	0.00	4.43	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
8.00	37.20	37.20	31.48	3.89	5.20	0.00	0.00	0.00	0.00	5.07	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
9.00	37.20	37.20	31.47	4.34	5.29	0.00	0.00	0.00	0.00	5.03	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
10.00	37.20	37.20	31.47	9.77	1.73	0.00	0.00	0.00	0.00	1.26	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
11.00	37.19	37.20	31.47	6.64	3.81	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
12.00	37.19	37.19	31.47	5.82	7.52	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
13.00	37.19	37.19	31.47	5.10	5.88	0.00	0.00	0.00	0.00	3.04	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
14.00	37.20	37.20	31.48	3.16	5.37	0.00	0.00	0.00	0.00	3.33	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
15.00	37.20	37.20	31.47	0.00	13.23	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
16.00	37.20	37.20	31.47	0.00	4.63	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
17.00	37.20	37.19	31.47	0.00	13.26	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
18.00	37.20	37.19	31.48	0.00	13.34	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
19.00	37.18	37.20	31.47	0.00	13.18	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
20.00	37.20	37.20	31.47	0.00	13.35	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
21.00	37.20	37.20	31.48	0.00	11.90	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
22.00	37.20	37.20	31.47	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
23.00	37.20	37.20	31.47	0.00	3.91	0.76	0.00	0.00	2.25	0.00	0.00	0.00	0.06	0.00	0.00	0.00	0.00	0.00
24.00	37.19	37.18	31.48	0.00	4.98	3.93	0.00	0.00	0.29	0.00	0.00	0.00	0.59	0.62	0.00	0.00	0.00	0.00
25.00	37.19	37.20	31.47	0.00	7.23	5.47	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
26.00	37.20	37.20	31.47	0.00	12.59	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
27.00	37.20	37.20	31.48	0.00	11.84	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
28.00	37.20	37.19	31.47	0.00	12.70	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
29.00	37.20	37.19	31.47	0.00	6.77	5.62	0.00	0.00	0.00	0.44	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
30.00	37.19	37.20	31.47	0.00	5.46	4.22	0.00	0.00	0.00	3.71	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
31.00	37.19	37.20	31.48	0.00	5.10	4.28	0.00	0.00	0.00	4.09	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
32.00	37.20	37.20	31.47	0.00	8.63	2.40	0.00	0.00	0.00	2.37	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
33.00	37.20	37.20	31.47	0.00	5.81	4.08	0.00	0.00	0.00	4.04	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
34.00	37.20	37.18	31.47	0.00	5.71	4.46	0.00	0.00	0.00	3.95	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
35.00	37.20	37.20	31.47	0.00	5.19	4.74	0.00	0.00	0.00	4.16	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
36.00	37.18	37.20	31.47	0.00	5.10	4.69	0.00	0.00	0.00	4.37	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
37.00	37.20	37.20	31.48	0.00	5.08	4.42	0.00	0.00	0.00	4.17	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
38.00	37.20	37.20	31.47	0.00	7.84	0.35	0.00	0.00	0.00	5.57	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
39.00	37.20	37.20	31.47	0.00	5.79	1.89	0.00	0.00	0.07	4.72	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
