Waf: Entering directory `/home/synrg/Desktop/Jiaming/sp2019-ns3-mesh/build'
Waf: Leaving directory `/home/synrg/Desktop/Jiaming/sp2019-ns3-mesh/build'
Build commands will be stored in build/compile_commands.json
'build' finished successfully (4.685s)
CreateVariables () DONE !!!
Creating 20 APs 50.00 m apart.
CreateApNodes () DONE !!!
Creating 0 CLs 20.00 m away from each AP.
CreateClNodes () DONE !!!
CreateNodes () DONE !!!
CreateMeshDevices () DONE !!!
CreateWifiDevices () DONE !!!
CreateCsmaDevices () DONE !!!
CreateDevices () DONE !!!
InstallMeshInternetStack () DONE !!!
InstallWifiInternetStack () DONE !!!
InstallCsmaInternetStack () DONE !!!
InstallInternetStack () DONE !!!
Gateway is connect to AP 0
InstallApplications () DONE !!!
Starting simulation for 40.00 s ...
-------------------------------------------------
Time[s]	ap-0	ap-1	ap-2	ap-3	ap-4	ap-5	ap-6	ap-7	ap-8	ap-9	ap-10	ap-11	ap-12	ap-13	ap-14	ap-15	ap-16	ap-17	ap-18	ap-19
2.00	3.28	36.23	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
3.00	27.39	36.24	23.37	1.18	0.00	0.33	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.52	0.00	0.00	0.00	0.00	0.00	0.00
4.00	37.20	36.24	31.47	3.19	0.00	1.25	0.00	0.00	0.00	0.00	0.00	0.00	0.00	1.21	0.00	0.00	0.00	0.00	0.00	0.00
5.00	37.20	36.24	31.48	1.56	1.62	2.15	0.00	0.00	0.00	0.00	0.00	2.04	0.00	0.09	0.00	0.00	0.10	0.00	0.00	0.00
6.00	37.19	36.24	31.47	2.28	2.38	3.91	0.00	0.00	0.00	0.00	0.00	2.42	0.00	0.71	0.00	0.00	1.24	0.00	0.00	0.00
7.00	37.19	36.24	31.47	0.88	0.74	5.11	0.00	0.00	0.00	0.00	0.00	3.96	0.00	1.13	0.00	0.00	0.35	0.00	0.00	0.00
8.00	37.20	36.24	31.48	1.41	1.32	4.19	0.02	0.00	0.00	0.00	0.00	3.48	0.00	1.14	0.00	0.00	1.19	0.00	0.00	0.00
9.00	37.20	36.24	31.47	1.62	1.16	3.68	0.29	0.00	0.00	0.00	0.00	2.89	0.00	0.98	0.00	0.00	1.37	0.00	0.00	0.00
10.00	37.20	36.24	31.47	0.90	0.55	4.91	0.76	0.00	0.00	0.00	0.00	2.60	0.00	0.66	0.00	0.00	0.81	0.00	0.00	0.00
11.00	37.20	36.24	31.47	0.18	0.11	4.34	0.16	1.60	0.00	0.00	0.00	2.32	0.00	0.09	0.00	0.00	0.07	0.00	0.00	0.00
12.00	37.20	36.23	31.47	0.88	1.43	3.71	0.98	0.73	0.00	0.00	0.00	1.90	0.00	0.29	0.00	0.00	0.97	0.00	0.00	0.00
13.00	37.18	36.24	31.47	1.26	1.57	3.66	0.69	1.17	0.00	0.00	0.00	1.02	0.00	0.24	0.00	0.00	0.96	0.00	0.00	0.00
14.00	37.20	36.24	31.48	1.12	1.80	3.66	0.72	1.10	0.00	0.00	0.00	1.93	0.00	0.49	0.00	0.00	1.07	0.00	0.00	0.00
15.00	37.20	36.24	31.47	1.38	1.68	4.13	0.68	1.26	0.00	0.00	0.00	1.53	0.00	0.49	0.00	0.00	0.91	0.00	0.00	0.00
16.00	37.20	36.24	31.47	3.20	1.07	2.78	0.36	1.42	0.00	0.00	0.00	0.43	0.00	0.16	0.00	0.00	2.23	0.00	0.00	0.00
17.00	37.20	36.24	31.47	3.37	0.00	5.03	0.00	2.25	0.00	0.00	0.00	0.43	0.00	0.31	0.00	0.00	1.68	0.00	0.00	0.00
18.00	37.19	36.24	31.48	3.44	0.00	4.80	0.00	1.52	0.00	0.00	0.00	0.60	0.00	0.09	0.00	0.00	2.12	0.00	0.00	0.00
19.00	37.19	36.24	31.47	1.78	0.00	5.26	0.00	2.72	0.00	0.00	0.00	1.37	0.00	0.00	0.00	0.00	1.10	0.00	0.00	0.00
20.00	37.20	36.24	31.47	3.52	0.00	5.03	0.00	1.69	0.00	0.00	0.00	0.96	0.00	0.00	0.00	0.00	1.69	0.00	0.00	0.00
21.00	37.20	36.24	31.48	8.92	0.00	2.64	0.00	0.11	0.00	0.00	0.00	0.01	0.00	0.00	0.00	0.00	0.61	0.00	0.00	0.00
22.00	37.20	36.24	31.47	6.27	0.00	2.18	0.00	0.00	0.00	0.00	0.00	0.00	0.00	1.49	0.00	0.00	0.29	0.00	0.00	0.00
23.00	37.20	36.23	31.47	1.83	0.00	0.34	0.00	0.18	0.00	0.00	0.00	0.00	0.00	0.18	0.00	0.00	1.00	0.00	0.00	0.00
24.00	37.19	36.24	31.48	0.82	0.00	0.00	0.02	3.01	0.00	0.00	0.00	2.87	0.00	1.56	0.00	0.04	0.77	0.00	0.00	0.00
25.00	37.19	36.24	31.47	2.51	0.00	0.00	0.00	2.34	0.00	0.00	0.00	3.43	0.00	0.95	0.00	0.00	1.66	0.00	0.00	0.00
26.00	37.20	36.24	31.47	1.62	0.00	0.00	0.01	3.30	0.00	0.00	0.59	3.50	0.00	0.64	0.00	0.00	0.97	0.00	0.00	0.00
27.00	37.20	36.24	31.48	2.60	0.00	0.00	0.10	1.30	0.00	0.00	0.00	5.28	0.00	0.89	0.00	0.00	1.60	0.00	0.00	0.00
28.00	37.20	36.24	31.47	8.42	0.00	0.00	0.00	0.00	0.00	0.00	0.00	3.05	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
29.00	37.20	36.24	31.47	6.07	0.00	0.00	0.00	3.77	0.00	0.00	0.00	0.00	0.00	2.15	0.00	0.00	0.00	0.00	0.00	0.00
30.00	37.19	36.24	31.47	5.84	0.00	3.18	0.00	1.52	0.00	0.00	0.00	0.80	0.00	1.14	0.00	0.00	0.00	0.00	0.00	0.00
31.00	37.19	36.24	31.47	3.90	0.00	5.02	0.00	1.24	0.00	0.00	0.00	2.20	0.00	0.38	0.00	0.00	0.00	0.00	0.00	0.00
32.00	37.20	36.24	31.47	5.25	0.00	1.15	0.00	2.26	0.00	0.00	0.00	2.96	0.00	0.87	0.00	0.00	0.00	0.00	0.00	0.00
33.00	37.20	36.24	31.47	8.46	0.00	1.27	0.00	0.27	0.00	0.00	0.00	0.71	0.00	0.22	0.00	0.00	0.00	0.00	0.00	0.00
34.00	37.20	36.23	31.48	6.24	0.00	3.21	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.89	0.00	0.00	0.00	0.00	0.00	0.00
35.00	37.20	36.24	31.47	5.74	0.00	5.41	0.00	0.00	0.00	0.00	0.00	0.00	0.00	1.08	0.00	0.00	0.00	0.00	0.00	0.00
36.00	37.18	36.24	31.47	6.26	0.00	5.93	0.00	0.00	0.00	0.00	0.00	0.39	0.00	0.40	0.00	0.00	0.00	0.00	0.00	0.00
37.00	37.20	36.24	31.48	3.67	0.00	4.75	0.00	0.00	0.00	0.00	0.00	2.52	0.00	0.57	0.00	0.00	1.89	0.00	0.00	0.00
38.00	37.20	36.24	31.47	4.01	0.00	5.25	0.00	0.00	0.00	0.00	0.00	2.00	0.00	0.45	0.00	0.00	2.00	0.00	0.00	0.00
39.00	37.20	36.24	31.47	4.13	0.00	4.65	0.00	0.00	0.00	0.00	0.00	1.39	0.00	0.04	0.00	0.00	2.88	0.00	0.00	0.00
