Waf: Entering directory `/home/synrg/Desktop/Jiaming/sp2019-ns3-mesh/build'
Waf: Leaving directory `/home/synrg/Desktop/Jiaming/sp2019-ns3-mesh/build'
Build commands will be stored in build/compile_commands.json
'build' finished successfully (4.695s)
CreateVariables () DONE !!!
Creating 21 APs 50.00 m apart.
CreateApNodes () DONE !!!
Creating 0 CLs 20.00 m away from each AP.
CreateClNodes () DONE !!!
CreateNodes () DONE !!!
CreateMeshDevices () DONE !!!
CreateWifiDevices () DONE !!!
CreateCsmaDevices () DONE !!!
CreateDevices () DONE !!!
InstallMeshInternetStack () DONE !!!
InstallWifiInternetStack () DONE !!!
InstallCsmaInternetStack () DONE !!!
InstallInternetStack () DONE !!!
Gateway is connect to AP 0
InstallApplications () DONE !!!
Starting simulation for 40.00 s ...
-------------------------------------------------
Time[s]	ap-0	ap-1	ap-2	ap-3	ap-4	ap-5	ap-6	ap-7	ap-8	ap-9	ap-10	ap-11	ap-12	ap-13	ap-14	ap-15	ap-16	ap-17	ap-18	ap-19	ap-20
2.00	36.23	1.63	0.90	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
3.00	36.24	27.58	18.41	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.10	0.00	0.00	0.00	0.56	0.00	0.00	0.00
4.00	36.24	35.29	22.89	0.15	0.00	2.47	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.95	0.00	0.00	0.00	1.06	0.00	0.00	0.00
5.00	36.24	35.29	22.89	0.95	0.00	1.76	0.31	0.00	0.00	0.00	0.04	0.00	0.00	1.30	0.00	0.00	0.00	1.26	0.00	0.00	0.00
6.00	36.24	35.29	22.89	1.28	0.00	2.63	0.27	0.00	0.00	0.00	0.63	0.00	0.00	2.91	0.00	0.00	0.00	1.48	0.00	0.00	0.00
7.00	36.23	35.29	22.89	1.50	0.00	1.45	0.61	0.00	0.00	0.00	1.31	0.00	0.00	3.12	0.00	0.00	0.00	1.04	0.00	0.00	0.00
8.00	36.25	35.29	22.89	0.22	0.00	0.00	2.45	0.00	0.00	0.00	0.00	0.00	0.00	2.96	0.00	0.00	0.00	3.53	0.00	0.00	0.00
9.00	36.24	35.29	22.89	0.74	0.00	0.00	3.39	0.00	0.00	0.00	0.00	0.00	0.00	2.72	0.00	0.00	0.00	4.24	0.00	0.00	0.00
10.00	36.24	35.29	22.89	1.31	0.00	0.00	3.65	0.00	0.00	0.00	0.00	0.00	0.00	1.66	0.00	0.00	0.00	4.62	0.00	0.00	0.00
11.00	36.24	35.29	22.89	0.19	0.00	0.00	0.18	0.00	0.00	0.00	0.00	0.00	0.00	3.34	0.00	0.00	0.00	1.91	0.00	0.00	0.00
12.00	36.23	35.29	22.89	1.52	0.00	0.00	0.00	0.00	0.29	0.00	0.00	0.00	0.00	4.38	0.00	0.00	0.00	3.58	0.00	0.00	0.00
13.00	36.24	35.29	22.89	1.24	0.00	0.00	2.30	0.00	0.00	0.00	0.00	0.00	0.00	0.21	0.00	0.00	0.00	4.09	0.00	0.00	0.00
14.00	36.24	35.29	22.89	2.76	0.00	0.00	3.27	0.00	0.00	0.00	0.01	0.00	0.00	0.00	0.00	0.00	0.00	4.69	0.00	0.00	0.00
15.00	36.24	35.29	22.89	3.55	0.00	0.00	3.49	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	5.46	0.00	0.00	0.00
16.00	36.24	35.29	22.89	2.26	0.00	0.00	2.18	0.00	0.00	0.00	0.00	0.00	0.00	0.07	0.00	0.00	0.00	3.91	0.00	0.00	0.00
17.00	36.24	35.29	22.89	0.00	0.00	0.00	3.99	0.00	0.00	0.00	0.00	0.00	0.00	2.08	0.00	0.00	0.00	6.71	0.00	0.00	0.00
18.00	36.24	35.29	22.89	0.00	0.00	0.00	1.07	5.52	0.00	0.00	0.00	0.00	0.00	0.26	0.00	0.00	0.00	2.46	0.00	0.00	0.00
19.00	36.24	35.29	22.89	0.00	0.00	0.00	0.13	9.61	0.00	0.00	0.00	0.00	0.00	1.04	0.00	0.00	0.00	1.04	0.00	0.00	0.00
20.00	36.24	35.29	22.89	1.19	0.00	0.00	1.05	8.07	0.00	0.00	0.00	0.00	0.00	1.82	0.00	0.00	0.00	0.00	0.00	0.00	0.00
21.00	36.24	35.29	22.89	0.00	0.00	0.00	0.00	12.51	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
22.00	36.24	35.29	22.89	0.00	0.00	1.01	0.00	6.40	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
23.00	36.23	35.29	22.89	0.27	0.00	0.09	0.00	0.02	0.00	0.00	0.00	0.00	0.00	1.88	0.00	0.00	0.00	0.00	0.00	0.00	0.00
24.00	36.24	35.29	22.89	2.00	0.00	0.00	1.10	2.59	0.00	0.00	0.00	0.00	0.00	3.22	0.00	0.00	0.00	0.00	0.00	0.00	0.00
25.00	36.24	35.29	22.89	0.00	0.00	0.00	2.00	5.38	0.00	0.00	0.00	0.00	0.00	3.36	0.00	0.00	0.00	0.00	0.00	0.00	0.00
26.00	36.24	35.29	22.89	0.00	0.00	0.00	1.57	3.97	0.00	0.00	0.00	0.00	0.00	3.85	0.00	0.00	0.00	0.80	0.00	0.00	0.00
27.00	36.24	35.29	22.89	0.00	0.00	0.00	2.95	5.27	0.00	0.00	0.00	0.00	0.00	3.07	0.00	0.00	0.00	0.87	0.00	0.00	0.00
28.00	36.24	35.29	22.89	0.00	0.00	0.00	1.19	10.98	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
29.00	36.24	35.29	22.89	0.00	0.00	0.00	1.17	4.77	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
30.00	36.24	35.29	22.89	0.00	0.00	1.39	7.10	0.00	0.00	0.00	0.00	0.00	0.00	0.01	0.00	0.00	0.00	0.00	0.00	0.00	0.00
31.00	36.24	35.29	22.89	0.00	0.00	0.00	9.77	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
32.00	36.24	35.29	22.89	0.73	0.00	0.00	9.51	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
33.00	36.24	35.29	22.89	7.81	0.00	0.00	4.75	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
34.00	36.23	35.29	22.89	6.41	0.00	0.00	3.19	2.50	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
35.00	36.24	35.29	22.89	5.29	0.00	0.00	3.06	4.76	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
36.00	36.24	35.29	22.89	5.73	0.00	0.00	2.60	4.64	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
37.00	36.24	35.29	22.89	6.47	0.00	0.00	1.37	1.63	0.00	0.00	0.00	0.00	0.00	0.15	0.00	0.00	0.00	0.00	0.00	0.00	0.00
