Waf: Entering directory `/scratch/users/jw27/sp2019-ns3-mesh/build'
Waf: Leaving directory `/scratch/users/jw27/sp2019-ns3-mesh/build'
Build commands will be stored in build/compile_commands.json
'build' finished successfully (10.540s)
CreateVariables () DONE !!!
Creating 10 APs 50.00 m apart.
CreateApNodes () DONE !!!
Creating 0 CLs 20.00 m away from each AP.
CreateClNodes () DONE !!!
CreateNodes () DONE !!!
CreateMeshDevices () DONE !!!
CreateWifiDevices () DONE !!!
CreateCsmaDevices () DONE !!!
CreateDevices () DONE !!!
InstallMeshInternetStack () DONE !!!
InstallWifiInternetStack () DONE !!!
InstallCsmaInternetStack () DONE !!!
InstallInternetStack () DONE !!!
Gateway is connect to AP 0
InstallApplications () DONE !!!
Starting simulation for 40.00 s ...
-------------------------------------------------
Time[s]	ap-0	ap-1	ap-2	ap-3	ap-4	ap-5	ap-6	ap-7	ap-8	ap-9
2.00	37.06	0.00	0.00	15.25	0.00	2.25	0.00	0.00	0.00	0.00
3.00	37.20	0.00	14.42	13.05	0.00	3.20	0.00	0.00	0.00	0.28
4.00	37.20	0.00	14.24	13.09	0.00	2.58	0.00	0.00	0.00	0.71
5.00	37.20	0.00	13.93	13.03	0.00	2.92	0.00	0.00	0.00	0.88
6.00	37.20	0.00	15.54	12.86	0.00	2.65	0.00	0.00	0.00	0.77
7.00	37.18	0.00	16.85	8.61	0.00	1.86	0.00	0.00	0.00	0.56
8.00	37.20	0.00	14.70	13.45	0.00	2.66	0.00	0.00	0.00	1.01
9.00	37.20	0.00	14.67	13.78	0.00	2.81	0.00	0.00	0.00	0.74
10.00	37.20	0.00	15.10	12.38	0.00	2.52	0.00	0.00	0.00	0.76
11.00	37.20	0.00	13.93	13.08	0.00	2.95	0.00	0.00	0.00	0.92
12.00	37.20	0.00	13.33	11.75	0.00	1.62	0.00	0.00	0.00	0.43
13.00	37.18	0.00	8.96	9.65	0.00	1.34	0.00	0.00	0.00	0.19
14.00	37.20	0.00	10.50	9.56	0.00	1.38	0.00	0.00	0.00	0.26
15.00	37.20	0.00	10.58	9.04	0.00	1.18	0.00	0.00	0.00	0.19
16.00	37.20	0.00	8.68	10.22	0.00	1.67	0.00	0.00	0.00	0.26
17.00	37.20	0.00	9.62	10.07	0.00	1.27	0.00	0.00	0.00	0.25
18.00	37.20	0.00	10.05	10.25	0.00	1.56	0.00	0.00	0.00	0.21
19.00	37.18	0.00	4.91	10.23	0.00	1.58	0.00	0.00	0.00	0.19
20.00	37.20	0.00	8.57	10.19	0.00	1.36	0.00	0.00	0.00	0.26
21.00	37.20	0.00	7.83	9.22	0.00	1.07	0.00	0.00	0.00	0.20
22.00	37.20	0.00	8.03	9.31	0.00	1.44	0.00	0.00	0.00	0.13
23.00	37.20	0.00	8.82	7.48	0.00	0.99	0.00	0.00	0.00	0.00
24.00	37.20	0.00	11.11	10.34	0.00	2.66	0.00	0.00	0.00	0.00
25.00	37.18	0.00	9.00	10.43	0.00	1.97	0.00	0.00	0.00	0.01
26.00	37.20	0.00	9.56	9.43	0.00	1.42	0.00	0.00	0.00	0.27
27.00	37.20	0.00	9.62	9.89	0.00	1.31	0.00	0.00	0.00	0.25
28.00	37.20	0.00	9.68	10.25	0.00	1.50	0.00	0.00	0.00	0.19
29.00	37.20	0.00	9.01	9.84	0.00	1.27	0.00	0.00	0.00	0.28
30.00	37.18	0.00	9.12	10.84	0.00	1.53	0.00	0.00	0.00	0.37
31.00	37.20	0.00	8.46	10.48	0.00	1.45	0.00	0.00	0.00	0.33
32.00	37.20	0.00	9.19	10.35	0.00	1.59	0.00	0.00	0.00	0.27
33.00	37.20	0.00	7.66	10.80	0.00	1.67	0.00	0.00	0.00	0.29
34.00	37.20	0.00	11.05	9.85	0.00	1.31	0.00	0.00	0.00	0.24
35.00	37.20	0.00	8.78	10.59	0.00	1.94	0.00	0.00	0.00	0.38
36.00	37.18	0.00	12.53	11.66	0.00	2.71	0.00	0.00	0.00	0.60
37.00	37.20	0.00	12.66	11.12	0.02	2.00	0.00	0.00	0.00	0.48
38.00	37.20	0.00	4.14	11.20	0.83	1.27	0.00	0.00	0.00	0.27
39.00	37.20	0.00	9.21	10.22	0.44	0.98	0.00	0.00	0.00	0.12
