Waf: Entering directory `/scratch/users/jw27/sp2019-ns3-mesh/build'
Waf: Leaving directory `/scratch/users/jw27/sp2019-ns3-mesh/build'
Build commands will be stored in build/compile_commands.json
'build' finished successfully (11.605s)
CreateVariables () DONE !!!
Creating 11 APs 50.00 m apart.
CreateApNodes () DONE !!!
Creating 0 CLs 20.00 m away from each AP.
CreateClNodes () DONE !!!
CreateNodes () DONE !!!
CreateMeshDevices () DONE !!!
CreateWifiDevices () DONE !!!
CreateCsmaDevices () DONE !!!
CreateDevices () DONE !!!
InstallMeshInternetStack () DONE !!!
InstallWifiInternetStack () DONE !!!
InstallCsmaInternetStack () DONE !!!
InstallInternetStack () DONE !!!
Gateway is connect to AP 0
InstallApplications () DONE !!!
Starting simulation for 40.00 s ...
-------------------------------------------------
Time[s]	ap-0	ap-1	ap-2	ap-3	ap-4	ap-5	ap-6	ap-7	ap-8	ap-9	ap-10
2.00	39.99	0.00	15.40	12.61	0.00	0.20	0.00	0.00	0.00	0.00	0.00
3.00	40.06	0.00	10.69	10.26	0.00	2.62	0.00	0.00	0.57	0.08	0.00
4.00	40.05	0.00	5.47	8.92	0.00	1.86	0.11	0.00	1.27	0.25	0.00
5.00	40.06	0.00	6.83	8.10	0.00	1.33	0.29	0.00	1.15	0.13	0.07
6.00	40.05	0.00	6.99	9.02	0.00	2.16	0.26	0.00	0.89	0.15	0.04
7.00	40.06	0.00	7.13	8.79	0.00	2.28	0.00	0.00	0.95	0.17	0.07
8.00	40.06	0.00	6.84	8.92	0.00	1.55	0.54	0.00	1.49	0.03	0.01
9.00	40.05	0.00	9.32	8.96	0.00	1.82	0.46	0.00	1.06	0.00	0.00
10.00	40.06	0.00	8.12	9.50	0.00	2.19	0.37	0.00	1.09	0.13	0.00
11.00	40.05	0.00	7.31	8.77	0.00	1.58	0.40	0.00	1.06	0.25	0.00
12.00	40.06	0.00	10.49	12.96	0.00	1.20	0.19	0.00	0.48	0.15	0.00
13.00	40.06	0.00	13.00	14.27	0.00	2.86	0.02	0.00	0.00	0.00	0.00
14.00	40.05	0.00	10.22	11.22	0.00	3.31	0.89	0.00	0.00	0.00	0.00
15.00	40.06	0.00	9.92	10.62	0.00	2.68	0.76	0.00	0.00	0.00	0.00
16.00	40.05	0.00	9.57	11.70	0.00	2.83	0.95	0.00	0.00	0.00	0.00
17.00	40.06	0.00	9.01	11.15	0.00	2.48	0.57	0.00	0.00	0.00	0.00
18.00	40.05	0.00	9.35	10.19	0.00	2.04	0.31	0.00	0.25	0.03	0.01
19.00	40.06	0.00	7.48	10.89	0.00	2.17	0.00	0.00	0.65	0.17	0.00
20.00	40.06	0.00	0.57	10.26	0.00	2.77	0.51	0.00	2.28	0.02	0.01
21.00	40.05	0.00	8.59	9.25	0.00	1.56	0.72	0.00	1.75	0.00	0.00
22.00	40.06	0.00	10.10	7.70	0.00	1.99	0.28	0.00	0.88	0.00	0.10
23.00	40.05	0.00	11.31	12.16	0.00	0.21	0.04	0.00	3.04	0.19	0.01
24.00	40.06	0.00	9.40	11.68	0.00	0.00	0.00	0.00	2.57	0.66	0.16
25.00	40.06	0.00	8.64	9.96	0.00	0.16	0.03	0.00	1.48	0.49	0.26
26.00	40.05	0.00	7.64	9.34	0.00	2.11	0.12	0.00	1.42	0.37	0.03
27.00	40.06	0.00	6.67	8.37	0.00	2.26	0.10	0.00	0.91	0.43	0.02
28.00	40.05	0.00	7.25	9.25	0.00	1.75	0.48	0.00	1.20	0.26	0.04
29.00	40.06	0.00	7.83	9.37	0.00	1.72	0.44	0.00	1.31	0.40	0.00
30.00	40.06	0.00	7.50	7.55	0.00	1.36	0.31	0.00	0.28	0.06	0.00
31.00	40.05	0.00	14.20	16.58	0.00	0.38	0.10	0.00	0.00	0.00	0.00
32.00	40.06	0.00	16.86	21.29	0.00	0.00	0.00	0.00	0.00	0.00	0.00
33.00	40.05	0.00	12.44	15.36	0.00	1.21	0.57	0.00	0.00	0.00	0.00
34.00	40.06	0.00	7.03	9.21	0.12	1.81	0.56	0.00	0.75	0.00	0.00
35.00	40.05	0.00	8.00	8.52	0.06	1.77	0.36	0.00	0.98	0.13	0.03
36.00	40.06	0.00	8.66	8.42	0.16	1.30	0.46	0.00	1.27	0.00	0.01
37.00	40.06	0.00	8.39	9.42	0.24	1.47	0.66	0.00	1.61	0.00	0.00
38.00	40.05	0.00	7.74	8.83	0.24	1.73	0.54	0.00	1.25	0.00	0.00
39.00	40.06	0.00	12.50	13.35	0.27	0.82	0.00	0.00	1.17	0.00	0.00
