Waf: Entering directory `/home/synrg-sc1/Desktop/Jiaming/ns-3.29-mesh/build'
Waf: Leaving directory `/home/synrg-sc1/Desktop/Jiaming/ns-3.29-mesh/build'
Build commands will be stored in build/compile_commands.json
'build' finished successfully (4.604s)
CreateVariables () DONE !!!
Creating 11 APs 50.00 m apart.
CreateApNodes () DONE !!!
Creating 0 CLs 20.00 m away from each AP.
CreateClNodes () DONE !!!
CreateNodes () DONE !!!
CreateMeshDevices () DONE !!!
CreateWifiDevices () DONE !!!
CreateCsmaDevices () DONE !!!
CreateDevices () DONE !!!
InstallMeshInternetStack () DONE !!!
InstallWifiInternetStack () DONE !!!
InstallCsmaInternetStack () DONE !!!
InstallInternetStack () DONE !!!
Gateway is connect to AP 0
InstallApplications () DONE !!!
Starting simulation for 40.00 s ...
-------------------------------------------------
Time[s]	ap-0	ap-1	ap-2	ap-3	ap-4	ap-5	ap-6	ap-7	ap-8	ap-9	ap-10
2.00	35.93	32.25	26.69	0.98	13.30	16.85	0.00	1.30	0.24	0.00	0.00
3.00	36.24	32.42	26.71	0.09	17.28	18.50	0.00	4.57	1.21	0.00	0.00
4.00	36.24	32.42	26.71	0.27	12.08	17.54	5.22	11.52	0.44	0.00	0.12
5.00	36.24	32.42	26.69	0.29	11.06	17.69	5.77	10.17	0.53	0.00	0.31
6.00	36.24	32.43	26.71	1.24	8.97	14.80	4.87	9.91	0.38	0.00	0.24
7.00	36.24	32.42	26.71	0.81	3.20	3.72	9.89	12.01	0.00	0.00	1.04
8.00	36.24	32.42	26.71	0.90	1.27	16.80	4.10	10.34	0.00	0.00	0.22
9.00	36.24	32.42	26.69	0.99	1.09	16.56	5.24	11.03	0.00	0.00	0.25
10.00	36.24	32.43	26.71	0.98	5.68	17.12	4.38	12.25	0.00	0.00	0.13
11.00	36.24	32.42	26.71	0.35	12.24	18.69	6.02	12.21	0.00	0.00	0.07
12.00	36.23	32.42	26.69	1.02	9.68	16.15	3.29	11.65	0.00	0.00	0.00
13.00	36.24	32.42	26.71	1.56	10.40	14.36	0.00	10.99	0.00	0.00	0.00
14.00	36.24	32.43	26.71	1.75	10.13	15.60	4.17	10.96	0.00	0.00	0.00
15.00	36.24	32.42	26.71	1.45	9.42	15.54	5.46	10.79	0.00	0.00	0.00
16.00	36.24	32.42	26.69	1.22	10.52	16.89	5.24	11.60	0.00	0.00	0.00
17.00	36.24	32.42	26.71	0.47	12.35	18.77	6.28	13.52	0.00	0.00	0.00
18.00	36.24	32.42	26.71	0.00	12.74	19.10	6.69	13.17	0.00	0.00	0.00
19.00	36.24	32.43	26.69	0.09	11.68	18.89	5.59	14.11	0.00	0.00	0.00
20.00	36.24	32.42	26.71	0.39	12.32	19.24	6.20	12.19	0.00	0.00	0.00
21.00	36.24	32.42	26.71	0.34	11.58	17.63	6.59	10.70	0.00	0.00	0.00
22.00	36.24	32.42	26.71	0.70	12.22	16.62	4.27	11.60	0.37	0.00	0.17
23.00	36.23	32.43	26.69	3.59	9.14	12.74	3.03	5.49	0.36	0.00	0.18
24.00	36.24	32.42	26.71	3.41	9.61	12.32	2.25	5.54	0.29	0.00	0.10
25.00	36.24	32.42	26.71	3.95	10.48	12.62	0.00	6.33	0.15	0.00	0.00
26.00	36.24	32.42	26.69	4.75	11.79	13.81	0.00	6.85	0.04	0.00	0.00
27.00	36.24	32.43	26.71	4.20	14.09	14.54	0.00	8.96	0.00	0.00	0.00
28.00	36.24	32.42	26.71	0.65	12.96	19.66	5.69	13.23	0.00	0.00	0.00
29.00	36.24	32.42	26.71	0.81	12.25	18.60	6.42	11.84	0.00	0.00	0.00
30.00	36.24	32.42	26.69	0.92	10.02	17.86	2.72	10.17	0.00	0.00	0.00
31.00	36.24	32.43	26.71	1.15	9.73	17.54	6.03	7.14	0.00	0.00	0.00
32.00	36.24	32.42	26.71	1.11	12.45	16.74	2.38	11.01	0.04	0.00	0.00
33.00	36.24	32.42	26.71	1.62	11.99	16.63	4.74	9.24	0.00	0.00	0.00
34.00	36.23	32.42	26.69	4.16	9.96	14.60	3.40	6.57	0.00	0.00	0.00
35.00	36.24	32.43	26.71	4.40	10.07	14.57	4.85	6.39	0.00	0.00	0.00
36.00	36.24	32.42	26.71	1.09	6.64	15.61	4.96	4.85	0.00	0.00	0.00
37.00	36.24	32.42	26.69	4.63	12.65	7.43	6.63	6.92	0.00	0.00	0.00
38.00	36.24	32.42	26.71	3.63	11.08	13.98	4.73	6.36	0.00	0.00	0.00
39.00	36.24	32.42	26.71	3.84	10.33	14.49	4.92	6.73	0.00	0.00	0.00
