Waf: Entering directory `/home/synrg-sc1/Desktop/Jiaming/ns-3.29-mesh/build'
Waf: Leaving directory `/home/synrg-sc1/Desktop/Jiaming/ns-3.29-mesh/build'
Build commands will be stored in build/compile_commands.json
'build' finished successfully (4.574s)
CreateVariables () DONE !!!
Creating 12 APs 50.00 m apart.
CreateApNodes () DONE !!!
Creating 0 CLs 20.00 m away from each AP.
CreateClNodes () DONE !!!
CreateNodes () DONE !!!
CreateMeshDevices () DONE !!!
CreateWifiDevices () DONE !!!
CreateCsmaDevices () DONE !!!
CreateDevices () DONE !!!
InstallMeshInternetStack () DONE !!!
InstallWifiInternetStack () DONE !!!
InstallCsmaInternetStack () DONE !!!
InstallInternetStack () DONE !!!
Gateway is connect to AP 0
InstallApplications () DONE !!!
Starting simulation for 40.00 s ...
-------------------------------------------------
Time[s]	ap-0	ap-1	ap-2	ap-3	ap-4	ap-5	ap-6	ap-7	ap-8	ap-9	ap-10	ap-11
2.00	37.85	33.10	30.50	13.97	0.00	5.12	0.00	0.00	0.00	0.00	0.00	0.00
3.00	38.15	33.38	30.51	12.34	2.91	11.74	0.00	0.00	0.00	0.00	0.00	0.00
4.00	38.15	33.38	30.52	11.19	3.77	8.68	0.21	0.16	0.38	0.00	0.00	0.00
5.00	38.14	33.38	30.51	9.07	5.79	10.55	1.17	0.88	2.84	0.00	0.00	0.00
6.00	38.15	33.38	30.51	8.58	6.60	10.25	1.01	0.74	4.05	0.00	0.00	0.00
7.00	38.15	33.38	30.52	8.06	5.67	8.62	1.64	0.60	4.37	0.00	0.00	0.00
8.00	38.15	33.39	30.51	7.67	5.67	4.84	2.28	0.64	4.95	0.00	0.00	0.00
9.00	38.14	33.38	30.52	7.04	6.61	8.19	2.09	0.12	5.11	0.00	0.00	0.09
10.00	38.15	33.38	30.51	8.12	10.31	9.84	0.31	0.00	1.11	0.00	0.00	0.03
11.00	38.15	33.38	30.51	7.22	8.65	8.14	0.19	0.03	1.30	0.00	0.00	0.01
12.00	38.15	33.38	30.52	3.86	10.88	10.05	0.16	0.04	0.80	0.00	0.00	0.02
13.00	38.14	33.38	30.51	7.75	8.13	10.34	0.17	0.67	0.49	0.00	0.00	0.02
14.00	38.15	33.38	30.52	7.96	8.58	11.22	0.24	1.33	0.72	0.00	0.00	0.06
15.00	38.15	33.39	30.51	7.47	7.63	10.96	0.07	1.20	0.63	0.00	0.00	0.02
16.00	38.15	33.38	30.51	7.32	5.76	10.23	0.71	1.01	1.76	0.00	0.00	0.15
17.00	38.14	33.38	30.52	5.59	6.32	9.97	1.44	0.58	4.47	0.00	0.00	0.17
18.00	38.15	33.38	30.51	6.06	6.78	9.87	1.79	0.24	4.08	0.00	0.00	0.00
19.00	38.15	33.38	30.52	6.92	6.94	10.41	1.95	0.00	4.68	0.00	0.00	0.00
20.00	38.15	33.38	30.51	8.45	7.97	10.96	1.67	0.00	3.91	0.00	0.00	0.00
21.00	38.14	33.38	30.51	9.04	10.32	11.71	0.30	0.00	0.62	0.00	0.00	0.00
22.00	38.15	33.39	30.52	7.84	7.85	10.96	0.00	0.00	1.17	0.00	0.00	0.00
23.00	38.15	33.38	30.51	6.68	9.27	11.05	0.00	0.00	0.84	0.00	0.00	0.00
24.00	38.14	33.38	30.51	8.56	10.03	11.02	0.00	0.00	0.83	0.00	0.00	0.00
25.00	38.15	33.38	30.52	10.38	5.35	13.94	0.00	0.20	0.95	0.00	0.00	0.00
26.00	38.15	33.38	30.51	8.94	8.85	13.63	0.00	1.46	1.29	0.00	0.00	0.00
27.00	38.15	33.38	30.52	7.87	7.10	12.51	0.00	1.02	0.70	0.00	0.00	0.00
28.00	38.14	33.38	30.51	7.19	8.00	11.69	0.00	1.37	0.58	0.00	0.00	0.00
29.00	38.15	33.39	30.51	6.75	6.83	11.48	0.00	1.11	2.66	0.00	0.00	0.00
30.00	38.15	33.38	30.52	7.64	6.50	10.51	0.00	0.44	3.37	0.00	0.00	0.00
31.00	38.15	33.38	30.51	6.78	3.27	1.83	0.00	0.08	4.03	0.00	0.00	0.00
32.00	38.14	33.38	30.52	3.49	7.17	0.00	0.00	0.01	5.94	0.00	0.00	0.00
33.00	38.15	33.38	30.51	2.48	7.28	0.00	0.00	0.00	7.43	0.00	0.00	0.00
34.00	38.15	33.38	30.51	6.47	5.19	9.98	0.00	1.04	1.92	0.00	0.00	0.00
35.00	38.15	33.39	30.52	7.58	7.47	11.62	0.00	1.25	1.15	0.00	0.00	0.00
36.00	38.14	33.38	30.51	6.91	6.93	6.17	0.00	0.89	1.66	0.00	0.00	0.00
37.00	38.15	33.38	30.52	6.68	7.56	0.11	0.00	1.07	1.56	0.00	0.00	0.00
38.00	38.15	33.38	30.51	8.47	6.66	0.01	0.00	1.70	1.63	0.00	0.00	0.00
39.00	38.15	33.38	30.51	7.12	3.60	0.00	0.00	0.91	0.88	0.00	0.00	0.00
