Waf: Entering directory `/home/synrg-sc1/Desktop/Jiaming/ns-3.29-mesh/build'
Waf: Leaving directory `/home/synrg-sc1/Desktop/Jiaming/ns-3.29-mesh/build'
Build commands will be stored in build/compile_commands.json
'build' finished successfully (4.574s)
CreateVariables () DONE !!!
Creating 13 APs 50.00 m apart.
CreateApNodes () DONE !!!
Creating 0 CLs 20.00 m away from each AP.
CreateClNodes () DONE !!!
CreateNodes () DONE !!!
CreateMeshDevices () DONE !!!
CreateWifiDevices () DONE !!!
CreateCsmaDevices () DONE !!!
CreateDevices () DONE !!!
InstallMeshInternetStack () DONE !!!
InstallWifiInternetStack () DONE !!!
InstallCsmaInternetStack () DONE !!!
InstallInternetStack () DONE !!!
Gateway is connect to AP 0
InstallApplications () DONE !!!
Starting simulation for 40.00 s ...
-------------------------------------------------
Time[s]	ap-0	ap-1	ap-2	ap-3	ap-4	ap-5	ap-6	ap-7	ap-8	ap-9	ap-10	ap-11	ap-12
2.00	38.85	0.00	0.00	15.10	0.00	0.07	0.00	3.19	0.00	0.00	0.00	0.00	0.00
3.00	39.10	0.00	0.00	9.21	11.34	0.20	0.07	0.48	0.00	0.00	0.13	0.00	0.02
4.00	39.09	0.00	0.00	7.25	10.39	0.06	0.03	0.22	0.00	0.00	0.88	0.00	0.02
5.00	39.10	0.00	0.00	8.07	9.82	0.06	0.07	0.24	0.00	0.00	0.98	0.00	0.00
6.00	39.10	0.00	0.00	7.78	13.14	0.04	0.06	0.61	0.00	0.00	1.35	0.00	0.01
7.00	39.09	0.00	0.00	7.17	19.95	0.00	0.26	0.70	0.00	0.00	0.07	0.00	0.00
8.00	39.10	0.00	0.00	9.30	12.14	0.00	0.07	0.28	0.00	0.08	1.03	0.06	0.00
9.00	39.10	0.00	0.00	8.68	10.39	0.00	0.11	0.46	0.00	0.18	1.00	0.00	0.00
10.00	39.09	0.00	0.00	7.93	11.07	0.00	0.02	0.34	0.00	0.30	1.12	0.08	0.01
11.00	39.10	0.00	0.00	7.59	9.50	0.00	0.07	0.60	0.00	0.19	0.94	0.08	0.00
12.00	39.10	0.00	0.00	7.95	4.94	0.00	0.00	0.53	0.00	0.20	1.09	0.00	0.01
13.00	39.09	0.00	0.00	8.95	9.35	0.08	0.08	0.49	0.00	0.07	0.25	0.00	0.01
14.00	39.10	0.00	0.00	8.75	10.37	0.15	0.06	0.44	0.00	0.00	0.13	0.00	0.00
15.00	39.10	0.00	0.00	9.61	10.95	0.07	0.04	0.63	0.00	0.00	0.00	0.00	0.00
16.00	39.09	0.00	0.00	14.06	14.00	0.04	0.12	1.59	0.00	0.02	0.03	0.00	0.00
17.00	39.10	0.00	0.00	12.93	13.71	0.00	0.01	0.36	0.00	0.00	0.04	0.00	0.00
18.00	39.10	0.00	0.00	13.04	14.27	0.00	0.01	1.57	0.00	0.00	0.00	0.00	0.00
19.00	39.09	0.00	0.00	10.41	11.37	0.00	0.00	0.92	0.00	0.00	0.10	0.00	0.00
20.00	39.10	0.00	0.00	7.83	8.98	0.00	0.04	0.52	0.00	0.00	1.00	0.00	0.00
21.00	39.10	0.00	0.00	8.02	9.15	0.02	0.03	0.30	0.00	0.03	0.76	0.00	0.00
22.00	39.09	0.00	0.00	7.19	9.10	0.00	0.04	0.31	0.00	0.09	0.51	0.00	0.00
23.00	39.10	0.00	0.00	8.46	12.05	0.02	0.06	0.66	0.00	0.18	1.06	0.06	0.00
24.00	39.10	0.00	0.00	9.82	11.70	0.00	0.17	0.63	0.00	0.12	0.52	0.00	0.00
25.00	39.09	0.00	0.00	15.76	15.58	0.00	0.09	0.57	0.00	0.01	0.06	0.01	0.00
26.00	39.10	0.00	0.00	13.53	15.03	0.00	0.00	1.72	0.00	0.01	0.00	0.00	0.00
27.00	39.10	0.00	0.00	15.09	15.45	0.00	0.00	1.86	0.00	0.00	0.00	0.00	0.00
28.00	39.09	0.00	0.00	15.36	14.93	0.00	0.00	1.75	0.00	0.01	0.16	0.00	0.00
29.00	39.10	0.00	0.00	14.86	15.99	0.00	0.00	1.01	0.00	0.00	0.04	0.00	0.00
30.00	39.10	0.00	0.00	10.73	13.59	0.00	0.00	0.42	0.00	0.17	0.55	0.03	0.00
31.00	39.09	0.00	0.00	10.80	12.17	0.00	0.00	0.47	0.00	0.28	1.38	0.04	0.00
32.00	39.10	0.00	0.00	11.53	12.66	0.00	0.00	1.02	0.00	0.12	0.40	0.01	0.00
33.00	39.10	0.00	0.00	10.61	9.47	0.00	0.00	0.95	0.00	0.08	0.19	0.02	0.00
34.00	39.09	0.00	0.00	14.70	11.86	0.00	0.00	0.10	0.00	0.00	0.00	0.00	0.00
35.00	39.10	0.00	0.00	13.69	11.33	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
36.00	39.10	0.00	0.00	11.57	8.89	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
37.00	39.09	0.00	0.00	8.92	9.76	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
38.00	39.10	0.00	0.00	13.29	11.05	0.00	0.00	0.00	0.00	0.00	0.06	0.00	0.00
39.00	39.10	0.00	0.00	10.16	14.98	0.00	0.00	0.06	0.00	0.24	1.24	0.00	0.00
