Waf: Entering directory `/home/synrg-sc1/Desktop/Jiaming/ns-3.29-mesh/build'
Waf: Leaving directory `/home/synrg-sc1/Desktop/Jiaming/ns-3.29-mesh/build'
Build commands will be stored in build/compile_commands.json
'build' finished successfully (4.609s)
CreateVariables () DONE !!!
Creating 15 APs 50.00 m apart.
CreateApNodes () DONE !!!
Creating 0 CLs 20.00 m away from each AP.
CreateClNodes () DONE !!!
CreateNodes () DONE !!!
CreateMeshDevices () DONE !!!
CreateWifiDevices () DONE !!!
CreateCsmaDevices () DONE !!!
CreateDevices () DONE !!!
InstallMeshInternetStack () DONE !!!
InstallWifiInternetStack () DONE !!!
InstallCsmaInternetStack () DONE !!!
InstallInternetStack () DONE !!!
Gateway is connect to AP 0
InstallApplications () DONE !!!
Starting simulation for 40.00 s ...
-------------------------------------------------
Time[s]	ap-0	ap-1	ap-2	ap-3	ap-4	ap-5	ap-6	ap-7	ap-8	ap-9	ap-10	ap-11	ap-12	ap-13	ap-14
2.00	37.97	35.13	0.00	0.00	8.02	0.00	0.00	6.26	0.00	0.00	0.00	0.00	0.00	0.00	0.00
3.00	38.15	35.29	9.61	0.00	10.44	0.00	0.00	0.01	0.00	0.00	0.00	0.00	6.63	1.44	0.00
4.00	38.15	35.29	7.92	0.00	9.10	0.00	7.82	0.00	0.00	0.00	0.00	0.00	5.66	1.58	0.00
5.00	38.14	35.29	6.76	0.00	8.22	0.00	4.21	1.74	0.00	0.00	0.00	0.00	4.29	1.79	0.00
6.00	38.15	35.29	4.74	0.00	8.31	0.00	2.80	1.17	0.00	0.00	0.00	0.00	3.91	2.20	0.00
7.00	38.15	35.29	3.08	0.00	6.61	0.00	2.55	0.94	0.00	0.00	0.00	0.00	3.69	0.67	0.00
8.00	38.15	35.29	3.93	0.00	5.68	0.00	2.90	1.01	0.00	0.00	0.00	0.00	3.25	1.44	0.00
9.00	38.14	35.29	2.84	0.00	7.24	0.00	2.89	1.35	0.00	0.00	0.00	0.00	3.73	1.61	0.00
10.00	38.15	35.29	4.73	0.00	6.65	0.00	3.16	0.58	0.00	0.00	0.00	0.00	3.12	1.62	0.00
11.00	38.15	35.29	3.57	0.00	5.81	0.00	2.99	1.19	0.00	0.00	0.00	0.00	3.60	1.22	0.00
