Waf: Entering directory `/home/synrg-sc1/Desktop/Jiaming/ns-3.29-mesh/build'
Waf: Leaving directory `/home/synrg-sc1/Desktop/Jiaming/ns-3.29-mesh/build'
Build commands will be stored in build/compile_commands.json
'build' finished successfully (4.607s)
CreateVariables () DONE !!!
Creating 16 APs 50.00 m apart.
CreateApNodes () DONE !!!
Creating 0 CLs 20.00 m away from each AP.
CreateClNodes () DONE !!!
CreateNodes () DONE !!!
CreateMeshDevices () DONE !!!
CreateWifiDevices () DONE !!!
CreateCsmaDevices () DONE !!!
CreateDevices () DONE !!!
InstallMeshInternetStack () DONE !!!
InstallWifiInternetStack () DONE !!!
InstallCsmaInternetStack () DONE !!!
InstallInternetStack () DONE !!!
Gateway is connect to AP 0
InstallApplications () DONE !!!
Starting simulation for 40.00 s ...
-------------------------------------------------
Time[s]	ap-0	ap-1	ap-2	ap-3	ap-4	ap-5	ap-6	ap-7	ap-8	ap-9	ap-10	ap-11	ap-12	ap-13	ap-14	ap-15
2.00	35.92	33.10	26.63	5.93	0.00	9.32	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
3.00	36.24	33.38	26.71	3.92	9.91	8.61	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
4.00	36.24	33.38	26.71	3.83	10.42	8.60	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
5.00	36.24	33.38	26.69	4.78	10.76	10.15	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
6.00	36.24	33.38	26.71	6.75	13.38	14.57	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
7.00	36.24	33.38	26.71	2.98	11.03	11.75	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
8.00	36.24	33.38	26.71	3.96	9.15	11.49	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
9.00	36.24	33.39	26.69	3.71	11.94	13.53	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
10.00	36.24	33.38	26.71	3.37	10.64	11.68	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
11.00	36.24	33.38	26.71	3.62	8.48	11.06	0.00	0.00	0.00	0.03	0.00	0.00	0.00	0.00	0.00	0.00
12.00	36.23	33.38	26.69	3.52	7.79	12.01	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
13.00	36.24	33.38	26.71	4.49	9.35	10.62	0.04	0.00	0.00	0.22	0.08	0.00	0.00	0.00	0.00	0.00
14.00	36.24	33.38	26.71	3.94	10.97	9.62	0.04	0.00	0.00	0.39	0.07	0.02	0.00	0.00	0.00	0.00
15.00	36.24	33.39	26.71	3.09	9.05	9.58	0.03	0.00	0.00	0.31	0.03	0.00	0.00	0.00	0.00	0.00
16.00	36.24	33.38	26.69	3.95	9.46	0.00	0.03	0.00	0.00	0.24	0.04	0.02	0.00	0.00	0.00	0.00
17.00	36.24	33.38	26.71	4.67	11.34	0.00	0.03	0.00	0.00	0.19	0.06	0.00	0.00	0.00	0.00	0.00
18.00	36.24	33.38	26.71	5.71	1.42	0.00	0.25	0.00	0.00	1.03	0.49	0.02	0.00	0.00	0.00	0.00
19.00	36.24	33.38	26.69	6.24	0.00	4.38	1.08	0.00	0.00	3.36	1.36	0.00	0.00	0.00	0.00	0.00
20.00	36.24	33.38	26.71	5.32	0.00	12.60	0.00	0.00	0.00	1.59	0.90	0.00	0.00	0.00	0.00	0.00
21.00	36.24	33.38	26.71	6.20	1.34	10.67	0.00	0.00	0.00	0.89	0.44	0.00	0.00	0.00	0.00	0.00
