Waf: Entering directory `/home/synrg-sc1/Desktop/Jiaming/ns-3.29-mesh/build'
Waf: Leaving directory `/home/synrg-sc1/Desktop/Jiaming/ns-3.29-mesh/build'
Build commands will be stored in build/compile_commands.json
'build' finished successfully (4.620s)
CreateVariables () DONE !!!
Creating 18 APs 50.00 m apart.
CreateApNodes () DONE !!!
Creating 0 CLs 20.00 m away from each AP.
CreateClNodes () DONE !!!
CreateNodes () DONE !!!
CreateMeshDevices () DONE !!!
CreateWifiDevices () DONE !!!
CreateCsmaDevices () DONE !!!
CreateDevices () DONE !!!
InstallMeshInternetStack () DONE !!!
InstallWifiInternetStack () DONE !!!
InstallCsmaInternetStack () DONE !!!
InstallInternetStack () DONE !!!
Gateway is connect to AP 0
InstallApplications () DONE !!!
Starting simulation for 40.00 s ...
-------------------------------------------------
Time[s]	ap-0	ap-1	ap-2	ap-3	ap-4	ap-5	ap-6	ap-7	ap-8	ap-9	ap-10	ap-11	ap-12	ap-13	ap-14	ap-15	ap-16	ap-17
2.00	38.80	0.00	0.00	0.34	0.00	0.00	0.00	0.00	2.56	5.82	0.93	0.00	0.00	0.39	0.00	0.00	0.00	0.00
3.00	39.10	0.12	0.00	0.42	0.00	3.60	0.00	0.00	6.28	3.21	0.91	0.00	0.00	0.45	0.22	0.00	0.00	0.00
4.00	39.09	5.22	0.00	0.18	0.00	5.40	0.03	0.00	6.33	3.39	0.70	0.00	0.00	0.22	0.13	0.00	0.00	0.00
5.00	39.10	4.95	0.00	0.26	0.00	6.37	0.01	0.00	5.77	2.20	0.47	0.00	0.00	0.31	0.08	0.00	0.00	0.00
6.00	39.10	4.62	0.00	0.03	0.00	5.48	0.02	0.00	5.26	2.98	0.69	0.00	0.00	0.13	0.19	0.00	0.00	0.00
7.00	39.09	7.11	0.00	0.00	0.00	7.11	0.03	0.00	6.77	4.41	0.38	0.00	0.00	0.00	0.18	0.00	0.00	0.00
8.00	39.10	5.04	0.00	0.00	0.00	6.49	0.00	0.00	1.13	5.22	0.03	0.00	0.00	0.00	0.00	0.00	0.00	0.00
9.00	39.10	1.56	0.00	0.00	0.00	3.81	0.00	0.00	2.94	4.82	0.09	0.00	0.00	0.00	0.04	0.00	0.00	0.00
10.00	39.09	4.64	0.00	0.00	0.00	7.03	0.00	0.00	6.41	3.52	0.31	0.00	0.00	0.00	0.16	0.00	0.00	0.00
11.00	39.10	5.15	0.00	0.00	0.00	6.65	0.00	0.00	6.57	4.78	0.64	0.00	0.00	0.00	0.28	0.00	0.00	0.00
12.00	39.10	5.14	0.00	0.00	0.00	6.93	0.00	0.00	4.69	5.15	1.39	0.00	0.00	0.00	0.10	0.00	0.00	0.00
13.00	39.09	5.53	0.00	0.00	0.00	4.46	0.00	0.00	4.47	4.27	0.91	0.00	0.00	0.00	0.15	0.00	0.00	0.00
14.00	39.10	5.37	0.00	0.00	0.00	5.02	0.00	0.00	6.04	4.47	0.66	0.00	0.00	0.00	0.17	0.00	0.00	0.00
15.00	39.10	4.86	0.00	0.00	0.00	6.44	0.00	0.00	5.50	4.08	0.79	0.00	0.00	0.00	0.34	0.00	0.00	0.00
16.00	39.09	5.31	0.00	0.00	0.00	6.08	0.00	0.00	6.52	4.25	1.42	0.00	0.00	0.00	0.02	0.00	0.00	0.00
17.00	39.10	4.64	0.00	0.00	0.00	6.26	0.00	0.00	6.03	4.44	0.97	0.00	0.00	0.00	0.24	0.00	0.00	0.00
18.00	39.10	5.85	0.00	0.00	0.00	6.83	0.00	0.00	6.20	4.07	0.71	0.00	0.00	0.00	0.31	0.00	0.00	0.00
19.00	39.09	7.09	0.00	0.00	0.00	9.42	0.00	0.00	6.87	5.22	0.20	0.00	0.00	0.00	0.03	0.00	0.00	0.00
20.00	39.10	4.75	0.00	0.00	0.00	6.93	0.00	0.00	7.02	4.66	1.16	0.00	0.00	0.00	0.13	0.00	0.00	0.00
21.00	39.10	6.09	0.00	0.00	0.00	5.54	0.00	0.00	7.94	4.93	1.12	0.00	0.00	0.00	0.25	0.00	0.00	0.00
22.00	39.09	5.00	0.00	0.00	0.00	7.43	0.00	0.00	7.21	3.72	1.00	0.00	0.00	0.00	0.10	0.00	0.00	0.00
23.00	39.10	5.38	0.00	0.00	0.00	7.17	0.00	0.00	6.37	4.31	0.71	0.00	0.00	0.00	0.26	0.00	0.00	0.00
24.00	39.10	5.19	0.00	0.00	0.00	7.13	0.00	0.00	7.82	4.64	0.95	0.00	0.00	0.00	0.33	0.00	0.00	0.00
25.00	39.09	6.52	0.00	0.00	0.00	8.46	0.00	0.00	10.60	7.69	0.17	0.00	0.00	0.00	0.06	0.00	0.00	0.00
