Waf: Entering directory `/home/synrg-sc1/Desktop/Jiaming/ns-3.29-mesh/build'
Waf: Leaving directory `/home/synrg-sc1/Desktop/Jiaming/ns-3.29-mesh/build'
Build commands will be stored in build/compile_commands.json
'build' finished successfully (4.603s)
CreateVariables () DONE !!!
Creating 19 APs 50.00 m apart.
CreateApNodes () DONE !!!
Creating 0 CLs 20.00 m away from each AP.
CreateClNodes () DONE !!!
CreateNodes () DONE !!!
CreateMeshDevices () DONE !!!
CreateWifiDevices () DONE !!!
CreateCsmaDevices () DONE !!!
CreateDevices () DONE !!!
InstallMeshInternetStack () DONE !!!
InstallWifiInternetStack () DONE !!!
InstallCsmaInternetStack () DONE !!!
InstallInternetStack () DONE !!!
Gateway is connect to AP 0
InstallApplications () DONE !!!
Starting simulation for 40.00 s ...
-------------------------------------------------
Time[s]	ap-0	ap-1	ap-2	ap-3	ap-4	ap-5	ap-6	ap-7	ap-8	ap-9	ap-10	ap-11	ap-12	ap-13	ap-14	ap-15	ap-16	ap-17	ap-18
2.00	41.78	35.16	0.00	1.42	8.64	2.83	0.00	0.00	0.28	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
3.00	41.96	35.29	2.00	6.01	7.12	8.05	0.00	4.19	0.01	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
4.00	41.97	35.29	4.98	10.15	10.28	10.99	0.00	6.15	0.04	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
5.00	41.96	35.29	5.83	11.57	12.11	5.63	0.00	8.60	0.11	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
6.00	41.97	35.29	3.71	9.18	8.45	9.01	0.00	5.03	0.07	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
7.00	41.96	35.29	2.21	8.74	9.88	10.46	0.00	1.29	0.30	0.00	0.00	0.00	0.00	0.01	0.00	0.00	0.00	0.00	0.00
8.00	41.96	35.29	1.08	9.49	0.80	9.11	0.00	3.01	0.07	0.00	0.00	0.00	0.00	0.70	0.00	0.00	0.00	0.00	0.00
9.00	41.97	35.29	3.56	7.60	0.89	9.97	0.00	5.08	0.00	0.00	0.00	0.00	0.00	0.46	0.21	0.00	0.00	0.00	0.00
10.00	41.96	35.29	1.55	9.41	0.47	4.13	0.00	7.11	0.00	0.00	0.00	0.00	0.00	0.84	0.19	0.00	0.00	0.00	0.00
11.00	41.97	35.29	2.09	2.18	1.20	6.78	0.00	4.66	2.46	0.00	0.00	0.00	0.00	0.37	0.12	0.00	0.00	0.00	0.00
