Waf: Entering directory `/home/synrg-sc1/Desktop/Jiaming/ns-3.29-mesh/build'
Waf: Leaving directory `/home/synrg-sc1/Desktop/Jiaming/ns-3.29-mesh/build'
Build commands will be stored in build/compile_commands.json
'build' finished successfully (4.686s)
CreateVariables () DONE !!!
Creating 21 APs 50.00 m apart.
CreateApNodes () DONE !!!
Creating 0 CLs 20.00 m away from each AP.
CreateClNodes () DONE !!!
CreateNodes () DONE !!!
CreateMeshDevices () DONE !!!
CreateWifiDevices () DONE !!!
CreateCsmaDevices () DONE !!!
CreateDevices () DONE !!!
InstallMeshInternetStack () DONE !!!
InstallWifiInternetStack () DONE !!!
InstallCsmaInternetStack () DONE !!!
InstallInternetStack () DONE !!!
Gateway is connect to AP 0
InstallApplications () DONE !!!
Starting simulation for 40.00 s ...
-------------------------------------------------
Time[s]	ap-0	ap-1	ap-2	ap-3	ap-4	ap-5	ap-6	ap-7	ap-8	ap-9	ap-10	ap-11	ap-12	ap-13	ap-14	ap-15	ap-16	ap-17	ap-18	ap-19	ap-20
2.00	36.22	34.12	19.07	0.00	0.00	0.00	3.30	0.00	2.81	0.00	1.83	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
3.00	36.24	34.33	19.07	3.89	0.00	0.49	1.21	0.00	7.40	0.00	0.63	0.00	3.16	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
4.00	36.24	34.33	19.08	4.46	2.46	0.91	4.19	0.00	8.93	0.00	0.26	0.00	6.87	0.00	0.00	0.00	0.00	2.17	0.00	0.00	0.00
5.00	36.24	34.33	19.07	5.90	4.86	0.38	6.64	0.00	10.25	0.00	2.12	0.02	6.99	0.00	0.00	0.00	0.00	2.73	0.00	0.00	0.00
6.00	36.24	34.33	19.07	5.35	5.90	0.60	5.24	0.00	10.35	0.06	2.82	0.71	7.77	0.00	0.00	0.00	0.00	2.22	0.00	0.00	0.00
7.00	36.24	34.33	19.08	6.05	5.30	0.51	6.09	0.00	10.64	0.07	3.32	0.63	7.05	0.00	0.00	0.00	0.02	2.43	0.00	0.00	0.00
8.00	36.24	34.33	19.07	5.08	5.82	0.30	5.19	0.00	10.10	0.03	2.37	0.64	8.31	0.00	0.00	0.00	0.01	2.36	0.00	0.00	0.00
9.00	36.24	34.33	19.07	4.73	6.12	0.03	5.49	0.00	9.88	0.03	0.00	0.28	7.09	0.00	0.00	0.00	0.01	1.31	0.00	0.00	0.00
10.00	36.24	34.33	19.08	5.22	4.86	0.01	6.72	0.00	10.14	0.00	0.60	0.55	6.67	0.00	0.00	0.00	0.00	0.36	0.00	0.00	0.00
11.00	36.24	34.33	19.07	5.23	5.67	0.47	5.37	0.00	10.28	0.00	0.77	0.70	5.90	0.00	0.00	0.00	0.00	0.85	0.00	0.00	0.00
