Waf: Entering directory `/home/synrg-sc1/Desktop/Jiaming/ns-3.29-mesh/build'
Waf: Leaving directory `/home/synrg-sc1/Desktop/Jiaming/ns-3.29-mesh/build'
Build commands will be stored in build/compile_commands.json
'build' finished successfully (4.600s)
CreateVariables () DONE !!!
Creating 22 APs 50.00 m apart.
CreateApNodes () DONE !!!
Creating 0 CLs 20.00 m away from each AP.
CreateClNodes () DONE !!!
CreateNodes () DONE !!!
CreateMeshDevices () DONE !!!
CreateWifiDevices () DONE !!!
CreateCsmaDevices () DONE !!!
CreateDevices () DONE !!!
InstallMeshInternetStack () DONE !!!
InstallWifiInternetStack () DONE !!!
InstallCsmaInternetStack () DONE !!!
InstallInternetStack () DONE !!!
Gateway is connect to AP 0
InstallApplications () DONE !!!
Starting simulation for 40.00 s ...
-------------------------------------------------
Time[s]	ap-0	ap-1	ap-2	ap-3	ap-4	ap-5	ap-6	ap-7	ap-8	ap-9	ap-10	ap-11	ap-12	ap-13	ap-14	ap-15	ap-16	ap-17	ap-18	ap-19	ap-20	ap-21
2.00	34.98	32.29	26.56	2.34	0.00	0.21	3.01	0.00	2.82	0.00	0.24	0.00	0.00	0.00	0.40	0.00	0.92	0.00	0.00	0.00	0.00	0.00
3.00	35.29	32.42	26.71	2.80	0.00	0.26	4.03	0.00	6.31	0.00	0.17	0.00	0.00	0.00	1.10	0.00	1.58	0.00	0.00	0.00	0.00	0.00
4.00	35.29	32.42	26.71	4.13	0.57	0.16	3.92	0.00	5.30	0.00	0.00	0.00	3.82	0.00	0.77	0.00	1.67	0.00	0.00	0.00	0.00	0.00
5.00	35.29	32.42	26.69	4.25	3.57	0.09	5.23	0.00	5.85	0.00	0.00	0.00	3.44	0.00	0.70	0.00	1.34	0.00	0.00	0.00	0.00	0.00
6.00	35.29	32.43	26.71	5.24	3.46	0.00	7.19	0.00	5.12	0.00	0.00	0.00	6.60	0.16	0.51	0.00	0.61	0.00	0.00	0.00	0.00	0.00
7.00	35.29	32.42	26.71	5.12	3.39	0.00	5.09	0.00	3.82	0.00	0.00	0.00	4.41	0.81	0.19	0.00	0.00	0.00	0.00	0.00	0.00	0.00
8.00	35.29	32.42	26.71	3.21	4.01	0.00	4.60	0.00	2.90	0.00	0.00	0.00	4.39	0.88	0.52	0.00	0.02	0.00	0.00	0.00	0.00	0.00
9.00	35.29	32.42	26.69	4.20	2.07	0.00	6.41	0.00	5.37	0.00	0.00	0.00	4.47	3.04	0.58	0.00	0.00	0.00	0.00	0.00	0.00	0.00
10.00	35.29	32.43	26.71	4.75	3.04	0.00	4.50	0.00	4.45	0.00	0.00	0.00	5.11	3.17	0.61	0.00	0.00	0.00	0.00	0.00	0.00	0.00
11.00	35.29	32.42	26.71	6.99	3.85	0.00	7.17	0.00	5.27	0.00	0.11	0.00	6.59	3.39	0.76	0.00	0.00	0.00	0.00	0.00	0.00	0.00
12.00	35.29	32.42	26.69	4.83	4.82	0.00	5.67	0.00	5.03	0.00	0.04	0.00	5.12	1.40	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
