Waf: Entering directory `/home/synrg-sc1/Desktop/Jiaming/ns-3.29-mesh/build'
Waf: Leaving directory `/home/synrg-sc1/Desktop/Jiaming/ns-3.29-mesh/build'
Build commands will be stored in build/compile_commands.json
'build' finished successfully (4.609s)
CreateVariables () DONE !!!
Creating 24 APs 50.00 m apart.
CreateApNodes () DONE !!!
Creating 0 CLs 20.00 m away from each AP.
CreateClNodes () DONE !!!
CreateNodes () DONE !!!
CreateMeshDevices () DONE !!!
CreateWifiDevices () DONE !!!
CreateCsmaDevices () DONE !!!
CreateDevices () DONE !!!
InstallMeshInternetStack () DONE !!!
InstallWifiInternetStack () DONE !!!
InstallCsmaInternetStack () DONE !!!
InstallInternetStack () DONE !!!
Gateway is connect to AP 0
InstallApplications () DONE !!!
Starting simulation for 40.00 s ...
-------------------------------------------------
Time[s]	ap-0	ap-1	ap-2	ap-3	ap-4	ap-5	ap-6	ap-7	ap-8	ap-9	ap-10	ap-11	ap-12	ap-13	ap-14	ap-15	ap-16	ap-17	ap-18	ap-19	ap-20	ap-21	ap-22	ap-23
2.00	37.14	34.25	29.56	0.00	1.65	0.00	2.66	0.00	0.00	0.00	1.59	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.69	0.00	0.00	0.00	0.00
3.00	37.20	34.33	29.56	0.00	5.65	0.00	8.60	0.00	0.00	0.00	0.73	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	3.11	0.00	0.00	0.00	0.00
4.00	37.20	34.33	29.57	0.00	5.87	0.00	9.71	0.00	0.00	0.00	1.29	0.00	0.00	2.45	0.00	0.00	0.00	0.00	0.00	0.85	0.00	0.00	0.00	0.00
5.00	37.20	34.33	29.56	0.00	6.04	0.00	9.57	0.00	0.00	0.00	0.84	0.00	0.00	3.49	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
6.00	37.20	34.33	29.57	0.00	6.55	0.00	9.75	0.00	0.00	0.00	1.17	0.00	0.00	2.84	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
7.00	37.18	34.33	29.56	0.00	2.41	0.00	8.83	0.00	0.00	0.00	0.47	0.00	0.00	1.95	0.00	0.00	0.00	0.00	0.00	0.57	0.00	0.00	0.00	0.00
8.00	37.20	34.33	29.57	0.00	2.92	0.00	8.98	0.00	0.00	0.00	0.92	0.00	0.00	3.20	0.00	0.00	0.00	0.00	0.00	3.16	0.00	0.00	0.00	0.00
9.00	37.20	34.33	29.56	0.00	3.63	0.00	4.76	0.00	0.00	0.00	0.29	0.00	0.00	1.65	0.00	0.00	0.00	0.00	0.00	1.92	0.00	0.00	0.00	0.00
10.00	37.20	34.33	29.57	0.00	4.12	0.00	8.87	0.00	0.00	0.00	0.79	0.00	0.00	2.39	0.00	0.00	0.00	0.00	0.00	2.46	0.00	0.00	0.00	0.00
11.00	37.20	34.33	29.56	0.00	4.77	0.00	8.67	0.00	0.00	0.00	0.35	0.00	0.00	0.72	0.00	0.00	0.00	0.00	0.00	2.15	0.00	0.00	0.00	0.00
12.00	37.20	34.33	29.57	0.00	3.64	0.00	8.97	0.00	0.00	0.00	0.55	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	1.66	0.00	0.00	0.00	0.00
13.00	37.18	34.33	29.56	0.00	4.20	0.00	8.25	0.00	0.00	0.00	1.22	0.00	0.00	0.10	0.00	0.00	0.00	0.00	0.00	2.01	0.00	0.00	0.00	0.00
14.00	37.20	34.33	29.57	0.00	4.67	0.00	4.55	0.00	0.00	0.00	0.62	0.00	0.00	0.58	0.00	0.00	0.00	0.00	0.00	1.95	0.00	0.00	0.00	0.00
15.00	37.20	34.33	29.56	0.00	3.90	0.00	8.83	0.00	0.00	0.00	1.15	0.00	0.00	0.26	0.00	0.00	0.00	0.00	0.00	1.13	0.00	0.00	0.00	0.00
16.00	37.20	34.33	29.57	0.00	4.23	0.00	8.29	0.00	0.00	0.00	1.44	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	1.97	0.00	0.00	0.00	0.00
17.00	37.20	34.34	29.56	0.00	4.66	0.00	7.13	0.00	0.00	0.00	1.70	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	2.68	0.00	0.00	0.00	0.00
18.00	37.20	34.33	29.57	0.00	2.45	0.00	8.75	0.00	0.00	0.00	2.54	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	3.17	0.00	0.00	0.00	0.00
19.00	37.18	34.33	29.56	0.00	3.46	0.00	9.62	0.00	0.00	0.00	1.50	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	2.37	0.00	0.00	0.00	0.00
20.00	37.20	34.33	29.57	0.00	0.61	0.00	4.25	0.00	0.00	0.00	1.39	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.82	0.00	0.00	0.00	0.00
21.00	37.20	34.33	29.56	0.00	0.00	0.00	10.73	0.00	0.00	0.00	2.50	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	2.50	0.00	0.00	0.00	0.00
22.00	37.20	34.33	29.57	0.00	0.00	0.00	9.66	0.00	0.00	0.00	0.85	0.00	0.00	1.50	0.00	0.00	0.00	0.00	0.00	4.28	0.00	0.00	0.00	0.00
23.00	37.20	34.33	29.56	0.00	0.00	0.00	9.18	0.00	0.00	0.00	1.73	0.00	0.00	2.30	0.00	0.00	0.00	0.00	0.00	2.93	0.00	0.00	0.00	0.00
