Waf: Entering directory `/scratch/users/jw27/sp2019-ns3-mesh/build'
Waf: Leaving directory `/scratch/users/jw27/sp2019-ns3-mesh/build'
Build commands will be stored in build/compile_commands.json
'build' finished successfully (9.492s)
CreateVariables () DONE !!!
Creating 10 APs 50.00 m apart.
CreateApNodes () DONE !!!
Creating 0 CLs 20.00 m away from each AP.
CreateClNodes () DONE !!!
CreateNodes () DONE !!!
CreateMeshDevices () DONE !!!
CreateWifiDevices () DONE !!!
CreateCsmaDevices () DONE !!!
CreateDevices () DONE !!!
InstallMeshInternetStack () DONE !!!
InstallWifiInternetStack () DONE !!!
InstallCsmaInternetStack () DONE !!!
InstallInternetStack () DONE !!!
Gateway is connect to AP 0
InstallApplications () DONE !!!
Starting simulation for 40.00 s ...
-------------------------------------------------
Time[s]	ap-0	ap-1	ap-2	ap-3	ap-4	ap-5	ap-6	ap-7	ap-8	ap-9
2.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
3.00	36.69	24.67	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
4.00	41.01	27.65	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
5.00	41.00	27.66	19.10	4.55	7.52	0.66	0.00	0.00	0.00	0.00
6.00	41.01	27.66	22.88	0.00	18.13	0.00	0.00	0.00	0.00	0.00
7.00	41.00	27.65	22.76	0.00	18.01	0.00	0.00	0.00	0.95	0.00
8.00	41.01	27.66	23.02	0.00	17.79	0.00	0.00	0.00	2.38	0.00
9.00	41.00	27.66	22.36	0.00	16.10	0.00	0.00	0.00	4.64	0.00
10.00	41.01	27.65	23.24	0.00	16.07	0.00	0.00	0.00	5.54	0.00
11.00	41.00	27.66	22.26	0.00	15.52	0.00	0.00	0.00	4.81	0.00
12.00	41.01	27.66	22.55	0.00	16.34	0.00	0.00	0.00	5.79	0.00
13.00	41.00	27.65	22.10	0.00	15.39	0.00	0.00	0.00	5.50	0.00
14.00	41.01	27.66	15.69	0.00	17.74	0.00	0.00	0.00	2.21	0.00
15.00	41.00	27.65	22.31	0.00	15.70	0.00	0.00	0.00	5.45	0.00
16.00	41.01	27.66	22.83	0.00	15.43	0.00	0.00	0.00	5.14	0.00
17.00	41.00	27.66	22.45	0.00	15.36	0.00	0.00	0.00	5.35	0.00
18.00	41.01	27.65	23.06	0.00	15.81	0.00	0.00	0.00	5.63	0.00
19.00	41.00	27.66	11.41	0.00	14.42	0.00	0.00	0.00	2.90	0.00
20.00	41.01	27.66	22.36	0.00	18.13	0.00	0.00	0.00	0.00	0.00
21.00	41.00	27.65	22.89	0.00	18.11	0.00	0.00	0.00	0.00	0.00
22.00	41.01	27.66	22.89	0.00	18.13	0.00	0.00	0.00	0.00	0.00
23.00	41.00	27.66	22.38	0.00	17.68	0.00	0.00	0.00	0.82	0.00
24.00	41.01	27.65	22.99	0.00	14.64	0.00	0.00	0.00	3.99	0.00
25.00	41.00	27.66	22.89	0.00	18.11	0.00	0.00	0.00	0.00	0.00
26.00	41.01	27.66	22.89	0.00	18.13	0.00	0.00	0.00	0.00	0.00
27.00	41.00	27.65	22.90	0.00	18.11	0.00	0.00	0.00	0.00	0.00
28.00	41.01	27.66	22.88	0.00	18.13	0.00	0.00	0.00	0.00	0.00
29.00	41.00	27.65	22.82	0.00	18.09	0.00	0.00	0.00	0.00	0.00
30.00	41.01	27.66	22.94	0.00	18.11	0.00	0.00	0.00	0.00	0.00
31.00	41.00	27.66	22.89	0.00	18.13	0.00	0.00	0.00	0.00	0.00
32.00	41.01	27.65	22.89	0.00	18.11	0.00	0.00	0.00	0.00	0.00
33.00	41.00	27.66	22.88	0.00	18.13	0.00	0.00	0.00	0.00	0.00
34.00	41.01	27.66	22.90	0.00	18.11	0.00	0.00	0.00	0.00	0.00
35.00	41.00	27.65	22.89	0.00	18.11	0.00	0.00	0.00	0.00	0.00
36.00	41.01	27.66	22.89	0.00	18.13	0.00	0.00	0.00	0.00	0.00
37.00	41.00	27.66	22.89	0.00	18.13	0.00	0.00	0.00	0.00	0.00
38.00	41.01	27.65	22.89	0.00	18.11	0.00	0.00	0.00	0.00	0.00
39.00	41.01	27.66	22.89	0.00	18.13	0.00	0.00	0.00	0.00	0.00
