Waf: Entering directory `/home/synrg-sc1/Desktop/Jiaming/ns-3.29-mesh/build'
Waf: Leaving directory `/home/synrg-sc1/Desktop/Jiaming/ns-3.29-mesh/build'
Build commands will be stored in build/compile_commands.json
'build' finished successfully (4.578s)
CreateVariables () DONE !!!
Creating 10 APs 50.00 m apart.
CreateApNodes () DONE !!!
Creating 0 CLs 20.00 m away from each AP.
CreateClNodes () DONE !!!
CreateNodes () DONE !!!
CreateMeshDevices () DONE !!!
CreateWifiDevices () DONE !!!
CreateCsmaDevices () DONE !!!
CreateDevices () DONE !!!
InstallMeshInternetStack () DONE !!!
InstallWifiInternetStack () DONE !!!
InstallCsmaInternetStack () DONE !!!
InstallInternetStack () DONE !!!
Gateway is connect to AP 0
InstallApplications () DONE !!!
Starting simulation for 40.00 s ...
-------------------------------------------------
Time[s]	ap-0	ap-1	ap-2	ap-3	ap-4	ap-5	ap-6	ap-7	ap-8	ap-9
2.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
3.00	27.84	18.88	15.69	0.00	0.00	0.00	0.00	0.00	0.00	0.00
4.00	41.01	27.65	22.89	0.00	0.00	0.00	0.00	0.00	0.00	0.00
5.00	41.00	27.66	22.89	10.29	0.56	0.27	0.00	0.00	0.00	0.00
6.00	41.01	27.66	22.89	18.25	0.00	9.23	0.00	0.00	0.00	0.00
7.00	41.00	27.65	22.89	18.26	0.00	12.74	0.00	0.00	0.00	0.00
8.00	41.01	27.66	22.89	20.62	0.00	2.84	0.00	0.00	0.00	0.00
9.00	41.00	27.66	22.89	16.21	0.00	13.79	0.00	0.00	0.00	0.00
10.00	41.01	27.65	22.89	17.79	0.00	14.63	0.00	0.00	0.00	0.00
11.00	41.00	27.66	22.89	17.07	0.00	14.31	0.00	0.00	0.00	0.00
12.00	41.01	27.66	22.89	17.70	0.00	15.02	0.00	0.00	0.00	0.00
13.00	41.00	27.65	22.89	19.37	0.00	4.28	0.00	0.00	0.00	0.00
14.00	41.01	27.66	22.89	20.04	0.00	0.28	0.00	0.00	0.00	0.00
15.00	41.00	27.65	22.89	18.71	0.00	0.10	0.00	0.00	0.00	0.00
16.00	41.01	27.66	22.89	20.04	0.00	1.18	0.00	0.00	0.00	0.00
17.00	41.00	27.66	22.89	20.02	6.95	0.06	0.00	0.00	0.00	0.00
18.00	41.01	27.65	22.89	17.34	0.00	16.28	0.00	0.00	0.00	0.00
19.00	41.00	27.66	22.89	16.65	0.00	15.62	0.00	0.00	0.00	0.00
20.00	41.01	27.66	22.89	19.59	0.00	11.29	0.00	0.00	0.00	0.00
21.00	41.00	27.65	22.89	18.09	0.00	8.51	0.00	0.00	0.00	0.00
22.00	41.01	27.66	22.89	16.82	0.00	15.18	0.00	0.00	0.00	0.00
23.00	41.00	27.66	22.90	17.14	0.00	15.63	0.00	0.00	0.00	0.00
24.00	41.01	27.65	22.89	19.62	0.00	8.82	0.00	0.00	0.00	0.00
25.00	41.00	27.66	22.89	17.73	0.00	6.12	0.00	0.00	0.00	0.00
26.00	41.01	27.66	22.89	14.79	0.00	14.94	0.00	0.00	0.00	0.00
27.00	41.00	27.65	22.89	14.82	0.00	14.82	0.00	0.00	0.00	0.00
28.00	41.01	27.66	22.89	15.37	0.00	15.49	0.00	0.00	0.00	0.00
29.00	41.00	27.65	22.89	16.53	0.03	16.63	0.00	0.00	0.00	0.00
30.00	41.01	27.66	22.89	18.00	15.67	5.81	0.00	0.00	0.00	0.00
31.00	41.00	27.66	22.89	16.07	1.77	13.08	0.00	0.00	0.00	0.00
32.00	41.01	27.65	22.89	18.01	0.00	15.13	0.00	0.00	0.00	0.00
33.00	41.00	27.66	22.89	17.36	0.02	13.81	0.00	0.00	0.00	0.00
34.00	41.01	27.66	22.89	18.08	0.00	14.84	0.00	0.00	0.00	0.00
35.00	41.00	27.65	22.89	18.31	0.00	11.71	0.00	0.00	0.00	0.00
36.00	41.01	27.66	22.89	19.13	0.00	5.57	0.00	0.00	0.00	0.00
37.00	41.00	27.66	22.89	17.37	0.00	16.19	0.00	0.00	0.00	0.00
38.00	41.01	27.65	22.89	17.24	0.07	16.78	0.00	0.00	0.00	0.00
39.00	41.01	27.66	22.89	14.53	0.00	14.06	0.00	0.00	0.00	0.00
