Waf: Entering directory `/scratch/users/jw27/sp2019-ns3-mesh/build'
Waf: Leaving directory `/scratch/users/jw27/sp2019-ns3-mesh/build'
Build commands will be stored in build/compile_commands.json
'build' finished successfully (11.420s)
CreateVariables () DONE !!!
Creating 11 APs 50.00 m apart.
CreateApNodes () DONE !!!
Creating 0 CLs 20.00 m away from each AP.
CreateClNodes () DONE !!!
CreateNodes () DONE !!!
CreateMeshDevices () DONE !!!
CreateWifiDevices () DONE !!!
CreateCsmaDevices () DONE !!!
CreateDevices () DONE !!!
InstallMeshInternetStack () DONE !!!
InstallWifiInternetStack () DONE !!!
InstallCsmaInternetStack () DONE !!!
InstallInternetStack () DONE !!!
Gateway is connect to AP 0
InstallApplications () DONE !!!
Starting simulation for 40.00 s ...
-------------------------------------------------
Time[s]	ap-0	ap-1	ap-2	ap-3	ap-4	ap-5	ap-6	ap-7	ap-8	ap-9	ap-10
2.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
3.00	28.42	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
4.00	40.05	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
5.00	40.06	0.00	16.76	8.91	0.00	0.00	0.00	0.00	0.00	0.00	0.00
6.00	40.05	0.00	31.16	17.17	0.00	0.00	0.00	0.00	0.00	0.00	0.00
7.00	40.06	0.00	13.00	17.16	0.00	0.00	0.00	0.00	0.00	0.00	0.00
8.00	40.06	0.00	32.25	17.17	0.00	0.00	0.00	0.00	0.00	0.00	0.00
9.00	40.05	0.00	31.00	17.17	0.00	0.00	0.00	0.00	0.00	0.00	0.00
10.00	40.06	0.00	32.78	17.16	0.00	0.00	0.00	0.00	0.00	0.00	0.00
11.00	40.05	0.00	31.19	17.16	0.00	0.00	0.00	0.00	0.00	0.00	0.00
12.00	40.06	0.00	32.61	17.17	0.00	0.00	0.00	0.00	0.00	0.00	0.00
13.00	40.06	0.00	31.31	17.16	0.00	0.00	0.00	0.00	0.00	0.00	0.00
14.00	40.05	0.00	33.43	17.17	0.00	0.00	0.00	0.00	0.00	0.00	0.00
15.00	40.06	0.00	31.38	17.16	0.00	0.00	0.00	0.00	0.00	0.00	0.00
16.00	40.05	0.00	31.37	17.17	0.00	0.00	0.00	0.00	0.00	0.00	0.00
17.00	40.06	0.00	27.90	17.17	0.00	0.00	0.00	0.00	0.00	0.00	0.00
18.00	40.05	0.00	32.98	17.16	0.00	0.00	0.00	0.00	0.00	0.00	0.00
19.00	40.06	0.00	31.56	17.17	0.00	0.00	0.00	0.00	0.00	0.00	0.00
20.00	40.06	0.00	32.73	17.16	0.00	0.00	0.00	0.00	0.00	0.00	0.00
21.00	40.05	0.00	30.46	17.17	0.00	0.00	0.00	0.00	0.00	0.00	0.00
22.00	40.06	0.00	33.55	16.23	0.00	0.00	0.00	0.00	0.00	0.00	0.00
23.00	40.05	0.00	31.49	17.45	0.00	0.00	0.00	0.00	0.00	0.00	0.00
24.00	40.06	0.00	32.78	17.17	0.00	0.00	0.00	0.00	0.00	0.00	0.00
25.00	40.06	0.00	31.31	17.17	0.00	0.00	0.00	0.00	0.00	0.00	0.00
26.00	40.05	0.00	31.86	17.16	0.00	0.00	0.00	0.00	0.00	0.00	0.00
27.00	40.06	0.00	31.22	16.46	0.00	0.00	0.00	0.00	0.00	0.00	0.00
28.00	40.05	0.00	32.33	17.87	0.00	0.00	0.00	0.00	0.00	0.00	0.00
29.00	40.06	0.00	31.28	17.16	0.00	0.00	0.00	0.00	0.00	0.00	0.00
30.00	40.06	0.00	32.93	17.17	0.00	0.00	0.00	0.00	0.00	0.00	0.00
31.00	40.05	0.00	31.22	17.16	0.00	0.00	0.00	0.00	0.00	0.00	0.00
32.00	40.06	0.00	32.80	17.17	0.00	0.00	0.00	0.00	0.00	0.00	0.00
33.00	40.05	0.00	27.98	17.16	0.00	0.00	0.00	0.00	0.00	0.00	0.00
34.00	40.06	0.00	32.74	17.16	0.00	0.00	0.00	0.00	0.00	0.00	0.00
35.00	40.05	0.00	31.65	17.17	0.00	0.00	0.00	0.00	0.00	0.00	0.00
36.00	40.06	0.00	32.14	17.17	0.00	0.00	0.00	0.00	0.00	0.00	0.00
37.00	40.06	0.00	1.74	17.17	0.00	0.00	0.00	0.00	0.00	0.00	0.00
38.00	40.05	0.00	0.00	17.16	0.00	0.00	0.00	0.00	0.00	0.00	0.00
39.00	40.06	0.00	6.17	17.16	0.00	0.00	0.00	0.00	0.00	0.00	0.00
