Waf: Entering directory `/home/synrg-sc1/Desktop/Jiaming/ns-3.29-mesh/build'
Waf: Leaving directory `/home/synrg-sc1/Desktop/Jiaming/ns-3.29-mesh/build'
Build commands will be stored in build/compile_commands.json
'build' finished successfully (4.607s)
CreateVariables () DONE !!!
Creating 12 APs 50.00 m apart.
CreateApNodes () DONE !!!
Creating 0 CLs 20.00 m away from each AP.
CreateClNodes () DONE !!!
CreateNodes () DONE !!!
CreateMeshDevices () DONE !!!
CreateWifiDevices () DONE !!!
CreateCsmaDevices () DONE !!!
CreateDevices () DONE !!!
InstallMeshInternetStack () DONE !!!
InstallWifiInternetStack () DONE !!!
InstallCsmaInternetStack () DONE !!!
InstallInternetStack () DONE !!!
Gateway is connect to AP 0
InstallApplications () DONE !!!
Starting simulation for 40.00 s ...
-------------------------------------------------
Time[s]	ap-0	ap-1	ap-2	ap-3	ap-4	ap-5	ap-6	ap-7	ap-8	ap-9	ap-10	ap-11
2.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
3.00	39.62	37.78	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
4.00	40.05	38.15	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
5.00	40.06	38.14	11.69	0.03	2.08	0.00	2.27	0.00	5.64	0.00	0.00	0.00
6.00	40.05	38.15	29.22	0.00	0.00	0.00	3.44	0.00	12.40	0.00	0.00	0.00
7.00	40.06	38.15	11.83	0.04	0.00	0.00	2.40	0.00	11.28	0.00	0.00	0.00
8.00	40.06	38.15	22.70	3.91	0.00	0.00	1.50	0.00	10.31	0.00	0.00	0.00
9.00	40.05	38.14	14.67	7.98	0.00	0.00	1.88	0.00	8.10	0.00	0.00	0.00
10.00	40.06	38.15	16.06	7.98	0.00	0.00	1.84	0.00	8.30	0.00	0.00	0.00
11.00	40.05	38.15	15.27	7.74	0.00	0.00	1.62	0.00	8.49	0.00	0.00	0.00
12.00	40.06	38.15	15.76	8.12	0.00	0.00	1.75	0.00	8.52	0.00	0.00	0.00
13.00	40.06	38.14	21.11	1.74	0.00	0.00	1.20	0.00	3.31	0.00	0.00	0.00
14.00	40.05	38.15	23.21	0.44	0.00	0.00	0.00	0.00	5.78	0.00	0.00	0.00
15.00	40.06	38.15	17.14	1.93	0.00	0.00	0.00	0.00	12.44	0.00	0.00	0.00
16.00	40.05	38.15	24.04	1.16	0.00	0.00	0.00	0.00	12.40	0.00	0.00	0.00
17.00	40.06	38.14	16.60	1.98	0.00	0.00	0.00	0.00	12.40	0.00	0.00	0.00
18.00	40.05	38.15	16.76	2.11	0.00	0.00	0.00	0.00	12.40	0.00	0.00	0.00
19.00	40.06	38.15	20.68	1.19	0.00	0.00	2.17	0.00	12.39	0.00	0.00	0.00
20.00	40.06	38.15	28.33	0.00	0.00	0.00	4.21	0.00	12.40	0.00	0.00	0.00
21.00	40.05	38.14	8.93	6.70	0.00	0.00	3.87	0.00	10.59	0.00	0.00	0.00
22.00	40.06	38.15	0.90	9.37	0.00	0.00	2.57	0.00	8.54	0.00	0.00	0.00
23.00	40.05	38.15	11.87	7.13	0.00	0.00	2.27	0.00	7.72	0.00	0.00	0.00
24.00	40.06	38.14	15.69	7.77	0.00	0.00	2.41	0.00	8.14	0.00	0.00	0.00
25.00	40.06	38.15	21.71	4.20	0.00	0.00	2.32	0.00	10.73	0.00	0.00	0.00
26.00	40.05	38.15	14.94	7.58	0.00	0.00	2.37	0.00	8.22	0.00	0.00	0.00
27.00	40.06	38.15	22.29	4.39	0.00	0.00	2.28	0.00	10.73	0.00	0.00	0.00
28.00	40.05	38.14	30.34	0.00	0.00	0.00	4.18	0.00	12.42	0.00	0.00	0.00
29.00	40.06	38.15	28.37	0.00	0.00	0.00	4.29	0.00	12.39	0.00	0.00	0.00
30.00	40.06	38.15	28.92	0.00	0.00	0.00	5.00	0.00	12.41	0.00	0.00	0.00
31.00	40.05	38.15	22.03	5.51	0.00	0.00	2.48	0.00	12.34	0.00	0.00	0.00
32.00	40.06	38.14	20.28	19.71	0.00	0.00	0.00	0.00	12.43	0.00	0.00	0.00
33.00	40.05	38.15	18.43	18.90	0.00	0.00	0.00	0.00	12.39	0.00	0.00	0.00
34.00	40.06	38.15	19.81	19.89	0.00	0.00	0.00	0.00	12.42	0.00	0.00	0.00
35.00	40.05	38.15	17.33	17.05	0.00	0.00	1.00	0.00	12.21	0.00	0.00	0.00
36.00	40.06	38.14	27.64	8.24	0.00	0.00	0.00	0.00	12.40	0.00	0.00	0.00
37.00	40.06	38.15	34.19	0.00	0.00	0.00	0.00	0.00	12.40	0.00	0.00	0.00
38.00	40.05	38.15	34.34	0.00	0.00	0.00	0.00	0.00	12.40	0.00	0.00	0.00
39.00	40.06	38.15	25.02	0.00	0.00	0.00	0.00	0.00	12.40	0.00	0.00	0.00
