Waf: Entering directory `/home/synrg-sc1/Desktop/Jiaming/ns-3.29-mesh/build'
Waf: Leaving directory `/home/synrg-sc1/Desktop/Jiaming/ns-3.29-mesh/build'
Build commands will be stored in build/compile_commands.json
'build' finished successfully (4.626s)
CreateVariables () DONE !!!
Creating 13 APs 50.00 m apart.
CreateApNodes () DONE !!!
Creating 0 CLs 20.00 m away from each AP.
CreateClNodes () DONE !!!
CreateNodes () DONE !!!
CreateMeshDevices () DONE !!!
CreateWifiDevices () DONE !!!
CreateCsmaDevices () DONE !!!
CreateDevices () DONE !!!
InstallMeshInternetStack () DONE !!!
InstallWifiInternetStack () DONE !!!
InstallCsmaInternetStack () DONE !!!
InstallInternetStack () DONE !!!
Gateway is connect to AP 0
InstallApplications () DONE !!!
Starting simulation for 40.00 s ...
-------------------------------------------------
Time[s]	ap-0	ap-1	ap-2	ap-3	ap-4	ap-5	ap-6	ap-7	ap-8	ap-9	ap-10	ap-11	ap-12
2.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
3.00	34.15	32.73	29.36	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
4.00	40.05	38.15	34.33	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
5.00	40.06	38.14	34.33	3.89	8.69	0.00	1.75	6.19	0.65	0.00	0.00	0.00	0.00
6.00	40.05	38.15	34.33	13.48	14.50	0.00	0.43	13.71	0.00	0.00	0.00	0.00	0.00
7.00	40.06	38.15	34.33	10.42	11.70	0.00	4.42	11.85	0.00	0.00	0.00	0.00	0.00
8.00	40.06	38.15	34.33	11.75	13.32	0.00	4.28	12.75	0.00	0.00	0.00	0.00	0.00
9.00	40.05	38.14	34.33	11.49	14.59	0.00	1.33	14.61	0.00	0.00	0.00	0.00	0.00
10.00	40.06	38.15	34.33	9.05	11.65	0.00	3.22	13.50	0.00	0.00	0.00	0.00	0.00
11.00	40.05	38.15	34.33	7.91	11.20	0.00	2.99	13.47	0.00	0.00	0.00	0.00	0.00
12.00	40.06	38.15	34.33	9.39	12.67	0.00	3.02	12.86	0.00	0.00	0.00	0.00	0.00
13.00	40.06	38.14	34.33	8.25	11.97	0.00	2.85	12.90	0.00	0.00	0.00	0.00	0.00
14.00	40.05	38.15	34.33	6.95	15.48	0.00	0.81	10.23	0.00	0.00	0.00	0.00	0.00
15.00	40.06	38.15	34.33	4.47	8.45	0.00	3.39	9.03	0.00	0.00	0.00	0.00	0.00
16.00	40.05	38.15	34.33	3.80	8.38	0.00	3.55	8.06	0.00	0.00	0.00	0.00	0.00
17.00	40.06	38.14	34.34	4.49	8.86	0.00	3.39	9.10	0.00	0.00	0.00	0.00	0.00
18.00	40.05	38.15	34.33	4.36	8.87	0.00	3.58	9.14	0.00	0.00	0.00	0.00	0.00
19.00	40.06	38.15	34.33	10.01	11.30	0.00	2.37	11.66	0.00	0.00	0.00	0.00	0.00
20.00	40.06	38.15	34.33	14.52	15.69	0.00	2.79	14.33	0.00	0.00	0.00	0.00	0.00
21.00	40.05	38.14	34.33	3.19	11.23	0.00	10.04	12.32	0.00	0.00	0.00	0.00	0.00
22.00	40.06	38.15	34.33	0.00	12.50	0.00	12.29	13.62	0.00	0.00	0.00	0.00	0.00
23.00	40.05	38.15	34.33	0.00	12.14	0.00	12.05	12.98	0.00	0.00	0.00	0.00	0.00
24.00	40.06	38.14	34.33	0.00	12.12	0.00	11.70	14.54	0.00	0.00	0.00	0.00	0.00
25.00	40.06	38.15	34.33	0.00	15.22	0.00	5.51	15.19	0.00	0.00	0.00	0.00	0.00
26.00	40.05	38.15	34.33	0.00	13.09	0.00	11.16	13.54	0.00	0.00	0.00	0.00	0.00
27.00	40.06	38.15	34.33	0.00	12.79	0.00	11.15	13.09	0.00	0.00	0.00	0.00	0.00
28.00	40.05	38.14	34.33	0.00	12.39	0.00	12.93	13.69	0.00	0.00	0.00	0.00	0.00
29.00	40.06	38.15	34.33	0.00	6.21	0.00	6.88	14.93	0.00	0.00	0.00	0.00	0.00
30.00	40.06	38.15	34.33	0.00	8.54	0.00	0.00	15.96	0.00	0.00	0.00	0.00	0.00
31.00	40.05	38.15	34.33	0.00	5.36	0.00	7.79	15.83	0.00	0.00	0.00	0.00	0.00
32.00	40.06	38.14	34.34	0.00	0.00	0.00	17.21	16.21	0.00	0.00	0.00	0.00	0.00
33.00	40.05	38.15	34.33	0.00	13.18	0.00	17.16	14.23	0.00	0.00	0.00	0.00	0.00
34.00	40.06	38.15	34.33	0.00	17.26	0.00	17.13	15.88	0.00	0.00	0.00	0.00	0.00
35.00	40.05	38.15	34.33	0.00	16.56	0.00	17.21	14.05	0.00	0.00	0.00	0.00	0.00
36.00	40.06	38.14	34.33	0.00	6.81	0.00	17.13	16.25	0.00	0.00	0.00	0.00	0.00
37.00	40.06	38.15	34.33	0.00	0.00	0.00	17.15	16.21	0.00	0.00	0.00	0.00	0.00
38.00	40.05	38.15	34.33	0.00	0.00	0.00	17.18	16.22	0.00	0.00	0.00	0.00	0.00
39.00	40.06	38.15	34.33	0.00	0.00	0.00	17.16	16.22	0.00	0.00	0.00	0.00	0.00
