Waf: Entering directory `/home/synrg-sc1/Desktop/Jiaming/ns-3.29-mesh/build'
Waf: Leaving directory `/home/synrg-sc1/Desktop/Jiaming/ns-3.29-mesh/build'
Build commands will be stored in build/compile_commands.json
'build' finished successfully (4.634s)
CreateVariables () DONE !!!
Creating 17 APs 50.00 m apart.
CreateApNodes () DONE !!!
Creating 0 CLs 20.00 m away from each AP.
CreateClNodes () DONE !!!
CreateNodes () DONE !!!
CreateMeshDevices () DONE !!!
CreateWifiDevices () DONE !!!
CreateCsmaDevices () DONE !!!
CreateDevices () DONE !!!
InstallMeshInternetStack () DONE !!!
InstallWifiInternetStack () DONE !!!
InstallCsmaInternetStack () DONE !!!
InstallInternetStack () DONE !!!
Gateway is connect to AP 0
InstallApplications () DONE !!!
Starting simulation for 40.00 s ...
-------------------------------------------------
Time[s]	ap-0	ap-1	ap-2	ap-3	ap-4	ap-5	ap-6	ap-7	ap-8	ap-9	ap-10	ap-11	ap-12	ap-13	ap-14	ap-15	ap-16
2.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
3.00	32.13	30.48	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
4.00	37.20	35.29	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
5.00	37.20	35.29	0.00	0.48	6.19	9.82	0.00	0.21	0.00	3.23	0.00	0.00	0.00	0.00	0.00	0.00	0.00
6.00	37.20	35.29	0.03	0.00	13.53	15.26	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
7.00	37.18	35.29	0.00	0.00	11.92	12.72	0.00	0.00	0.00	0.00	0.01	0.00	0.00	0.00	0.00	0.00	0.00
8.00	37.20	35.29	0.00	0.00	15.08	13.11	0.00	0.00	0.00	0.00	0.65	0.00	0.00	0.00	0.00	0.00	0.00
9.00	37.20	35.29	0.00	0.00	16.25	15.30	0.00	0.00	0.00	0.00	0.02	0.00	0.00	0.00	0.00	0.00	0.00
10.00	37.20	35.29	0.00	0.00	16.22	15.26	0.00	0.00	0.00	0.00	0.01	0.00	0.00	0.00	0.00	0.00	0.00
11.00	37.20	35.29	0.00	0.00	15.92	15.07	0.00	0.00	0.00	0.00	0.02	0.00	0.00	0.00	0.00	0.00	0.00
12.00	37.20	35.29	0.00	0.00	14.16	15.25	0.00	0.00	0.00	0.00	7.45	0.00	0.00	0.00	0.00	0.00	0.00
13.00	37.18	35.29	0.00	0.00	12.20	15.26	0.00	0.00	0.00	0.00	8.55	0.00	0.00	0.00	0.00	0.00	0.00
14.00	37.20	35.29	0.00	0.00	14.29	15.26	0.00	0.00	0.00	0.00	10.55	0.00	0.00	0.00	0.00	0.00	0.00
15.00	37.20	35.29	0.00	0.00	11.99	15.26	0.00	0.00	0.00	0.00	8.21	0.00	0.00	0.00	0.00	0.00	0.00
16.00	37.20	35.29	0.00	0.00	12.85	15.26	0.00	0.00	0.00	0.00	9.18	0.00	0.00	0.00	0.00	0.00	0.00
17.00	37.20	35.29	0.00	0.00	16.13	15.26	0.00	0.00	0.00	0.00	1.34	0.00	0.00	0.00	0.00	0.00	0.00
18.00	37.20	35.29	0.00	0.00	14.24	15.25	0.00	0.00	0.00	0.00	6.79	0.00	0.00	0.00	0.00	0.00	0.00
19.00	37.18	35.29	0.00	0.00	11.95	15.25	0.00	0.00	0.00	0.00	8.06	0.00	0.00	0.00	0.00	0.00	0.00
20.00	37.20	35.29	0.00	0.00	14.21	15.26	0.00	0.00	0.00	0.00	10.15	0.00	0.00	0.00	0.00	0.00	0.00
21.00	37.20	35.29	0.00	0.00	11.56	15.26	0.00	0.00	0.00	0.00	7.45	0.00	0.00	0.00	0.00	0.00	0.00
22.00	37.20	35.29	0.00	0.00	14.20	15.23	0.00	0.00	0.00	0.00	10.21	0.00	0.00	0.00	0.00	0.00	0.00
23.00	37.20	35.29	0.00	0.00	15.90	15.25	0.00	0.00	0.00	0.00	1.16	0.00	0.00	0.00	0.00	0.00	0.00
24.00	37.20	35.29	0.00	0.00	14.00	15.26	0.00	0.00	0.00	0.00	10.08	0.00	0.00	0.00	0.00	0.00	0.00
25.00	37.18	35.29	0.00	0.00	12.01	15.27	0.00	0.00	0.00	0.00	7.94	0.00	0.00	0.00	0.00	0.00	0.00
26.00	37.20	35.29	0.00	0.00	13.40	15.26	0.00	0.00	0.00	0.00	9.15	0.00	0.00	0.00	0.00	0.00	0.00
27.00	37.20	35.29	0.00	0.00	11.61	15.23	0.00	0.00	0.00	0.00	7.66	0.00	0.00	0.00	0.00	0.00	0.00
28.00	37.20	35.29	0.00	0.00	14.62	15.26	0.00	0.00	0.00	0.00	10.34	0.00	0.00	0.00	0.00	0.00	0.00
29.00	37.20	35.29	0.00	0.00	11.49	15.26	0.00	0.00	0.00	0.00	4.16	0.00	0.00	0.00	0.00	0.00	0.00
30.00	37.18	35.29	0.00	0.00	14.57	15.26	0.00	0.00	0.00	0.00	10.55	0.00	0.00	0.00	0.00	0.00	0.00
31.00	37.20	35.29	0.00	0.00	11.40	15.24	0.00	0.00	0.00	0.00	7.76	0.00	0.00	0.00	0.00	0.00	0.00
