Waf: Entering directory `/home/synrg-sc1/Desktop/Jiaming/ns-3.29-mesh/build'
Waf: Leaving directory `/home/synrg-sc1/Desktop/Jiaming/ns-3.29-mesh/build'
Build commands will be stored in build/compile_commands.json
'build' finished successfully (4.611s)
CreateVariables () DONE !!!
Creating 24 APs 50.00 m apart.
CreateApNodes () DONE !!!
Creating 0 CLs 20.00 m away from each AP.
CreateClNodes () DONE !!!
CreateNodes () DONE !!!
CreateMeshDevices () DONE !!!
CreateWifiDevices () DONE !!!
CreateCsmaDevices () DONE !!!
CreateDevices () DONE !!!
InstallMeshInternetStack () DONE !!!
InstallWifiInternetStack () DONE !!!
InstallCsmaInternetStack () DONE !!!
InstallInternetStack () DONE !!!
Gateway is connect to AP 0
InstallApplications () DONE !!!
Starting simulation for 40.00 s ...
-------------------------------------------------
Time[s]	ap-0	ap-1	ap-2	ap-3	ap-4	ap-5	ap-6	ap-7	ap-8	ap-9	ap-10	ap-11	ap-12	ap-13	ap-14	ap-15	ap-16	ap-17	ap-18	ap-19	ap-20	ap-21	ap-22	ap-23
2.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
3.00	31.19	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
4.00	36.24	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
5.00	36.24	6.45	0.00	0.00	0.00	5.49	0.00	0.00	11.30	0.00	0.00	0.00	0.00	0.00	8.54	0.70	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
6.00	36.24	1.63	0.00	0.06	5.24	3.10	0.00	0.00	8.86	0.00	0.00	0.00	6.64	0.00	6.66	1.39	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
7.00	36.24	3.12	0.00	0.03	7.05	1.22	0.00	0.00	6.75	0.00	0.00	0.00	7.47	0.00	6.55	0.08	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
8.00	36.24	2.77	0.00	0.01	5.77	0.85	0.00	0.00	1.97	0.00	0.00	0.00	3.16	0.00	1.38	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
9.00	36.24	3.56	0.00	0.25	4.58	0.67	0.00	0.00	0.00	0.00	0.01	0.00	0.03	0.00	0.06	0.02	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
10.00	36.24	2.04	0.00	0.69	4.69	1.66	0.00	0.00	0.00	0.00	0.00	0.00	0.01	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
11.00	36.24	3.47	0.00	0.45	3.83	1.04	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.04	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
12.00	36.23	3.94	0.00	0.56	3.68	2.15	0.00	0.00	0.01	0.00	0.01	0.00	0.00	0.00	0.01	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
13.00	36.24	2.20	0.00	0.49	2.82	2.03	0.00	0.00	0.01	0.00	0.02	0.00	3.72	0.00	0.02	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
14.00	36.24	0.00	0.00	0.00	0.00	4.26	0.00	0.00	0.00	0.00	4.11	0.00	9.33	0.00	7.39	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.10
15.00	36.24	0.00	0.00	0.00	0.53	5.31	0.00	0.00	0.00	0.00	1.52	0.00	7.68	0.00	8.30	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
16.00	36.24	0.00	0.00	0.00	0.00	6.54	0.00	0.00	0.00	0.00	0.00	0.00	9.21	0.00	7.51	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
17.00	36.24	0.53	0.00	0.00	0.00	5.93	0.00	0.00	0.00	0.00	0.47	0.00	7.98	0.00	5.67	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
18.00	36.24	0.00	0.00	0.00	0.00	8.98	0.00	0.00	0.00	0.00	0.00	0.00	11.12	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
19.00	36.24	4.25	0.00	0.00	3.67	2.29	0.00	0.00	0.17	0.00	0.00	0.00	6.57	0.00	0.36	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
20.00	36.24	4.56	0.00	0.08	4.11	0.37	0.00	0.00	5.55	0.00	0.00	0.00	5.10	0.00	1.62	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
21.00	36.24	5.28	0.00	0.12	5.05	0.57	0.00	0.00	5.78	0.00	0.00	0.00	2.31	0.00	4.20	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
22.00	36.24	6.67	0.00	0.00	5.04	0.70	0.00	0.00	7.33	0.00	0.51	0.00	0.00	0.00	6.94	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
23.00	36.23	6.10	0.00	0.04	1.01	1.08	0.00	0.00	6.54	0.00	1.66	0.00	0.00	0.00	3.13	0.71	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
24.00	36.24	4.51	0.00	1.83	0.00	0.00	0.00	0.00	10.70	0.00	0.38	0.00	0.00	0.00	4.32	1.16	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
25.00	36.24	2.17	0.00	0.11	8.18	0.00	0.00	0.00	9.93	0.00	0.00	0.00	1.77	0.00	1.92	0.02	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
