Waf: Entering directory `/home/synrg-sc1/Desktop/Jiaming/ns-3.29-mesh/build'
Waf: Leaving directory `/home/synrg-sc1/Desktop/Jiaming/ns-3.29-mesh/build'
Build commands will be stored in build/compile_commands.json
'build' finished successfully (4.629s)
CreateVariables () DONE !!!
Creating 25 APs 50.00 m apart.
CreateApNodes () DONE !!!
Creating 0 CLs 20.00 m away from each AP.
CreateClNodes () DONE !!!
CreateNodes () DONE !!!
CreateMeshDevices () DONE !!!
CreateWifiDevices () DONE !!!
CreateCsmaDevices () DONE !!!
CreateDevices () DONE !!!
InstallMeshInternetStack () DONE !!!
InstallWifiInternetStack () DONE !!!
InstallCsmaInternetStack () DONE !!!
InstallInternetStack () DONE !!!
Gateway is connect to AP 0
InstallApplications () DONE !!!
Starting simulation for 40.00 s ...
-------------------------------------------------
Time[s]	ap-0	ap-1	ap-2	ap-3	ap-4	ap-5	ap-6	ap-7	ap-8	ap-9	ap-10	ap-11	ap-12	ap-13	ap-14	ap-15	ap-16	ap-17	ap-18	ap-19	ap-20	ap-21	ap-22	ap-23	ap-24
2.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
3.00	35.08	26.80	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
4.00	41.01	31.47	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
5.00	41.00	31.48	0.00	0.00	17.94	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
6.00	41.01	31.47	0.00	0.00	23.84	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
7.00	41.00	31.47	0.00	6.82	6.74	0.54	7.40	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
8.00	41.01	31.48	0.00	5.24	13.84	0.00	11.75	0.00	0.00	0.00	0.00	7.15	0.00	0.00	0.00	0.00	0.69	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
9.00	41.00	31.47	4.14	5.54	11.76	0.00	7.78	0.00	0.00	0.00	0.00	3.08	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
10.00	41.01	31.47	1.59	9.95	12.61	0.00	3.59	0.00	0.00	0.00	0.00	0.29	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
11.00	41.00	31.48	0.34	9.84	10.06	0.00	1.10	0.00	0.00	0.00	0.00	4.40	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
12.00	41.01	31.47	0.73	9.68	11.70	0.00	1.71	0.00	0.00	0.00	0.00	3.66	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
13.00	41.00	31.47	0.62	8.20	9.82	0.00	1.09	0.00	0.00	0.00	0.00	2.92	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
14.00	41.01	31.48	1.17	7.83	10.37	0.00	1.77	0.00	0.00	0.00	0.00	4.76	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
15.00	41.00	31.47	2.18	2.31	3.63	0.00	6.35	0.00	0.00	0.00	0.00	4.62	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
16.00	41.01	31.47	3.00	2.74	0.00	0.00	10.73	0.00	0.00	0.00	0.00	5.24	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
17.00	41.00	31.47	1.33	3.87	0.00	0.00	3.17	0.00	0.00	0.00	0.00	5.26	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
18.00	41.01	31.48	0.00	4.55	0.00	0.00	0.00	0.00	0.07	0.00	0.00	5.18	0.00	0.00	0.00	0.00	0.71	0.00	0.00	0.00	0.00	0.00	0.28	0.00	0.00
19.00	41.00	31.47	0.00	2.44	5.02	0.00	0.00	0.00	0.00	0.00	0.00	4.47	0.00	0.00	0.00	0.00	0.82	0.00	0.00	0.00	0.00	0.00	0.31	0.00	0.00
20.00	41.01	31.47	0.00	1.73	13.29	0.00	0.00	0.00	0.82	0.00	0.00	2.84	0.00	0.00	0.00	0.00	0.25	0.00	0.00	0.00	0.00	0.00	0.15	0.00	0.00
21.00	41.00	31.48	0.00	0.94	9.65	0.00	0.00	0.00	0.58	0.00	0.00	1.93	0.00	0.00	0.00	0.00	0.12	0.00	0.00	0.00	0.00	0.00	0.09	0.00	0.00
22.00	41.01	31.47	0.00	1.31	12.25	0.00	0.00	0.00	0.81	0.00	0.00	3.13	0.00	0.00	0.00	0.00	0.24	0.00	0.00	0.00	0.00	0.00	0.19	0.00	0.00
23.00	41.00	31.47	1.76	0.84	14.84	0.00	0.00	0.00	0.73	0.00	0.00	2.66	0.00	0.00	0.00	0.00	0.22	0.00	0.00	0.00	0.00	0.00	0.07	0.00	0.00
24.00	41.01	31.48	4.07	0.00	20.83	0.00	0.00	0.00	0.98	0.00	0.00	3.38	0.00	0.00	0.00	0.00	0.53	0.00	0.00	0.00	0.00	0.00	0.06	0.00	0.00
25.00	41.00	31.47	10.19	0.00	7.31	0.00	0.00	0.00	0.38	0.00	0.00	7.61	0.00	0.00	0.00	0.00	0.25	0.00	0.00	0.00	0.00	0.00	1.04	0.00	0.00
26.00	41.01	31.47	16.56	0.00	0.00	0.00	0.00	0.00	0.28	0.00	0.00	12.10	0.00	0.00	0.00	0.00	0.07	0.00	0.00	0.00	0.00	0.00	3.09	0.00	0.00
27.00	41.00	31.48	8.83	8.18	0.00	0.00	0.00	0.00	0.49	0.00	0.00	6.92	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.66	0.00	0.00
28.00	41.01	31.47	9.65	9.88	0.00	0.00	0.00	0.00	1.72	0.00	0.00	8.03	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.16	0.00	0.00
29.00	41.00	31.47	0.01	14.99	12.20	0.00	0.00	0.00	0.00	0.00	0.00	3.02	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
30.00	41.01	31.48	5.79	13.82	15.87	0.00	0.00	0.00	0.00	0.00	0.00	8.31	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
31.00	41.00	31.47	3.01	13.47	15.76	0.00	0.00	0.00	0.00	0.00	0.00	7.12	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
32.00	41.01	31.47	0.97	15.80	17.97	0.00	0.00	0.00	0.00	0.00	0.00	7.52	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
33.00	41.00	31.48	4.27	12.77	14.53	0.00	0.00	0.00	0.00	0.00	0.00	6.22	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
34.00	41.01	31.47	6.27	11.75	13.61	0.00	0.00	0.00	0.19	0.00	0.00	6.02	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
35.00	41.00	31.47	3.39	5.67	14.52	0.00	0.00	0.00	0.02	0.00	0.00	7.42	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
36.00	41.01	31.47	9.75	0.00	24.25	0.00	0.00	0.00	0.08	0.00	0.00	8.57	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
