Waf: Entering directory `/home/synrg-sc1/Desktop/Jiaming/ns-3.29-mesh/build'
Waf: Leaving directory `/home/synrg-sc1/Desktop/Jiaming/ns-3.29-mesh/build'
Build commands will be stored in build/compile_commands.json
'build' finished successfully (5.035s)
CreateVariables () DONE !!!
Creating 10 APs 50.00 m apart.
CreateApNodes () DONE !!!
Creating 0 CLs 20.00 m away from each AP.
CreateClNodes () DONE !!!
CreateNodes () DONE !!!
CreateMeshDevices () DONE !!!
CreateWifiDevices () DONE !!!
CreateCsmaDevices () DONE !!!
CreateDevices () DONE !!!
InstallInternetStack () DONE !!!
Gateway is connect to AP 0
InstallApplications () DONE !!!
Starting simulation for 120.00 s ...
-------------------------------------------------
Time[s]	ap-0	ap-1	ap-2	ap-3	ap-4	ap-5	ap-6	ap-7	ap-8	ap-9
2.00	7.49	7.49	6.59	0.05	0.27	0.00	0.27	1.11	1.32	0.00
3.00	7.50	7.50	6.59	0.94	0.51	0.28	0.05	0.00	1.47	0.00
4.00	7.50	7.50	6.61	0.00	1.46	0.00	0.00	0.49	1.42	0.00
5.00	7.50	7.50	6.59	0.32	0.88	0.44	0.00	1.98	1.13	1.34
6.00	7.50	7.50	6.61	0.00	0.00	1.21	0.07	1.60	2.46	0.01
7.00	7.50	7.50	6.59	0.00	1.19	0.42	0.20	1.11	0.00	0.37
8.00	7.50	7.50	6.61	0.48	3.36	2.03	2.73	1.40	0.00	1.01
9.00	7.50	7.50	6.59	3.45	4.51	4.69	1.05	1.60	0.00	0.00
10.00	7.49	7.49	6.61	5.70	5.39	5.10	0.00	4.80	0.00	0.00
11.00	7.50	7.50	6.59	0.85	1.04	0.62	0.29	0.80	0.00	0.99
12.00	7.50	7.50	6.61	1.38	2.60	4.43	0.00	2.79	0.00	0.00
13.00	7.50	7.50	6.59	0.65	4.39	2.44	0.69	1.37	1.32	0.00
14.00	7.50	7.50	6.61	0.00	2.47	0.65	0.21	0.80	1.52	0.27
15.00	7.50	7.50	6.59	1.98	1.72	0.71	0.12	0.09	0.00	1.88
16.00	7.50	7.50	6.59	0.00	5.41	1.77	0.00	2.59	0.00	0.00
17.00	7.50	7.50	6.61	1.70	3.79	0.71	0.00	4.06	0.00	1.55
18.00	7.50	7.50	6.59	3.23	6.11	0.38	3.74	0.25	0.00	3.99
19.00	7.49	7.49	6.61	3.60	4.26	4.59	0.07	0.00	0.62	1.52
20.00	7.50	7.50	6.59	0.69	3.80	4.07	0.00	0.00	0.15	1.60
21.00	7.50	7.50	6.61	0.49	2.45	3.62	0.00	0.75	1.92	3.32
