Waf: Entering directory `/home/synrg-sc1/Desktop/Jiaming/ns-3.29-mesh/build'
Waf: Leaving directory `/home/synrg-sc1/Desktop/Jiaming/ns-3.29-mesh/build'
Build commands will be stored in build/compile_commands.json
'build' finished successfully (5.050s)
CreateVariables () DONE !!!
Creating 11 APs 50.00 m apart.
CreateApNodes () DONE !!!
Creating 0 CLs 20.00 m away from each AP.
CreateClNodes () DONE !!!
CreateNodes () DONE !!!
CreateMeshDevices () DONE !!!
CreateWifiDevices () DONE !!!
CreateCsmaDevices () DONE !!!
CreateDevices () DONE !!!
InstallInternetStack () DONE !!!
Gateway is connect to AP 0
InstallApplications () DONE !!!
Starting simulation for 120.00 s ...
-------------------------------------------------
Time[s]	ap-0	ap-1	ap-2	ap-3	ap-4	ap-5	ap-6	ap-7	ap-8	ap-9	ap-10
2.00	8.05	8.07	0.39	0.11	0.38	0.00	2.25	0.00	0.00	0.00	0.11
3.00	8.10	8.10	0.28	0.00	0.66	0.00	1.98	0.00	0.00	0.00	0.00
4.00	8.10	8.10	0.02	1.01	2.56	0.09	2.50	1.02	0.00	0.00	0.00
5.00	8.10	8.10	1.25	0.59	0.00	0.06	2.14	0.00	0.00	0.00	0.11
6.00	8.10	8.10	0.24	0.58	2.06	0.42	1.55	1.21	0.00	0.00	0.00
7.00	8.10	8.10	0.11	1.14	0.09	0.57	1.72	1.85	0.00	0.00	0.35
8.00	8.09	8.09	0.00	0.04	0.35	0.71	1.46	1.75	0.00	0.00	0.00
9.00	8.10	8.10	1.26	0.54	0.00	0.66	2.31	0.00	0.00	0.00	1.26
10.00	8.10	8.10	1.22	0.25	2.01	0.14	1.18	0.00	0.00	0.00	0.59
11.00	8.10	8.10	0.87	2.13	0.01	0.81	0.81	0.14	0.00	0.00	0.00
12.00	8.10	8.10	0.24	2.17	2.46	0.85	2.14	0.02	0.00	0.00	0.00
13.00	8.10	8.10	1.50	0.00	0.27	1.38	2.97	0.01	0.00	0.00	0.00
14.00	8.09	8.09	0.12	0.00	1.65	1.15	1.95	0.00	0.00	0.00	0.00
15.00	8.10	8.10	0.60	4.06	1.59	0.82	2.59	0.00	0.00	0.00	0.00
16.00	8.10	8.10	0.89	2.46	0.77	1.27	2.83	0.00	0.00	0.00	0.95
17.00	8.10	8.10	0.37	0.00	0.14	0.72	2.28	0.00	0.00	0.00	1.66
18.00	8.10	8.10	0.01	0.51	0.49	0.67	2.17	0.00	0.00	0.00	1.11
19.00	8.10	8.10	0.00	0.00	0.89	1.51	2.68	0.00	0.00	0.00	1.39
20.00	8.09	8.09	0.00	4.11	0.65	0.59	2.26	0.00	0.00	0.00	1.50
21.00	8.10	8.10	0.02	0.28	0.21	0.86	1.77	0.00	0.00	0.00	0.01
22.00	8.10	8.10	0.00	0.00	1.80	0.47	2.71	0.00	0.00	0.00	0.00
23.00	8.10	8.10	1.15	0.00	0.67	1.70	2.47	0.49	0.00	0.00	0.00
24.00	8.10	8.10	0.05	1.47	0.80	0.86	2.43	0.01	0.00	0.00	0.61
25.00	8.10	8.10	0.05	0.26	1.08	0.41	1.86	0.00	0.00	0.00	0.00
26.00	8.09	8.09	0.00	2.17	0.11	1.14	2.90	1.34	0.00	0.00	0.49
27.00	8.10	8.10	0.00	0.00	0.45	1.86	3.04	0.00	0.00	0.00	0.00
28.00	8.10	8.10	0.00	1.60	2.06	1.26	2.68	0.46	0.00	0.00	0.00
29.00	8.10	8.10	0.00	0.00	1.47	1.84	2.87	0.00	0.00	0.00	0.00
30.00	8.10	8.10	0.00	0.00	1.26	2.21	2.90	0.00	0.00	0.00	0.00
31.00	8.10	8.10	0.00	2.80	0.46	1.67	2.36	0.00	0.00	0.00	0.00
32.00	8.10	8.10	0.00	0.00	0.25	1.65	3.20	0.00	0.00	0.00	1.84
33.00	8.09	8.09	0.00	1.99	0.00	2.14	4.51	0.00	0.00	0.00	0.00
34.00	8.10	8.10	0.00	2.43	0.00	1.93	4.65	0.00	0.00	0.00	1.65
35.00	8.10	8.10	0.00	0.00	0.00	4.56	5.98	0.00	0.00	0.00	0.00
36.00	8.10	8.10	0.28	2.58	2.63	1.61	3.27	0.49	0.00	0.00	0.14
37.00	8.10	8.10	2.03	3.80	1.15	1.88	4.15	0.00	0.00	0.00	0.00
38.00	8.10	8.10	0.78	1.44	0.94	0.68	3.18	0.49	0.00	0.00	0.54
39.00	8.09	8.09	0.80	2.00	0.51	1.14	1.53	1.79	0.00	0.00	0.00
40.00	8.10	8.10	0.99	7.27	0.00	2.58	3.96	1.28	0.00	0.00	0.49
41.00	8.10	8.10	0.00	7.17	1.07	3.16	3.87	0.00	0.00	0.00	0.64
42.00	8.10	8.10	0.00	1.71	0.00	4.13	4.90	0.00	0.00	0.00	1.46
43.00	8.10	8.10	0.00	0.00	0.00	4.75	5.99	0.00	0.00	0.00	0.00
44.00	8.10	8.10	0.00	0.00	0.00	4.75	6.02	0.00	0.00	0.00	0.00
45.00	8.09	8.09	0.00	6.81	0.00	4.22	4.16	0.00	0.00	0.00	0.65
46.00	8.10	8.10	0.00	4.69	0.00	4.35	0.58	0.00	0.00	0.00	0.54
47.00	8.10	8.10	0.00	1.98	1.83	1.70	0.41	0.00	0.00	0.00	0.00
48.00	8.10	8.10	0.00	0.88	1.61	2.08	0.38	0.00	0.02	0.00	1.50
49.00	8.10	8.10	0.98	0.00	1.51	1.65	2.03	0.49	0.00	0.00	0.45
50.00	8.10	8.10	0.79	0.00	2.32	1.35	1.95	0.00	0.00	0.00	1.95
51.00	8.09	8.09	0.69	2.71	0.00	0.69	3.51	0.00	0.00	0.00	0.00
52.00	8.10	8.10	1.79	0.00	2.53	2.26	2.48	0.00	0.00	0.00	2.40
53.00	8.10	8.10	0.82	3.47	4.36	1.30	2.64	1.22	0.00	0.00	0.37
54.00	8.10	8.10	2.34	2.10	0.88	1.45	0.14	0.00	0.00	0.00	1.60
55.00	8.10	8.10	0.45	3.66	0.00	2.37	2.48	2.31	0.00	0.00	1.04
56.00	8.10	8.10	0.60	0.47	0.94	0.71	2.65	0.00	0.00	0.00	0.00
57.00	8.10	8.10	0.00	5.29	0.02	4.19	3.50	1.90	0.00	0.00	0.00
58.00	8.09	8.09	0.00	3.51	0.00	2.51	3.97	0.00	0.00	0.00	1.14
59.00	8.10	8.10	0.00	5.06	0.32	0.80	3.20	0.00	0.00	0.00	0.09
60.00	8.10	8.10	0.08	0.00	1.11	0.00	2.80	0.99	0.00	0.00	0.00
61.00	8.10	8.10	1.81	0.00	2.66	1.15	1.71	0.00	0.00	0.00	1.06
62.00	8.10	8.10	0.91	2.73	3.19	0.28	2.23	2.65	0.00	0.00	1.45
63.00	8.10	8.10	0.65	1.24	4.69	2.44	2.54	2.94	0.00	0.00	1.75
64.00	8.09	8.09	7.80	7.20	6.90	6.30	5.99	5.41	0.00	0.00	0.00
65.00	8.10	8.10	0.16	7.21	6.90	6.31	6.01	5.39	0.00	0.00	4.36
66.00	8.10	8.10	0.00	7.20	6.90	6.30	6.01	5.41	0.00	0.00	4.50
67.00	8.10	8.10	0.00	7.21	6.90	6.29	5.99	5.39	0.00	0.00	4.50
68.00	8.10	8.10	0.00	7.20	6.90	6.31	6.01	5.41	0.00	0.00	4.50
69.00	8.10	8.10	0.00	7.21	6.90	6.29	5.99	5.39	0.00	0.00	4.50
70.00	8.09	8.09	0.00	7.20	6.90	6.30	6.01	5.41	0.00	0.00	4.51
71.00	8.10	8.10	0.00	7.20	6.90	6.30	5.99	5.41	0.00	0.00	4.50
72.00	8.10	8.10	0.00	7.21	6.90	6.30	6.01	5.39	0.00	0.00	4.50
73.00	8.10	8.10	7.45	7.20	6.90	6.30	5.99	5.41	0.00	0.00	4.50
74.00	8.10	8.10	7.81	7.21	6.89	6.30	6.01	5.39	0.00	0.00	4.37
75.00	8.10	8.10	7.80	7.20	6.91	6.30	5.99	5.41	0.00	0.00	4.50
76.00	8.09	8.09	7.81	7.20	6.90	6.30	6.01	5.39	0.00	0.00	4.50
77.00	8.10	8.10	7.80	7.21	6.90	6.30	5.99	5.41	0.00	0.00	4.50
78.00	8.10	8.10	7.80	7.20	6.89	6.30	6.01	5.41	0.00	0.00	4.50
79.00	8.10	8.10	7.81	7.20	6.91	6.29	5.98	5.39	0.00	0.00	4.51
80.00	8.10	8.10	7.80	7.20	6.90	6.31	6.02	5.41	0.00	0.00	4.50
81.00	8.10	8.10	7.80	7.21	6.89	6.30	5.99	5.39	0.00	0.00	4.50
82.00	8.10	8.10	7.81	7.21	6.90	6.30	5.99	5.41	0.00	0.00	4.50
83.00	8.09	8.09	2.80	0.13	3.89	3.53	6.15	0.04	0.00	0.00	1.42
84.00	8.10	8.10	7.81	0.00	5.09	6.30	6.01	0.00	0.00	0.00	0.00
85.00	8.10	8.10	7.80	0.00	6.90	6.30	5.99	0.00	0.00	0.00	0.00
86.00	8.10	8.10	7.80	0.00	6.90	6.30	6.01	0.00	0.00	0.00	0.00
87.00	8.10	8.10	7.81	0.00	6.90	6.30	5.99	0.00	0.00	0.00	0.00
88.00	8.10	8.10	7.80	0.00	6.90	6.30	6.01	0.00	0.00	0.00	0.00
89.00	8.09	8.09	7.80	0.00	6.90	6.30	5.99	0.00	0.00	0.00	0.00
90.00	8.10	8.10	7.81	0.00	6.90	6.30	6.01	0.00	0.00	0.00	0.00
91.00	8.10	8.10	7.80	0.00	6.90	6.30	5.99	0.49	0.00	0.00	0.00
92.00	8.10	8.10	7.81	0.00	6.90	6.30	6.01	0.00	0.00	0.00	0.00
93.00	8.10	8.10	7.80	0.00	6.90	6.30	5.99	0.00	0.00	0.00	0.00
94.00	8.10	8.10	7.80	0.00	6.90	6.30	6.01	0.00	0.00	0.00	0.00
95.00	8.09	8.09	7.81	0.00	6.89	6.30	5.99	0.00	0.00	0.00	0.00
96.00	8.10	8.10	7.80	0.00	6.91	6.30	6.01	0.00	0.00	0.00	0.00
97.00	8.10	8.10	7.80	0.00	6.89	6.30	5.99	0.00	0.00	0.00	0.00
98.00	8.10	8.10	7.81	0.00	6.90	6.30	6.01	0.00	0.00	0.00	0.00
99.00	8.10	8.10	7.80	0.00	6.90	6.30	6.01	0.00	0.00	0.00	0.00
100.00	8.10	8.10	7.80	0.00	6.90	6.30	5.99	0.00	0.01	0.00	0.02
101.00	8.09	8.09	0.42	0.00	3.42	2.07	2.60	0.00	0.02	0.08	0.77
102.00	8.10	8.10	0.18	0.00	1.97	0.49	1.94	0.13	0.00	0.00	0.00
103.00	8.10	8.10	1.45	0.00	1.60	3.57	4.75	0.00	0.00	0.00	0.00
104.00	8.10	8.10	4.51	4.51	0.54	5.48	4.58	0.00	0.00	0.00	0.00
105.00	8.10	8.10	7.80	7.20	0.99	6.30	6.01	0.00	0.00	0.00	0.00
106.00	8.10	8.10	7.80	7.20	6.71	6.30	5.99	0.00	0.00	0.00	0.00
