Waf: Entering directory `/home/synrg-sc1/Desktop/Jiaming/ns-3.29-mesh/build'
Waf: Leaving directory `/home/synrg-sc1/Desktop/Jiaming/ns-3.29-mesh/build'
Build commands will be stored in build/compile_commands.json
'build' finished successfully (5.065s)
CreateVariables () DONE !!!
Creating 12 APs 50.00 m apart.
CreateApNodes () DONE !!!
Creating 0 CLs 20.00 m away from each AP.
CreateClNodes () DONE !!!
CreateNodes () DONE !!!
CreateMeshDevices () DONE !!!
CreateWifiDevices () DONE !!!
CreateCsmaDevices () DONE !!!
CreateDevices () DONE !!!
InstallInternetStack () DONE !!!
Gateway is connect to AP 0
InstallApplications () DONE !!!
Starting simulation for 120.00 s ...
-------------------------------------------------
Time[s]	ap-0	ap-1	ap-2	ap-3	ap-4	ap-5	ap-6	ap-7	ap-8	ap-9	ap-10	ap-11
2.00	9.59	8.09	1.25	0.00	1.77	0.00	0.00	0.00	0.24	0.00	0.00	0.00
3.00	9.60	8.10	1.35	0.00	0.16	0.00	0.00	0.00	0.40	0.01	0.00	0.00
4.00	9.60	8.10	0.55	0.00	0.48	0.00	0.00	0.00	0.54	0.00	0.00	0.00
5.00	9.60	8.10	0.68	0.00	0.09	0.00	0.00	0.00	0.00	0.00	0.00	0.16
6.00	9.61	8.10	1.45	0.00	0.15	0.00	0.00	0.02	0.00	0.00	0.00	0.12
7.00	9.60	8.10	0.75	0.00	3.98	0.00	0.00	0.29	0.00	0.00	0.00	0.92
8.00	9.60	8.09	3.40	0.00	0.86	0.00	0.00	0.00	0.00	0.00	0.00	0.00
9.00	9.60	8.10	0.59	0.00	1.04	0.00	0.00	0.00	0.77	0.00	0.00	0.01
10.00	9.60	8.10	1.73	0.00	0.89	0.00	0.00	0.00	0.89	0.00	0.00	0.00
11.00	9.61	8.10	0.99	0.00	2.93	0.00	0.00	0.00	0.29	0.00	0.00	0.00
12.00	9.60	8.10	1.74	0.00	0.47	0.00	0.00	0.00	0.15	0.00	0.00	0.07
13.00	9.60	8.10	1.87	0.00	1.79	0.00	0.00	0.00	0.26	0.00	0.00	0.54
14.00	9.60	8.09	4.45	0.00	0.75	0.00	0.00	0.00	0.37	0.00	0.00	0.48
15.00	9.61	8.10	0.51	0.00	0.71	0.00	0.00	0.06	0.34	0.00	0.00	0.09
16.00	9.60	8.10	2.91	0.00	3.11	0.00	0.00	0.00	0.00	0.00	0.00	0.00
17.00	9.60	8.10	1.08	0.00	2.43	0.00	0.00	0.00	0.40	0.00	0.00	0.00
18.00	9.60	8.10	2.24	0.00	0.35	0.00	0.00	0.04	0.00	0.01	0.00	0.60
19.00	9.60	8.10	3.65	0.00	2.14	0.00	0.00	0.00	0.57	0.00	0.00	0.00
20.00	9.61	8.09	0.02	0.00	2.31	0.00	0.00	0.00	1.93	0.00	0.00	1.67
21.00	9.60	8.10	3.89	0.00	3.06	0.00	0.00	0.00	1.22	0.00	0.00	0.49
