Waf: Entering directory `/home/synrg-sc1/Desktop/Jiaming/ns-3.29-mesh/build'
Waf: Leaving directory `/home/synrg-sc1/Desktop/Jiaming/ns-3.29-mesh/build'
Build commands will be stored in build/compile_commands.json
'build' finished successfully (5.079s)
CreateVariables () DONE !!!
Creating 13 APs 50.00 m apart.
CreateApNodes () DONE !!!
Creating 0 CLs 20.00 m away from each AP.
CreateClNodes () DONE !!!
CreateNodes () DONE !!!
CreateMeshDevices () DONE !!!
CreateWifiDevices () DONE !!!
CreateCsmaDevices () DONE !!!
CreateDevices () DONE !!!
InstallInternetStack () DONE !!!
Gateway is connect to AP 0
InstallApplications () DONE !!!
Starting simulation for 120.00 s ...
-------------------------------------------------
Time[s]	ap-0	ap-1	ap-2	ap-3	ap-4	ap-5	ap-6	ap-7	ap-8	ap-9	ap-10	ap-11	ap-12
2.00	9.54	6.85	0.00	0.00	0.00	0.00	0.00	0.52	1.60	0.00	0.52	0.00	0.00
3.00	9.60	6.90	0.00	0.00	0.00	0.00	0.00	0.55	0.75	0.00	0.22	0.07	0.59
4.00	9.60	6.90	0.00	0.00	0.05	0.00	0.99	0.89	0.97	0.04	0.20	0.00	0.55
5.00	9.60	6.90	0.00	0.31	0.00	0.00	0.00	0.61	0.26	0.02	0.00	0.01	0.78
6.00	9.61	6.90	0.00	0.33	0.62	0.19	0.49	0.19	0.47	0.01	0.02	0.02	0.46
7.00	9.60	6.90	0.00	0.00	0.49	0.18	0.00	0.95	0.45	0.00	0.09	0.02	1.13
8.00	9.60	6.90	0.00	0.00	0.00	0.58	0.00	0.68	0.19	0.00	0.00	0.00	0.57
9.00	9.60	6.90	0.00	0.00	0.44	0.12	2.39	0.53	1.64	0.00	0.00	0.00	0.00
10.00	9.60	6.90	0.00	0.00	0.62	0.00	0.00	1.30	1.30	0.00	0.45	0.00	0.00
11.00	9.61	6.90	0.00	0.00	0.40	0.00	0.00	1.20	0.00	0.00	0.37	0.00	0.45
12.00	9.60	6.90	0.00	0.00	0.78	0.26	0.00	0.91	0.00	0.01	0.20	0.09	1.24
13.00	9.60	6.90	0.00	0.06	0.80	0.35	2.20	0.24	0.68	0.00	0.15	0.00	0.61
14.00	9.60	6.90	0.00	0.15	0.52	0.65	0.00	1.34	1.18	0.00	0.00	0.00	0.00
15.00	9.61	6.90	0.00	0.00	0.87	0.14	1.34	0.06	0.97	0.14	0.00	0.00	0.37
16.00	9.60	6.90	0.00	0.00	0.49	0.52	0.00	0.01	1.18	0.07	0.04	0.00	0.60
17.00	9.60	6.89	0.00	0.00	0.71	0.37	0.00	1.39	0.00	0.14	0.24	0.32	0.45
18.00	9.60	6.90	0.00	0.00	0.29	0.33	0.00	0.00	1.57	0.01	0.31	0.00	0.77
19.00	9.60	6.90	0.00	0.00	0.52	0.45	0.01	1.04	4.46	0.02	0.00	0.00	2.11
20.00	9.61	6.90	0.00	0.00	0.00	0.00	0.99	0.00	0.74	0.02	0.00	0.06	1.80
21.00	9.60	6.90	0.00	0.00	0.24	0.51	0.46	1.28	0.00	0.07	0.02	0.00	1.34
22.00	9.60	6.90	0.00	0.00	0.52	0.11	0.08	1.41	0.31	0.01	0.59	0.00	1.26
23.00	9.60	6.90	0.00	0.00	0.00	0.54	1.53	0.00	0.94	0.07	0.52	0.00	1.15
24.00	9.61	6.90	0.00	0.00	0.00	0.02	2.57	0.00	0.40	0.02	0.38	0.00	0.75
25.00	9.60	6.90	0.00	0.00	0.00	0.59	0.51	1.58	0.47	0.00	0.00	0.02	1.04
26.00	9.60	6.90	0.00	0.00	0.00	0.52	0.04	0.13	0.67	0.00	0.38	0.00	1.27
27.00	9.60	6.90	0.00	0.00	0.22	0.28	0.00	0.01	0.61	0.01	0.24	0.00	0.61
28.00	9.60	6.90	0.00	0.00	0.57	0.35	0.06	0.00	0.31	0.02	0.02	0.00	0.85
29.00	9.61	6.90	0.00	0.00	0.05	0.46	3.12	0.00	0.59	0.09	0.26	0.00	0.31
30.00	9.60	6.90	0.00	0.00	0.00	0.55	0.12	0.02	0.39	0.00	0.28	0.00	0.00
31.00	9.60	6.90	0.00	0.00	0.25	0.39	0.68	0.67	0.00	0.26	0.38	0.00	1.18
32.00	9.60	6.90	0.00	0.00	0.87	0.14	0.00	0.00	0.00	0.01	0.05	0.00	0.58
33.00	9.60	6.90	0.00	0.00	0.71	0.29	0.00	0.00	0.00	0.01	0.00	0.02	2.50
34.00	9.61	6.89	0.00	0.00	0.87	0.24	1.18	0.00	0.07	0.00	0.00	0.00	0.85
35.00	9.60	6.90	0.00	0.00	1.54	0.00	0.00	1.01	0.00	0.02	0.20	0.01	1.47
36.00	9.60	6.90	0.00	0.00	0.54	0.12	1.13	0.29	0.27	0.01	0.12	0.02	0.78
37.00	9.60	6.90	0.00	0.28	0.00	0.42	1.12	0.06	0.99	0.00	0.00	0.02	1.20
38.00	9.61	6.90	0.00	0.87	0.55	0.68	0.25	0.04	0.00	0.01	0.00	0.02	0.85
39.00	9.60	6.90	0.00	0.54	1.41	0.35	2.17	2.05	0.00	0.04	0.00	0.00	1.50
40.00	9.60	6.90	0.00	0.09	0.00	0.46	0.00	0.00	0.13	0.01	0.11	0.00	1.31
41.00	9.60	6.90	0.00	0.19	0.12	0.11	2.16	0.58	1.01	0.01	0.05	0.00	1.02
42.00	9.60	6.90	0.00	0.79	2.44	0.00	0.00	1.67	2.03	0.01	0.00	0.00	1.12
43.00	9.61	6.90	0.00	0.38	0.33	0.00	0.88	0.25	0.16	0.28	0.00	0.00	1.26
44.00	9.60	6.90	0.00	0.44	0.00	0.51	1.48	1.74	0.00	0.24	0.00	0.00	1.11
45.00	9.60	6.90	0.00	0.34	1.07	0.54	0.00	0.05	0.48	0.00	0.00	0.00	0.01
46.00	9.60	6.90	0.00	0.64	1.58	0.45	0.00	0.00	1.66	0.01	0.00	0.00	0.53
47.00	9.61	6.90	0.00	0.19	0.00	0.61	0.00	1.60	1.40	0.05	0.00	0.00	1.19
48.00	9.60	6.90	0.00	0.47	0.00	0.78	0.27	0.49	0.28	0.00	0.00	0.00	0.00
49.00	9.60	6.90	0.00	0.00	0.89	0.14	1.05	1.05	0.07	0.00	0.00	0.00	0.00
50.00	9.60	6.89	0.00	0.00	0.07	0.25	0.00	0.00	1.30	0.24	0.00	0.06	1.19
51.00	9.60	6.90	0.00	0.00	0.00	0.21	1.06	0.19	0.00	0.00	0.44	0.00	0.05
52.00	9.61	6.90	0.00	0.00	0.99	0.34	0.01	0.00	0.57	0.00	0.54	0.00	0.41
53.00	9.60	6.90	0.00	0.35	1.12	0.78	0.00	0.99	0.82	0.00	0.19	0.02	0.04
54.00	9.60	6.90	0.00	1.22	0.00	0.73	0.00	0.05	0.00	0.39	0.20	0.14	1.02
55.00	9.60	6.90	0.00	0.88	0.99	0.64	0.49	1.63	0.24	0.00	0.46	0.00	0.42
56.00	9.60	6.90	0.00	0.48	0.45	0.68	0.91	0.00	0.00	0.00	0.45	0.00	0.60
57.00	9.61	6.90	0.00	0.81	0.67	0.21	0.00	0.00	0.00	0.00	0.19	0.00	0.00
58.00	9.60	6.90	0.00	1.99	0.66	0.28	0.07	0.00	0.00	0.00	0.05	0.00	0.00
59.00	9.60	6.90	0.00	0.99	1.28	0.00	2.78	0.84	1.52	0.00	0.00	0.00	0.00
60.00	9.60	6.90	0.00	2.57	0.00	0.09	0.06	0.87	2.34	0.47	0.00	0.00	1.58
61.00	9.61	6.90	0.00	0.49	1.13	0.48	0.99	1.60	0.48	0.24	1.12	1.00	2.20
62.00	9.60	6.90	0.00	1.34	0.46	0.71	3.69	0.00	2.20	0.00	1.13	0.40	1.30
