Waf: Entering directory `/home/synrg-sc1/Desktop/Jiaming/ns-3.29-mesh/build'
Waf: Leaving directory `/home/synrg-sc1/Desktop/Jiaming/ns-3.29-mesh/build'
Build commands will be stored in build/compile_commands.json
'build' finished successfully (5.019s)
CreateVariables () DONE !!!
Creating 14 APs 50.00 m apart.
CreateApNodes () DONE !!!
Creating 0 CLs 20.00 m away from each AP.
CreateClNodes () DONE !!!
CreateNodes () DONE !!!
CreateMeshDevices () DONE !!!
CreateWifiDevices () DONE !!!
CreateCsmaDevices () DONE !!!
CreateDevices () DONE !!!
InstallInternetStack () DONE !!!
Gateway is connect to AP 0
InstallApplications () DONE !!!
Starting simulation for 120.00 s ...
-------------------------------------------------
Time[s]	ap-0	ap-1	ap-2	ap-3	ap-4	ap-5	ap-6	ap-7	ap-8	ap-9	ap-10	ap-11	ap-12	ap-13
2.00	9.53	7.49	0.00	0.00	0.00	0.00	0.00	0.71	0.71	0.00	1.27	0.94	0.00	1.55
3.00	9.60	7.50	0.00	1.22	0.26	0.00	0.00	0.78	0.00	0.00	1.21	0.16	0.00	2.77
4.00	9.60	7.50	0.00	0.00	1.41	0.09	0.60	0.00	0.20	0.00	0.16	2.45	0.00	0.00
5.00	9.60	7.50	0.00	0.00	1.64	0.00	0.01	0.00	0.09	0.00	1.92	0.00	0.49	0.00
6.00	9.61	7.50	0.49	0.62	1.21	0.00	0.00	0.49	0.33	0.00	0.11	0.24	0.00	0.32
7.00	9.60	7.50	0.33	0.01	1.97	0.11	0.06	0.09	1.48	0.00	1.67	0.12	1.19	0.67
8.00	9.60	7.50	0.00	0.00	0.00	0.00	2.47	0.00	1.34	0.00	1.45	1.51	1.63	1.02
9.00	9.60	7.50	0.00	0.00	0.00	0.40	1.78	0.00	0.20	0.00	1.19	3.38	0.59	0.99
10.00	9.60	7.49	0.22	1.52	1.35	0.00	0.19	0.00	0.29	0.00	2.17	2.98	0.80	1.31
11.00	9.61	7.50	1.02	1.02	0.00	0.02	0.07	0.00	1.25	0.00	0.00	0.39	0.00	0.00
12.00	9.60	7.50	0.49	0.15	1.21	0.00	0.05	1.30	2.89	0.00	4.11	1.65	0.00	0.40
13.00	9.60	7.50	0.14	0.00	1.78	0.00	0.00	0.00	0.00	0.00	0.00	1.88	0.00	0.49
14.00	9.60	7.50	0.00	0.51	0.00	0.11	1.07	0.99	0.00	0.00	1.52	1.33	0.29	0.09
15.00	9.61	7.50	0.00	0.18	0.61	0.38	0.40	1.30	0.49	0.00	0.31	5.02	0.71	0.32
16.00	9.60	7.50	2.99	0.34	0.00	0.00	2.51	0.00	2.13	0.00	0.72	4.11	0.00	1.54
17.00	9.60	7.50	0.16	0.07	0.00	0.21	1.08	0.00	0.00	0.00	0.75	1.32	1.48	0.00
