Waf: Entering directory `/home/synrg-sc1/Desktop/Jiaming/ns-3.29-mesh/build'
Waf: Leaving directory `/home/synrg-sc1/Desktop/Jiaming/ns-3.29-mesh/build'
Build commands will be stored in build/compile_commands.json
'build' finished successfully (5.024s)
CreateVariables () DONE !!!
Creating 15 APs 50.00 m apart.
CreateApNodes () DONE !!!
Creating 0 CLs 20.00 m away from each AP.
CreateClNodes () DONE !!!
CreateNodes () DONE !!!
CreateMeshDevices () DONE !!!
CreateWifiDevices () DONE !!!
CreateCsmaDevices () DONE !!!
CreateDevices () DONE !!!
InstallInternetStack () DONE !!!
Gateway is connect to AP 0
InstallApplications () DONE !!!
Starting simulation for 120.00 s ...
-------------------------------------------------
Time[s]	ap-0	ap-1	ap-2	ap-3	ap-4	ap-5	ap-6	ap-7	ap-8	ap-9	ap-10	ap-11	ap-12	ap-13	ap-14
2.00	9.59	0.00	0.00	0.12	1.40	0.15	0.00	0.00	0.00	0.00	0.91	1.44	0.00	0.00	0.54
3.00	9.60	0.00	0.00	0.00	0.05	0.15	0.00	0.00	0.31	0.00	0.33	0.52	0.31	0.00	1.63
4.00	9.60	0.00	0.00	0.00	0.06	0.33	0.00	0.00	0.33	0.00	0.37	0.65	0.35	0.00	1.37
5.00	9.60	0.00	0.00	0.46	2.33	0.00	0.00	0.00	0.94	0.00	0.53	0.42	0.14	0.00	1.48
6.00	9.61	0.33	0.00	0.00	0.00	0.25	0.00	0.00	0.34	0.00	0.14	0.59	0.35	0.00	0.91
7.00	9.60	0.34	1.11	0.00	0.00	0.07	0.00	0.00	0.32	0.00	0.00	0.14	0.54	0.00	1.05
8.00	9.60	0.00	0.07	0.00	2.16	0.26	0.00	0.00	0.45	0.00	0.00	0.02	0.00	0.00	1.17
9.00	9.60	0.00	0.00	0.00	1.20	0.32	0.00	0.00	0.13	0.00	0.81	0.00	0.06	0.00	1.81
10.00	9.60	0.51	0.12	0.00	1.48	0.00	0.00	0.00	0.00	0.00	1.01	0.14	0.00	0.00	0.00
11.00	9.61	0.47	0.53	0.00	1.93	0.00	0.00	0.00	2.38	0.00	0.00	0.62	0.00	0.00	1.05
12.00	9.60	0.00	0.35	0.22	2.44	0.08	0.00	0.00	0.00	0.00	0.00	2.44	0.00	0.00	1.66
13.00	9.60	0.31	0.97	0.00	0.02	0.08	0.00	0.00	0.00	0.00	0.00	1.06	0.00	0.00	0.79
14.00	9.60	0.59	2.18	0.00	0.61	0.21	0.00	0.00	0.00	0.00	0.00	1.58	0.00	0.00	1.18
15.00	9.61	0.26	0.00	0.33	1.60	0.00	0.00	0.00	1.28	0.00	0.34	1.06	0.00	0.00	1.53
