Waf: Entering directory `/home/synrg-sc1/Desktop/Jiaming/ns-3.29-mesh/build'
Waf: Leaving directory `/home/synrg-sc1/Desktop/Jiaming/ns-3.29-mesh/build'
Build commands will be stored in build/compile_commands.json
'build' finished successfully (5.339s)
CreateVariables () DONE !!!
Creating 16 APs 50.00 m apart.
CreateApNodes () DONE !!!
Creating 0 CLs 20.00 m away from each AP.
CreateClNodes () DONE !!!
CreateNodes () DONE !!!
CreateMeshDevices () DONE !!!
CreateWifiDevices () DONE !!!
CreateCsmaDevices () DONE !!!
CreateDevices () DONE !!!
InstallInternetStack () DONE !!!
Gateway is connect to AP 0
InstallApplications () DONE !!!
Starting simulation for 120.00 s ...
-------------------------------------------------
Time[s]	ap-0	ap-1	ap-2	ap-3	ap-4	ap-5	ap-6	ap-7	ap-8	ap-9	ap-10	ap-11	ap-12	ap-13	ap-14	ap-15
2.00	9.22	7.49	0.00	0.26	0.00	0.00	0.80	0.00	2.68	0.00	0.00	0.52	0.00	1.02	0.31	0.00
3.00	9.30	7.50	0.00	0.99	0.00	0.00	0.04	0.00	0.65	0.00	0.00	1.08	0.00	2.40	0.00	0.11
4.00	9.30	7.50	0.00	0.00	0.00	0.00	1.19	0.00	0.00	0.49	0.41	0.99	0.00	0.07	0.00	1.83
5.00	9.29	7.50	0.00	0.00	0.00	0.00	1.18	0.00	1.52	0.41	0.32	0.53	0.00	0.12	0.00	1.44
6.00	9.30	7.50	0.00	1.52	0.01	0.00	0.20	0.00	0.00	0.18	0.21	0.78	0.00	0.04	0.07	0.89
7.00	9.30	7.50	0.00	0.00	0.00	0.00	1.02	0.00	0.00	0.00	1.42	0.80	0.00	0.91	0.00	0.98
8.00	9.30	7.50	0.00	0.00	0.00	0.00	2.20	0.00	0.09	0.60	0.00	0.52	0.00	0.94	0.00	1.64
9.00	9.29	7.50	0.12	0.22	0.00	0.00	0.00	0.00	1.20	0.48	0.00	0.49	0.00	0.64	0.00	1.93
10.00	9.30	7.49	0.00	0.00	0.00	0.00	0.00	0.41	0.28	0.02	2.79	0.45	0.48	1.19	0.00	1.42
11.00	9.30	7.50	0.12	0.51	0.00	0.00	0.64	0.60	0.87	0.00	1.33	0.19	0.02	1.13	0.00	2.31
12.00	9.30	7.50	0.16	0.49	0.00	0.00	0.05	0.87	1.90	0.00	0.00	0.35	0.02	0.59	0.00	0.00
13.00	9.29	7.50	0.00	2.05	0.00	0.00	0.00	0.38	0.00	0.00	0.00	0.58	0.24	0.85	0.00	0.49
14.00	9.30	7.50	0.00	2.33	0.00	0.00	0.33	0.31	0.49	0.13	0.00	0.28	0.38	0.78	0.00	0.49
15.00	9.30	7.50	0.00	0.99	0.00	0.00	0.28	0.00	0.01	0.09	0.00	0.28	0.26	0.97	0.00	1.42
16.00	9.30	7.50	0.00	0.16	0.00	0.00	0.00	1.10	0.00	0.00	0.00	0.42	0.00	0.54	0.26	0.00
17.00	9.29	7.50	0.06	0.82	0.00	0.00	0.15	0.14	0.92	0.00	0.00	0.28	0.00	0.71	0.00	0.00
18.00	9.30	7.50	0.00	2.59	0.00	0.00	0.08	0.02	0.75	0.14	0.00	0.16	0.00	0.42	0.00	0.28
19.00	9.30	7.49	0.00	0.00	0.00	0.00	0.35	0.22	1.17	0.00	0.49	0.32	0.00	1.60	0.00	0.13
20.00	9.30	7.50	0.00	2.12	0.00	0.00	0.00	1.14	0.01	0.00	2.12	0.39	0.07	0.99	0.09	1.72
21.00	9.29	7.50	0.00	1.48	0.00	0.00	0.00	0.81	0.11	0.07	1.48	0.52	0.01	1.06	0.42	0.00
22.00	9.30	7.50	0.00	2.66	0.00	0.00	0.00	0.00	0.00	0.47	1.52	0.62	0.00	1.06	0.00	0.00
23.00	9.30	7.50	0.00	0.00	0.00	0.00	1.53	1.19	0.00	0.05	2.23	1.10	0.00	1.32	0.00	1.30
24.00	9.30	7.50	0.00	0.00	0.04	0.00	0.00	1.06	0.00	0.05	0.59	0.98	0.00	1.39	0.09	0.00
25.00	9.29	7.50	0.00	0.00	0.00	0.00	0.00	0.00	1.53	0.13	0.29	1.07	0.00	0.61	0.81	0.99
26.00	9.30	7.50	0.00	1.01	0.00	0.00	1.40	1.94	0.00	0.00	1.52	1.06	0.00	0.00	0.19	0.14
27.00	9.30	7.50	0.09	2.00	0.00	0.00	1.59	0.00	3.40	0.72	2.52	0.87	0.00	0.18	0.00	1.81
28.00	9.30	7.49	0.00	1.42	0.00	0.00	0.00	1.66	0.00	0.22	0.00	0.62	0.00	1.48	0.00	0.35
29.00	9.29	7.50	0.00	0.49	0.00	0.00	0.00	1.17	0.00	0.38	0.00	0.58	0.00	1.25	0.00	1.75
30.00	9.30	7.50	0.00	0.00	0.00	0.00	0.00	1.11	0.02	0.12	1.35	0.92	0.00	1.27	0.00	1.46
31.00	9.30	7.50	0.00	0.05	0.00	0.00	0.00	1.13	0.00	0.24	1.04	1.77	0.00	1.80	0.00	0.00
32.00	9.30	7.50	0.00	0.45	0.00	0.00	0.00	1.65	0.00	0.14	2.00	0.40	0.00	1.24	0.00	0.49
33.00	9.29	7.50	0.00	0.00	0.00	0.00	0.00	1.50	0.02	0.00	2.19	0.42	0.00	1.79	0.00	0.65
34.00	9.30	7.50	0.00	1.72	0.00	0.00	1.63	0.00	1.05	1.07	0.33	1.01	0.00	1.04	0.37	0.49
35.00	9.30	7.50	0.00	0.87	0.00	0.00	0.00	0.00	0.02	0.00	1.18	0.52	0.00	1.28	1.41	0.00
36.00	9.29	7.50	0.00	0.00	0.00	0.00	0.00	1.26	0.00	0.00	0.75	0.79	0.00	1.20	0.49	2.89
37.00	9.30	7.49	0.00	1.80	0.00	0.49	1.91	0.00	0.00	0.00	0.00	1.51	0.00	1.34	0.49	0.00
38.00	9.30	7.50	0.00	1.63	0.00	0.00	0.00	2.44	0.49	0.99	1.97	0.26	0.14	1.48	0.98	1.51
39.00	9.30	7.50	0.00	0.00	0.00	0.00	0.00	1.31	0.00	0.41	3.62	0.84	0.75	0.89	0.00	0.49
40.00	9.29	7.50	0.00	0.85	0.00	0.00	2.16	1.19	0.00	0.00	3.09	0.99	0.49	2.21	0.09	0.49
41.00	9.30	7.50	0.00	1.18	0.00	1.20	0.79	0.28	0.21	0.00	2.87	1.15	0.33	0.00	1.27	0.00
42.00	9.30	7.50	0.00	0.00	0.00	0.00	0.20	1.45	2.47	0.20	1.42	1.39	0.05	2.98	1.19	2.91
43.00	9.30	7.50	0.00	0.12	0.00	0.00	2.84	1.22	1.75	0.99	0.71	2.03	0.29	2.48	0.71	1.86
44.00	9.29	7.50	0.00	2.84	0.01	0.00	2.50	0.49	1.48	4.05	0.69	1.39	0.64	1.27	0.33	2.13
45.00	9.30	7.50	0.00	1.77	0.00	0.00	1.86	0.00	0.00	0.00	1.99	1.13	0.24	0.49	1.55	0.75
46.00	9.30	7.49	0.00	0.52	0.00	0.00	0.26	0.51	1.34	0.00	1.18	1.08	0.41	0.00	0.87	0.00
47.00	9.30	7.50	0.09	0.27	0.48	0.00	5.20	1.34	0.38	1.64	0.00	4.15	0.00	0.00	2.03	2.06
