Waf: Entering directory `/home/synrg-sc1/Desktop/Jiaming/ns-3.29-mesh/build'
Waf: Leaving directory `/home/synrg-sc1/Desktop/Jiaming/ns-3.29-mesh/build'
Build commands will be stored in build/compile_commands.json
'build' finished successfully (5.266s)
CreateVariables () DONE !!!
Creating 17 APs 50.00 m apart.
CreateApNodes () DONE !!!
Creating 0 CLs 20.00 m away from each AP.
CreateClNodes () DONE !!!
CreateNodes () DONE !!!
CreateMeshDevices () DONE !!!
CreateWifiDevices () DONE !!!
CreateCsmaDevices () DONE !!!
CreateDevices () DONE !!!
InstallInternetStack () DONE !!!
Gateway is connect to AP 0
InstallApplications () DONE !!!
Starting simulation for 120.00 s ...
-------------------------------------------------
Time[s]	ap-0	ap-1	ap-2	ap-3	ap-4	ap-5	ap-6	ap-7	ap-8	ap-9	ap-10	ap-11	ap-12	ap-13	ap-14	ap-15	ap-16
2.00	8.08	7.44	1.88	0.00	0.00	0.00	0.00	0.00	0.46	0.00	0.41	0.00	0.00	0.24	0.00	0.00	0.00
3.00	8.10	7.50	0.34	0.00	0.00	0.02	0.00	0.00	0.16	1.66	0.00	0.00	0.00	0.33	0.00	0.54	0.04
4.00	8.10	7.50	1.91	0.00	0.26	0.00	0.00	0.00	0.00	1.90	0.00	0.00	0.00	0.21	0.00	0.26	0.49
5.00	8.10	7.50	0.74	0.00	0.12	0.00	0.00	0.00	0.00	1.77	0.00	0.00	0.00	0.53	0.00	0.19	0.26
6.00	8.10	7.50	0.22	0.00	0.12	0.00	0.00	0.04	0.00	0.52	0.00	0.00	0.00	0.66	0.00	0.45	0.24
7.00	8.10	7.50	0.00	0.00	0.00	0.05	0.00	0.00	0.07	1.18	0.00	0.00	0.00	0.29	0.00	0.21	0.09
8.00	8.09	7.50	0.00	0.00	0.20	0.14	0.00	0.00	0.00	1.63	0.00	0.00	0.00	0.00	0.00	0.49	0.57
9.00	8.10	7.50	0.49	0.00	0.12	0.00	0.00	0.00	0.00	1.72	0.00	0.00	0.00	0.00	0.00	0.19	0.54
10.00	8.10	7.49	1.48	0.00	0.00	0.00	0.00	0.00	0.00	2.10	0.00	0.00	0.00	0.00	0.00	0.65	0.19
11.00	8.10	7.50	0.00	0.00	0.00	0.00	0.00	0.00	0.00	1.77	0.00	0.00	0.00	0.00	0.00	0.00	0.42
12.00	8.10	7.50	0.00	0.00	0.00	0.25	0.00	0.00	0.00	1.39	0.00	0.00	0.00	0.00	0.00	0.41	0.47
13.00	8.10	7.50	0.00	0.00	0.00	0.00	0.00	0.00	0.00	2.17	0.24	0.00	0.00	0.00	0.00	1.13	0.19
14.00	8.09	7.50	0.22	0.00	0.00	0.00	0.00	0.00	0.00	2.57	0.07	0.00	0.00	0.00	0.00	0.60	0.00
15.00	8.10	7.50	0.01	0.00	0.04	0.21	0.00	0.00	0.40	0.69	0.00	0.00	0.00	0.00	0.00	0.37	0.00
16.00	8.10	7.50	0.35	0.00	0.53	0.07	0.00	0.00	0.16	1.58	0.00	0.00	0.00	0.00	0.00	0.48	0.24
17.00	8.10	7.50	0.32	0.00	0.00	0.34	0.00	0.00	0.21	1.37	0.00	0.00	0.00	0.00	0.00	0.52	0.28
18.00	8.10	7.50	0.32	0.00	0.00	0.47	0.00	0.00	0.00	1.42	0.00	0.00	0.00	0.35	0.00	0.59	0.39
19.00	8.10	7.49	0.44	0.00	0.00	0.14	0.00	0.00	0.00	1.21	0.00	0.00	0.00	0.33	0.00	0.13	0.42
20.00	8.09	7.50	1.24	0.00	0.00	0.00	0.00	0.00	0.00	1.22	0.00	0.00	0.00	0.68	0.00	0.66	0.72
21.00	8.10	7.50	0.87	0.00	0.11	0.00	0.00	0.00	0.00	2.60	0.00	0.00	0.00	1.06	0.00	0.80	0.52
22.00	8.10	7.50	2.99	0.00	0.07	0.27	0.00	0.00	0.32	1.99	0.20	0.00	0.00	0.42	0.00	0.40	0.31
23.00	8.10	7.50	1.79	0.00	0.38	0.09	0.00	0.00	0.26	1.41	0.14	0.00	0.00	0.82	0.00	0.42	0.28
24.00	8.10	7.50	1.84	0.00	0.26	0.05	0.00	0.00	1.53	1.59	0.00	0.00	0.00	0.75	0.00	0.72	0.19
25.00	8.10	7.50	1.40	0.00	0.02	0.00	0.00	0.00	0.19	1.54	0.00	0.00	0.00	1.11	0.00	0.28	0.16
26.00	8.09	7.50	0.00	0.00	0.61	0.00	0.00	0.00	0.00	1.22	0.00	0.00	0.00	0.54	0.00	1.35	0.47
27.00	8.10	7.50	3.13	0.00	0.33	0.20	0.00	0.00	0.57	2.33	0.00	0.00	0.00	0.52	0.00	0.05	0.49
28.00	8.10	7.49	0.40	0.00	0.12	0.21	0.00	0.00	0.00	0.98	0.00	0.00	0.00	0.19	0.00	1.93	0.41
29.00	8.10	7.50	1.55	0.00	0.32	0.02	0.00	0.00	0.00	1.77	0.00	0.00	0.00	0.00	0.00	0.16	0.21
30.00	8.10	7.50	0.53	0.00	0.06	0.00	0.00	0.00	1.39	1.18	1.95	0.00	0.00	0.00	0.02	0.39	0.09
