Waf: Entering directory `/home/synrg-sc1/Desktop/Jiaming/ns-3.29-mesh/build'
Waf: Leaving directory `/home/synrg-sc1/Desktop/Jiaming/ns-3.29-mesh/build'
Build commands will be stored in build/compile_commands.json
'build' finished successfully (5.053s)
CreateVariables () DONE !!!
Creating 18 APs 50.00 m apart.
CreateApNodes () DONE !!!
Creating 0 CLs 20.00 m away from each AP.
CreateClNodes () DONE !!!
CreateNodes () DONE !!!
CreateMeshDevices () DONE !!!
CreateWifiDevices () DONE !!!
CreateCsmaDevices () DONE !!!
CreateDevices () DONE !!!
InstallInternetStack () DONE !!!
Gateway is connect to AP 0
InstallApplications () DONE !!!
Starting simulation for 120.00 s ...
-------------------------------------------------
Time[s]	ap-0	ap-1	ap-2	ap-3	ap-4	ap-5	ap-6	ap-7	ap-8	ap-9	ap-10	ap-11	ap-12	ap-13	ap-14	ap-15	ap-16	ap-17
2.00	8.09	7.77	0.18	0.00	0.00	0.00	0.00	0.62	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	1.24
3.00	8.10	7.80	1.28	0.73	0.00	0.00	0.00	0.24	0.00	0.00	0.00	0.00	0.00	0.40	0.00	0.00	0.00	0.24
4.00	8.10	7.81	0.00	1.00	0.00	0.00	0.00	0.00	0.00	0.00	0.02	0.00	0.00	0.07	0.00	0.00	0.00	0.28
5.00	8.10	7.80	1.51	0.00	0.00	0.00	0.09	0.00	0.00	0.28	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.38
6.00	8.10	7.80	0.00	0.00	0.00	0.00	0.02	0.12	0.00	0.00	0.00	0.00	0.00	0.04	0.00	0.00	0.19	1.04
7.00	8.10	7.81	0.00	0.00	0.00	0.00	0.19	0.62	0.00	0.00	0.27	0.00	0.00	0.00	0.00	0.00	0.00	1.02
8.00	8.09	7.80	0.00	0.00	0.00	0.00	0.28	0.92	0.00	0.00	0.05	0.00	0.00	0.05	0.00	0.00	0.00	0.58
9.00	8.10	7.80	0.00	0.00	0.00	0.00	0.05	0.02	0.00	0.09	0.02	0.00	0.00	0.01	0.00	0.00	0.00	1.08
10.00	8.10	7.81	0.00	0.13	0.00	0.00	0.27	0.09	0.00	0.49	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.71
11.00	8.10	7.80	0.00	0.01	0.00	0.00	0.00	0.42	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	1.27
12.00	8.10	7.81	0.00	0.04	0.00	0.00	0.00	0.35	0.00	0.52	0.02	0.00	0.00	0.07	0.00	0.00	0.00	0.87
13.00	8.10	7.80	0.00	0.00	0.00	0.00	0.02	0.19	0.00	0.16	0.79	0.00	0.00	0.05	0.00	0.00	0.00	1.25
14.00	8.09	7.80	0.00	0.00	0.00	0.00	0.00	0.09	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.59
15.00	8.10	7.81	0.00	0.00	0.00	0.00	0.22	0.00	0.00	0.00	0.51	0.00	0.00	0.00	0.00	0.00	0.00	0.59
16.00	8.10	7.80	0.00	0.00	0.00	0.00	0.24	0.00	0.00	0.00	0.01	0.00	0.00	0.00	0.00	0.00	0.00	1.73
17.00	8.10	7.80	0.18	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.11	0.00	0.00	0.01	0.00	0.00	0.00	0.00
18.00	8.10	7.81	0.57	0.01	0.00	0.00	0.00	0.00	0.00	0.00	0.25	0.00	0.00	0.00	0.00	0.00	0.00	1.46
19.00	8.10	7.80	0.15	0.00	0.00	0.00	0.26	0.25	0.00	0.00	0.09	0.00	0.00	0.00	0.00	0.00	0.00	0.49
20.00	8.09	7.80	0.19	0.51	0.00	0.00	0.00	0.47	0.00	0.00	0.04	0.00	0.00	1.06	0.00	0.00	0.68	0.00
21.00	8.10	7.81	0.19	0.00	0.00	0.00	0.00	0.42	0.00	0.00	0.00	0.00	0.00	0.49	0.00	0.00	0.05	0.00
22.00	8.10	7.80	0.64	0.00	0.00	0.00	0.00	0.26	0.00	0.00	0.00	0.00	0.00	0.58	0.00	0.00	0.41	2.30
23.00	8.10	7.81	0.07	0.00	0.00	0.00	0.31	0.31	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.79
24.00	8.10	7.80	0.00	0.00	0.00	0.00	0.22	0.21	0.00	0.00	0.01	0.00	0.00	0.16	0.00	0.00	0.05	0.00
25.00	8.10	7.80	0.00	0.00	0.00	0.00	0.00	0.47	0.16	0.00	1.02	0.00	0.00	0.00	0.00	0.00	0.00	0.00
26.00	8.09	7.81	0.00	0.00	0.00	0.00	0.02	0.80	0.00	0.47	0.09	0.00	0.00	0.00	0.00	0.00	0.00	4.76
27.00	8.10	7.80	0.38	0.00	0.00	0.00	0.11	0.02	0.00	0.33	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
28.00	8.10	7.80	1.05	0.45	0.00	0.00	0.00	0.00	0.00	0.49	0.05	0.00	0.00	0.47	0.00	0.00	0.02	0.00
29.00	8.10	7.81	0.16	0.57	0.00	0.00	0.00	0.00	0.00	0.28	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
30.00	8.10	7.80	0.06	0.09	0.00	0.00	0.82	0.00	0.24	0.68	2.12	0.00	0.00	0.00	0.00	0.00	0.00	1.13
31.00	8.10	7.80	0.00	0.07	0.00	0.00	0.48	0.66	0.00	0.02	0.39	0.00	0.00	0.00	0.00	0.00	0.00	2.16
32.00	8.10	7.81	0.00	0.47	0.00	0.00	0.40	0.31	0.00	0.38	1.40	0.00	0.00	0.53	0.00	0.00	0.00	2.80
33.00	8.09	7.80	1.06	0.01	0.00	0.00	0.04	0.42	0.25	1.71	1.27	0.00	0.00	1.30	0.00	0.00	0.39	1.78
34.00	8.10	7.81	0.33	0.00	0.00	0.00	0.00	0.29	0.00	0.49	0.00	0.00	0.00	0.00	0.00	0.00	0.00	2.61
35.00	8.10	7.80	0.01	0.00	0.00	0.25	0.00	0.57	0.00	0.31	0.00	0.00	0.00	0.25	0.00	0.00	0.00	0.00
36.00	8.10	7.80	0.00	0.00	0.00	0.00	0.00	0.16	0.00	1.00	0.09	0.00	0.00	0.13	0.00	0.00	0.00	0.09
37.00	8.10	7.81	0.00	0.00	0.00	0.00	0.95	0.26	0.00	1.22	0.00	0.00	0.00	0.00	0.00	0.00	0.00	2.27
38.00	8.10	7.80	0.22	0.00	0.00	0.00	0.00	0.00	0.00	0.80	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.99
39.00	8.09	7.80	0.53	0.00	0.00	0.00	0.61	2.77	0.08	2.87	1.83	0.00	0.00	0.82	0.00	0.00	0.52	1.01
40.00	8.10	7.81	1.02	0.00	0.00	0.35	0.09	0.48	0.00	0.00	0.00	0.00	0.00	0.68	0.00	0.00	0.00	0.00
41.00	8.10	7.80	0.01	0.00	0.00	0.00	0.00	0.13	0.00	0.71	0.99	0.00	0.00	0.05	0.00	0.00	0.00	2.68
42.00	8.10	7.80	0.01	0.33	0.00	0.00	0.12	0.34	0.00	0.00	0.00	0.00	0.00	0.01	0.00	0.00	0.00	2.86
43.00	8.10	7.81	0.12	1.40	0.00	0.00	0.00	0.00	0.00	0.00	1.24	0.00	0.00	0.00	0.00	0.00	0.00	0.00
44.00	8.10	7.80	1.07	0.00	0.00	0.00	0.11	0.24	0.00	0.00	1.37	0.27	0.00	0.00	0.00	0.00	0.00	1.24
45.00	8.09	7.81	0.84	0.00	0.00	0.00	0.71	0.00	0.00	0.51	0.00	0.00	0.00	0.99	0.00	0.00	0.00	0.04
46.00	8.10	7.80	0.00	0.00	0.00	0.00	0.26	0.68	0.00	0.64	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.02
47.00	8.10	7.80	0.00	0.00	0.00	0.06	0.24	0.54	0.00	2.12	0.01	0.00	0.00	1.20	0.00	0.00	0.00	1.31
48.00	8.10	7.81	0.00	0.00	0.00	0.04	0.47	0.59	0.00	0.00	0.00	0.00	0.00	1.22	0.00	0.00	0.00	0.00
49.00	8.10	7.80	0.00	0.00	0.00	0.00	0.48	0.79	0.00	0.00	0.41	0.00	0.00	0.00	0.00	0.00	0.00	1.21
