Waf: Entering directory `/home/synrg-sc1/Desktop/Jiaming/ns-3.29-mesh/build'
Waf: Leaving directory `/home/synrg-sc1/Desktop/Jiaming/ns-3.29-mesh/build'
Build commands will be stored in build/compile_commands.json
'build' finished successfully (5.087s)
CreateVariables () DONE !!!
Creating 19 APs 50.00 m apart.
CreateApNodes () DONE !!!
Creating 0 CLs 20.00 m away from each AP.
CreateClNodes () DONE !!!
CreateNodes () DONE !!!
CreateMeshDevices () DONE !!!
CreateWifiDevices () DONE !!!
CreateCsmaDevices () DONE !!!
CreateDevices () DONE !!!
InstallInternetStack () DONE !!!
Gateway is connect to AP 0
InstallApplications () DONE !!!
Starting simulation for 120.00 s ...
-------------------------------------------------
Time[s]	ap-0	ap-1	ap-2	ap-3	ap-4	ap-5	ap-6	ap-7	ap-8	ap-9	ap-10	ap-11	ap-12	ap-13	ap-14	ap-15	ap-16	ap-17	ap-18
2.00	7.80	0.02	0.00	0.00	1.53	0.00	0.00	0.00	0.00	0.00	0.24	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
3.00	7.80	0.38	0.00	0.00	1.20	0.09	0.00	0.00	0.00	0.33	0.15	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
4.00	7.81	0.05	0.00	0.00	2.16	0.38	0.00	0.00	0.00	0.02	0.80	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
5.00	7.80	0.00	0.35	0.00	1.39	0.19	0.00	0.00	0.00	0.45	0.65	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
6.00	7.80	0.00	0.12	0.00	0.94	0.01	0.00	0.00	0.00	1.53	0.01	0.00	0.00	0.00	0.00	0.40	0.00	0.00	0.00
7.00	7.81	0.00	0.18	0.00	1.13	0.00	0.00	0.00	0.00	1.18	0.00	0.00	0.00	0.00	0.00	0.52	0.00	0.00	0.09
8.00	7.80	0.00	0.87	0.00	0.92	0.21	0.14	0.00	0.00	1.13	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.40
9.00	7.80	0.00	0.38	0.00	1.38	0.00	0.12	0.00	0.00	1.08	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
10.00	7.81	0.00	0.00	0.00	0.80	0.12	0.00	0.00	0.00	1.48	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
11.00	7.80	0.00	0.00	0.00	0.69	0.21	0.00	0.61	0.00	1.25	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.66
12.00	7.81	0.00	0.00	0.00	0.73	0.00	0.00	0.01	0.00	1.22	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.07
13.00	7.80	0.00	0.02	0.00	1.46	0.00	0.00	0.00	0.00	1.04	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.92
14.00	7.80	0.00	0.01	0.00	0.85	0.00	0.00	0.00	0.00	0.82	0.00	0.00	0.00	0.00	0.00	1.11	0.00	0.00	0.81
15.00	7.81	0.00	0.72	0.00	1.06	0.00	0.00	0.00	0.00	0.66	0.00	0.00	0.00	0.00	0.00	0.42	0.00	0.00	0.59
16.00	7.80	0.00	0.16	0.00	1.20	0.00	0.00	0.00	0.00	1.01	0.29	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.24
17.00	7.80	0.00	0.00	0.00	0.94	0.00	0.00	0.00	0.19	1.25	0.32	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.54
18.00	7.81	0.00	0.22	0.00	0.80	0.00	0.00	0.00	0.33	0.71	0.49	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.24
19.00	7.80	0.00	0.00	0.00	0.82	0.00	0.00	0.00	0.00	1.34	0.60	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.52
20.00	7.80	0.00	0.39	0.00	1.25	0.34	0.00	0.00	0.00	1.39	0.21	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
21.00	7.81	0.00	0.02	0.00	1.35	0.33	0.00	0.00	0.35	1.25	0.59	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.35
22.00	7.80	0.00	0.00	0.00	0.85	0.45	0.00	0.00	0.00	1.46	0.65	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.62
23.00	7.81	0.00	1.32	0.00	0.74	0.45	0.31	0.00	0.05	0.89	0.33	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.21
24.00	7.80	0.00	0.71	0.00	2.67	0.08	0.08	0.45	0.02	0.85	0.09	0.00	0.00	0.00	0.00	0.64	0.00	0.00	0.29
25.00	7.80	0.00	0.38	0.00	0.64	0.00	0.00	0.00	0.16	1.27	0.26	0.00	0.00	0.00	0.00	0.49	0.00	0.00	0.81
26.00	7.81	0.00	0.28	0.00	1.87	0.07	0.00	0.00	0.00	1.46	0.60	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
27.00	7.80	0.00	0.00	0.00	0.25	0.09	0.00	0.00	0.02	1.15	0.12	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.31
28.00	7.80	0.00	0.81	0.00	0.00	0.12	0.00	0.00	0.07	1.35	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.64
29.00	7.81	0.00	0.73	0.00	1.45	0.00	0.13	0.00	0.00	1.93	0.12	0.00	0.00	0.00	0.05	0.00	0.00	0.00	0.73
30.00	7.80	0.00	2.37	0.00	1.40	0.00	0.26	0.00	0.13	1.95	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.28
31.00	7.80	0.00	0.00	0.00	1.31	0.51	0.73	0.00	1.10	0.00	0.01	0.00	0.00	0.00	0.00	0.07	0.00	0.00	0.68
32.00	7.81	0.00	2.26	0.00	1.61	1.01	0.29	0.00	1.19	1.01	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
33.00	7.80	0.00	0.00	0.00	2.16	0.47	0.00	0.00	0.72	1.77	0.20	0.00	0.00	0.00	0.00	0.01	0.00	0.00	0.89
34.00	7.81	0.00	0.00	0.00	0.00	1.68	0.00	0.00	0.38	0.00	0.08	0.00	0.00	0.00	0.00	1.27	0.00	0.00	0.26
35.00	7.80	0.00	1.54	0.00	0.00	0.02	0.11	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
36.00	7.80	0.51	2.84	0.00	1.68	2.24	0.00	0.00	0.26	3.43	0.00	0.00	1.11	0.00	0.00	0.00	0.12	0.00	0.00
37.00	7.81	0.26	0.99	0.00	0.49	2.18	0.77	0.00	0.28	0.00	0.00	0.00	0.00	0.00	0.07	0.25	0.00	0.00	0.00
38.00	7.80	0.00	0.00	0.00	0.84	1.40	0.00	0.05	0.11	0.00	0.93	0.00	0.00	0.00	0.00	0.15	0.00	0.00	0.94
39.00	7.80	0.01	0.00	0.00	0.00	0.09	0.02	0.00	0.59	0.11	0.92	0.00	0.00	0.00	0.00	2.06	0.00	0.00	0.99
40.00	7.81	0.05	0.00	0.00	0.84	0.00	0.00	0.00	0.54	0.00	0.82	0.00	0.00	0.00	0.00	0.11	0.00	0.00	1.67
