Waf: Entering directory `/home/synrg-sc1/Desktop/Jiaming/ns-3.29-mesh/build'
Waf: Leaving directory `/home/synrg-sc1/Desktop/Jiaming/ns-3.29-mesh/build'
Build commands will be stored in build/compile_commands.json
'build' finished successfully (5.043s)
CreateVariables () DONE !!!
Creating 20 APs 50.00 m apart.
CreateApNodes () DONE !!!
Creating 0 CLs 20.00 m away from each AP.
CreateClNodes () DONE !!!
CreateNodes () DONE !!!
CreateMeshDevices () DONE !!!
CreateWifiDevices () DONE !!!
CreateCsmaDevices () DONE !!!
CreateDevices () DONE !!!
InstallInternetStack () DONE !!!
Gateway is connect to AP 0
InstallApplications () DONE !!!
Starting simulation for 120.00 s ...
-------------------------------------------------
Time[s]	ap-0	ap-1	ap-2	ap-3	ap-4	ap-5	ap-6	ap-7	ap-8	ap-9	ap-10	ap-11	ap-12	ap-13	ap-14	ap-15	ap-16	ap-17	ap-18	ap-19
2.00	7.80	7.47	0.00	0.00	0.00	0.19	0.00	0.00	0.95	0.00	0.48	0.00	0.21	0.00	0.00	0.00	0.00	0.00	0.01	0.00
3.00	7.80	7.50	0.00	0.00	0.00	1.11	0.00	0.00	2.71	0.00	1.18	0.00	0.53	0.00	0.00	0.00	0.99	0.00	0.86	0.00
4.00	7.81	7.50	0.15	0.00	0.00	0.37	0.00	0.00	0.00	0.00	2.24	0.00	1.84	0.12	0.00	0.95	1.33	0.00	0.00	0.00
5.00	7.80	7.50	0.00	0.00	0.00	0.49	2.68	0.00	1.57	0.00	0.00	0.00	0.07	0.14	0.46	0.49	0.21	0.00	0.00	0.00
6.00	7.80	7.50	0.00	0.00	0.00	1.12	0.49	0.00	0.12	0.14	0.38	0.00	0.12	0.05	0.00	2.26	0.54	0.00	0.00	0.00
7.00	7.81	7.50	0.06	0.00	0.00	2.11	4.52	0.00	0.02	1.39	1.66	0.00	0.00	0.00	1.27	1.74	0.11	0.00	0.00	0.07
8.00	7.80	7.50	0.61	0.18	0.02	0.99	0.00	0.00	1.60	2.26	2.26	0.00	1.05	0.33	0.00	0.51	0.00	0.00	0.02	0.00
9.00	7.80	7.50	0.09	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.45	0.00	0.00	0.07	0.00	1.33	0.45	0.00	0.00	0.00
10.00	7.81	7.49	0.00	0.00	0.00	1.70	0.49	0.00	0.75	0.00	1.07	0.99	0.00	0.00	0.99	0.49	1.18	0.00	0.00	0.38
11.00	7.80	7.50	0.01	0.00	0.00	1.72	0.75	0.00	0.44	0.00	0.04	0.00	0.81	0.00	1.27	1.25	0.00	0.00	0.00	0.28
12.00	7.81	7.50	0.00	0.00	0.00	2.27	0.49	0.00	0.00	0.00	0.00	0.00	0.00	0.00	1.08	1.30	0.22	1.35	0.04	0.24
13.00	7.80	7.50	0.00	0.00	0.02	0.00	0.00	0.00	1.28	0.00	0.00	0.07	1.33	0.55	1.00	0.00	0.00	0.00	0.49	0.00
14.00	7.80	7.50	0.00	0.00	0.00	1.74	0.49	0.00	0.08	0.00	0.13	1.78	0.00	0.57	1.48	0.05	0.00	0.00	0.00	0.15
15.00	7.81	7.50	0.00	0.00	0.00	1.37	0.00	0.00	1.31	0.49	1.72	0.49	0.16	0.59	0.00	0.99	0.00	0.00	0.00	0.00
16.00	7.80	7.50	0.00	0.00	0.00	0.05	0.00	0.00	1.53	0.00	1.41	0.00	0.49	0.07	0.05	0.00	0.00	0.49	0.16	0.00
17.00	7.80	7.50	0.49	0.00	0.00	2.18	0.49	0.00	0.66	0.22	2.51	1.21	0.00	0.00	0.95	0.99	1.30	0.00	0.00	0.58
18.00	7.81	7.50	0.73	0.00	0.21	0.00	1.84	0.00	1.28	0.06	2.21	1.31	0.97	0.22	0.99	0.75	2.11	0.00	0.49	0.12
19.00	7.80	7.49	0.00	0.00	0.78	1.66	0.00	0.00	1.28	0.00	1.37	0.04	0.00	0.19	0.00	0.01	0.00	0.00	0.00	0.20
20.00	7.80	7.50	0.00	0.00	0.67	0.58	0.00	0.00	0.97	0.00	0.41	0.00	1.78	0.49	0.02	0.01	0.55	0.00	0.00	0.49
21.00	7.81	7.50	0.00	0.00	0.05	1.31	0.00	0.00	0.98	0.00	0.22	0.00	0.00	0.16	0.00	0.00	1.01	1.08	0.15	0.00
22.00	7.80	7.50	0.19	0.00	0.00	0.00	2.26	0.00	1.01	0.14	1.77	0.55	0.00	0.00	0.00	0.27	0.00	0.00	0.00	1.25
23.00	7.81	7.50	0.00	1.17	0.00	0.00	1.40	0.01	0.00	1.53	0.19	0.00	0.00	0.00	1.11	0.49	0.00	0.01	0.65	0.00
24.00	7.80	7.50	0.00	0.00	0.00	0.49	2.33	0.00	0.31	0.02	0.00	0.09	0.00	0.57	1.14	0.49	0.00	0.00	0.00	0.00
25.00	7.80	7.50	0.00	0.00	0.00	0.14	0.00	0.00	0.00	0.75	0.61	0.52	0.07	0.00	0.00	1.31	0.00	0.00	0.00	1.59
26.00	7.81	7.50	0.00	0.00	0.00	0.21	0.53	0.00	0.12	0.79	0.00	0.07	0.00	0.00	0.00	0.14	1.39	0.00	0.00	0.05
27.00	7.80	7.50	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	1.17	0.00	0.00	0.00	0.69	0.47	0.00	0.00	0.00
28.00	7.80	7.49	0.01	0.00	0.00	0.07	0.00	0.00	0.02	0.08	0.48	0.00	0.00	0.00	0.00	0.00	0.48	0.00	0.08	0.00
29.00	7.81	7.50	0.15	0.00	0.00	0.99	1.68	0.00	0.00	0.99	1.14	0.00	0.49	0.00	0.49	0.14	1.93	0.05	0.94	0.49
30.00	7.80	7.50	0.21	0.00	0.00	0.54	2.21	0.00	0.73	0.00	1.84	0.00	0.00	0.00	0.02	0.49	0.49	0.00	0.49	0.61
31.00	7.80	7.50	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	2.38	0.00	0.00	0.32	0.00	0.05	0.00	0.00	0.00	0.00
32.00	7.81	7.50	0.00	0.00	0.00	0.00	2.03	0.00	0.00	0.00	1.07	0.00	0.93	0.25	0.53	0.49	2.21	0.00	0.00	0.49
33.00	7.80	7.50	0.00	0.00	0.00	0.49	1.05	0.00	0.00	0.49	0.12	0.00	0.00	0.66	0.81	0.00	1.42	0.00	0.00	0.00
34.00	7.81	7.50	0.00	0.00	0.00	0.00	1.73	0.00	0.00	0.00	1.55	0.00	0.00	0.55	0.00	1.63	0.99	0.00	0.00	0.00
35.00	7.80	7.50	0.07	0.00	0.00	4.20	1.54	0.00	0.00	0.02	2.24	0.00	0.09	0.00	0.99	1.17	0.14	0.00	0.00	0.49
36.00	7.80	7.50	0.40	0.00	0.00	0.00	1.22	0.00	3.43	0.00	1.31	0.00	0.00	0.00	0.18	0.26	1.31	0.00	0.00	0.00
37.00	7.81	7.49	0.00	0.00	0.00	0.01	1.65	0.65	0.41	0.88	1.18	0.00	0.84	0.00	0.00	0.00	1.25	0.00	0.00	0.20
38.00	7.80	7.50	0.00	0.00	0.00	0.00	2.51	0.00	0.85	0.08	1.66	0.00	0.15	0.00	0.00	2.47	0.31	0.00	0.99	0.00
39.00	7.80	7.50	0.00	0.00	0.00	2.38	0.00	0.00	0.00	0.00	0.09	0.01	0.02	0.92	0.21	0.00	0.05	0.00	0.00	0.99
40.00	7.81	7.50	0.05	0.00	0.00	0.00	1.27	0.00	1.97	0.47	1.44	1.25	0.00	0.00	0.46	2.19	0.04	0.00	0.00	0.00
41.00	7.80	7.50	0.00	0.00	0.00	0.75	0.00	0.00	0.31	0.19	0.49	0.00	0.00	0.16	0.00	0.01	0.00	0.00	0.05	0.45
42.00	7.80	7.50	0.02	0.00	0.00	2.52	1.50	0.00	0.00	1.17	0.47	0.47	0.99	0.02	1.59	0.88	0.00	0.00	0.00	0.49
