Waf: Entering directory `/home/synrg-sc1/Desktop/Jiaming/ns-3.29-mesh/build'
Waf: Leaving directory `/home/synrg-sc1/Desktop/Jiaming/ns-3.29-mesh/build'
Build commands will be stored in build/compile_commands.json
'build' finished successfully (5.138s)
CreateVariables () DONE !!!
Creating 21 APs 50.00 m apart.
CreateApNodes () DONE !!!
Creating 0 CLs 20.00 m away from each AP.
CreateClNodes () DONE !!!
CreateNodes () DONE !!!
CreateMeshDevices () DONE !!!
CreateWifiDevices () DONE !!!
CreateCsmaDevices () DONE !!!
CreateDevices () DONE !!!
InstallInternetStack () DONE !!!
Gateway is connect to AP 0
InstallApplications () DONE !!!
Starting simulation for 120.00 s ...
-------------------------------------------------
Time[s]	ap-0	ap-1	ap-2	ap-3	ap-4	ap-5	ap-6	ap-7	ap-8	ap-9	ap-10	ap-11	ap-12	ap-13	ap-14	ap-15	ap-16	ap-17	ap-18	ap-19	ap-20
2.00	8.09	6.59	5.66	0.00	0.05	0.00	0.52	0.00	0.00	0.00	0.42	0.00	0.00	0.00	0.00	0.00	0.00	0.19	0.27	0.12	0.00
3.00	8.10	6.59	5.70	1.06	0.00	0.00	1.15	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.16	0.33	0.59	0.15	0.00
4.00	8.10	6.61	5.70	0.49	0.00	0.00	0.66	0.00	0.00	0.00	0.00	0.00	0.00	0.16	0.00	0.47	0.00	1.73	0.78	0.14	0.20
5.00	8.10	6.59	5.70	0.34	0.00	0.00	0.64	0.00	0.00	0.00	0.00	0.00	0.00	0.09	0.00	0.59	1.26	0.00	0.93	0.27	0.11
6.00	8.10	6.61	5.70	0.00	0.00	0.00	1.13	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.14	0.00	0.00	1.15	0.40	0.16
7.00	8.10	6.59	5.70	2.53	0.05	0.00	1.22	0.00	0.00	0.00	0.00	1.41	0.00	0.00	0.00	0.00	0.00	0.00	0.68	0.45	0.49
8.00	8.09	6.61	5.70	0.99	0.28	0.00	0.99	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	2.01	0.97	0.67	0.07
9.00	8.10	6.59	5.70	0.00	0.00	0.00	1.32	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.55	0.00	1.27	0.82	1.14	0.66
10.00	8.10	6.61	5.70	1.87	0.00	0.00	1.05	0.00	0.00	0.00	0.38	0.00	0.00	0.20	0.00	0.09	0.00	0.00	0.31	0.00	0.75
11.00	8.10	6.59	5.70	2.78	0.16	0.00	0.85	0.00	0.00	0.00	0.07	0.00	0.00	0.26	0.00	0.04	0.00	0.55	0.00	0.00	0.14
12.00	8.10	6.61	5.70	0.31	0.00	0.00	0.24	0.00	0.00	0.00	0.00	0.00	0.00	0.34	0.00	0.48	0.00	0.31	0.00	0.00	0.41
13.00	8.10	6.59	5.70	0.12	0.00	0.00	1.34	0.00	0.00	0.00	0.00	0.00	0.00	0.16	0.00	0.57	0.00	0.00	0.00	0.14	0.45
14.00	8.09	6.61	5.70	0.05	0.05	0.00	0.84	0.00	0.00	0.00	0.00	0.00	0.00	0.16	0.00	0.87	0.00	0.00	0.00	0.00	0.26
15.00	8.10	6.59	5.70	0.25	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.97	0.00	0.24	0.00	0.00	0.57
16.00	8.10	6.59	5.70	0.00	0.00	0.00	0.52	0.00	0.00	0.00	0.00	0.00	0.00	0.09	0.00	1.04	0.00	0.21	0.16	0.31	0.02
