Waf: Entering directory `/home/synrg-sc1/Desktop/Jiaming/ns-3.29-mesh/build'
Waf: Leaving directory `/home/synrg-sc1/Desktop/Jiaming/ns-3.29-mesh/build'
Build commands will be stored in build/compile_commands.json
'build' finished successfully (5.062s)
CreateVariables () DONE !!!
Creating 22 APs 50.00 m apart.
CreateApNodes () DONE !!!
Creating 0 CLs 20.00 m away from each AP.
CreateClNodes () DONE !!!
CreateNodes () DONE !!!
CreateMeshDevices () DONE !!!
CreateWifiDevices () DONE !!!
CreateCsmaDevices () DONE !!!
CreateDevices () DONE !!!
InstallInternetStack () DONE !!!
Gateway is connect to AP 0
InstallApplications () DONE !!!
Starting simulation for 120.00 s ...
-------------------------------------------------
Time[s]	ap-0	ap-1	ap-2	ap-3	ap-4	ap-5	ap-6	ap-7	ap-8	ap-9	ap-10	ap-11	ap-12	ap-13	ap-14	ap-15	ap-16	ap-17	ap-18	ap-19	ap-20	ap-21
2.00	7.80	7.47	0.00	0.00	3.66	0.00	0.99	0.00	1.79	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
3.00	7.80	7.50	0.00	0.00	0.00	0.26	0.00	0.00	0.88	0.00	0.00	0.00	0.00	1.45	0.00	0.00	0.00	0.00	0.42	0.39	0.00	0.00
4.00	7.81	7.50	0.00	0.00	0.00	0.54	0.00	0.00	0.05	0.00	0.04	0.00	0.00	0.00	0.00	0.00	0.08	0.00	0.00	0.00	0.00	0.00
5.00	7.80	7.50	0.00	0.00	0.00	0.80	0.00	0.24	0.00	0.00	0.00	0.00	0.00	0.18	0.00	0.00	0.45	0.00	0.12	0.00	0.00	0.02
6.00	7.80	7.50	0.00	0.00	1.25	1.55	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.11	0.00	0.00	0.00
7.00	7.81	7.50	0.00	0.49	2.14	0.94	0.00	0.00	0.94	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.21	0.78	0.00	0.06	0.28
8.00	7.80	7.50	0.00	0.00	2.70	1.61	0.00	0.99	0.04	0.00	0.01	0.00	0.00	1.98	0.00	0.00	0.19	0.19	0.00	0.00	0.21	0.80
9.00	7.80	7.50	0.00	0.40	0.49	1.17	0.08	0.00	1.26	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
10.00	7.81	7.49	0.00	2.34	1.83	1.61	1.24	1.44	1.91	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.04	0.00	0.00	1.44
11.00	7.80	7.50	0.00	1.24	0.00	1.10	0.24	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.08	0.00
12.00	7.81	7.50	0.00	1.39	0.00	3.16	0.22	0.26	0.05	0.00	0.00	0.00	0.00	2.56	0.00	0.00	0.00	0.42	0.09	0.00	0.00	0.84
13.00	7.80	7.50	0.00	0.00	2.00	4.60	0.00	0.26	0.11	0.00	0.00	0.00	0.00	0.67	0.00	0.00	0.00	0.00	0.00	0.40	0.00	0.00
14.00	7.80	7.50	0.00	0.99	0.99	0.21	0.49	0.00	0.44	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.99	0.20	1.37	0.00	0.00	0.61
15.00	7.81	7.50	0.00	0.00	0.00	0.00	0.16	0.00	1.90	0.00	0.00	0.00	0.00	0.89	0.00	0.00	0.00	0.00	0.01	0.49	0.00	0.00
16.00	7.80	7.50	0.00	0.00	0.00	0.11	0.00	0.00	1.75	0.00	0.00	0.00	0.00	0.72	0.00	0.00	0.00	0.00	0.00	0.31	0.00	0.00
17.00	7.80	7.50	0.00	0.00	2.51	1.99	0.01	1.50	0.49	0.00	0.00	0.00	0.00	0.11	0.00	0.00	0.00	0.15	0.74	0.00	0.00	0.16
18.00	7.81	7.50	0.00	0.00	0.00	2.08	0.32	0.49	0.00	0.00	0.52	0.00	0.00	0.95	0.00	0.00	1.52	0.18	0.00	0.00	0.07	0.16
19.00	7.80	7.49	0.00	0.00	0.82	0.00	0.00	0.00	1.06	0.00	0.09	0.00	0.00	0.94	0.00	0.00	0.18	0.26	0.00	0.00	0.00	0.31
20.00	7.80	7.50	0.00	0.00	0.99	0.00	0.02	0.00	0.00	0.00	0.00	0.00	0.00	0.51	0.00	0.00	0.97	0.00	0.01	0.00	0.02	0.00
21.00	7.81	7.50	0.00	0.00	2.25	0.85	1.35	1.27	0.00	0.00	0.00	0.00	0.00	0.11	0.00	0.00	0.12	0.14	0.00	0.00	1.27	0.26
22.00	7.80	7.50	0.00	0.05	1.21	1.26	0.99	0.07	0.79	0.00	0.00	0.00	0.00	0.44	0.00	0.00	0.00	0.22	0.29	0.02	0.47	0.51
23.00	7.81	7.50	0.00	0.67	0.00	3.38	0.08	0.99	0.00	0.00	0.00	0.00	0.00	0.51	0.00	0.00	0.00	0.00	0.02	0.00	0.00	0.00
24.00	7.80	7.50	0.00	1.39	0.00	0.00	0.00	0.00	1.95	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.45	0.00	0.00	0.00	0.00	0.00
25.00	7.80	7.50	0.00	1.47	0.00	0.87	0.00	0.82	0.42	0.00	0.00	0.00	0.00	0.47	0.00	0.00	0.88	0.00	0.01	0.00	0.49	0.00
26.00	7.81	7.50	0.00	0.49	0.00	0.59	0.00	0.05	4.50	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	1.44	0.00	0.00
27.00	7.80	7.50	0.00	0.00	2.37	0.00	1.00	0.00	0.00	0.00	0.00	0.00	0.00	0.51	0.00	0.00	0.00	0.47	0.00	0.00	0.74	0.52
28.00	7.80	7.49	0.00	0.00	0.11	2.20	0.25	0.49	0.01	0.00	0.52	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
29.00	7.81	7.50	0.00	1.46	0.99	0.48	0.73	0.00	0.00	0.00	0.31	0.00	0.00	0.00	0.00	0.00	0.05	0.04	0.00	0.16	0.60	0.13
30.00	7.80	7.50	0.00	1.19	3.87	2.80	2.56	0.00	1.17	0.00	0.19	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.15	1.74	0.00
31.00	7.80	7.50	0.00	2.70	0.00	0.71	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.65	0.00
32.00	7.81	7.50	0.00	0.00	0.00	0.00	1.24	0.49	0.00	0.00	0.00	0.00	0.00	0.61	0.00	0.00	0.00	0.00	0.00	0.00	1.27	0.00
33.00	7.80	7.50	0.00	0.00	0.00	1.48	0.02	0.07	0.84	0.00	0.00	0.00	0.00	1.32	0.00	0.00	0.00	0.00	0.25	0.00	0.09	0.00
34.00	7.81	7.50	0.00	0.01	0.00	0.00	0.99	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	1.13	0.28	0.00	1.46	0.00	0.54
35.00	7.80	7.50	0.00	2.73	0.12	1.42	0.00	0.80	0.99	0.00	0.27	0.00	0.00	0.00	0.00	0.00	0.00	0.82	4.52	0.00	1.31	0.81
36.00	7.80	7.50	0.00	0.00	2.54	0.04	1.61	0.22	0.00	0.00	0.00	0.00	0.00	0.79	0.00	0.00	0.00	0.00	0.48	0.00	0.09	0.02
37.00	7.81	7.49	0.00	0.00	1.65	0.00	1.71	0.20	0.00	0.00	0.00	0.00	0.00	0.86	0.00	0.00	1.77	0.00	0.00	0.00	0.58	0.00
38.00	7.80	7.50	0.00	0.00	1.10	0.40	0.00	0.82	0.00	0.00	0.00	0.60	0.00	0.06	0.00	0.00	2.39	0.00	0.00	0.00	1.55	0.00
39.00	7.80	7.50	0.00	1.44	1.42	1.53	0.75	0.00	2.13	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.19	0.06	0.00	0.06	0.32
40.00	7.81	7.50	0.00	0.00	3.91	0.46	1.95	1.34	3.16	0.00	0.00	0.37	0.00	0.55	0.00	0.00	0.31	0.00	0.05	0.00	0.78	0.00
41.00	7.80	7.50	0.00	0.00	1.40	0.67	0.00	0.88	0.99	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.53	0.00	0.00	0.55	0.73
42.00	7.80	7.50	0.00	0.49	2.25	0.64	2.74	0.44	0.00	0.00	0.22	0.00	0.00	0.00	0.00	0.00	0.11	0.00	0.00	0.00	0.00	0.00
43.00	7.81	7.50	0.00	0.49	0.79	0.87	0.49	0.00	1.73	0.00	0.00	0.75	0.00	0.02	0.00	0.00	0.15	0.00	0.00	0.00	0.00	0.00
44.00	7.80	7.50	0.00	0.00	0.18	4.03	2.33	0.42	1.99	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.37	0.00
45.00	7.81	7.50	0.00	0.00	0.00	1.20	0.00	0.00	0.34	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.49	0.05	0.00	0.00	0.74	0.33
46.00	7.80	7.49	0.00	0.00	0.00	1.05	0.00	0.00	0.01	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.34	0.00	0.04	0.42	0.64
47.00	7.80	7.50	0.00	0.00	0.00	0.12	2.05	0.00	0.00	0.00	0.00	0.00	0.00	1.78	0.00	0.00	0.00	0.24	0.00	0.34	0.37	0.05
48.00	7.81	7.50	0.00	0.00	0.00	0.01	0.27	0.00	1.25	0.00	0.00	0.00	0.00	0.08	0.00	0.00	0.00	0.00	0.00	0.00	0.01	0.00
49.00	7.80	7.50	0.00	0.00	0.52	0.04	1.26	0.12	0.12	0.00	0.00	0.12	0.00	0.64	0.00	0.00	0.05	0.00	0.00	0.00	0.01	0.00
50.00	7.80	7.50	0.00	1.39	0.39	1.45	1.57	0.49	0.20	0.00	0.05	0.00	0.00	1.97	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.14
51.00	7.81	7.50	0.00	0.52	0.28	1.72	1.33	0.00	2.28	0.00	0.00	0.24	0.00	0.26	0.00	0.00	0.00	0.04	0.07	0.00	1.14	0.62
52.00	7.80	7.50	0.00	0.29	2.00	0.00	1.88	0.00	0.20	0.00	0.00	0.00	0.00	1.26	0.00	0.00	0.00	0.00	0.57	0.01	0.49	0.54
53.00	7.80	7.50	0.00	4.24	0.07	0.00	0.06	0.00	0.57	0.00	0.00	0.05	0.00	0.22	0.00	0.00	0.00	0.07	0.00	0.00	0.32	0.42
54.00	7.81	7.50	0.00	0.05	1.97	0.00	4.03	0.00	0.31	0.00	0.01	0.00	0.00	0.47	0.00	0.00	0.45	0.00	0.00	0.00	0.81	0.38
55.00	7.80	7.49	0.00	0.20	0.02	0.00	0.14	0.00	0.00	0.00	1.22	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.31
56.00	7.81	7.50	0.00	0.54	1.50	0.86	1.64	0.00	1.41	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.34	0.04	0.00	0.00	0.00	0.98
57.00	7.80	7.50	0.00	1.59	1.25	0.01	1.20	0.07	0.49	0.00	0.00	0.19	0.00	0.13	0.00	0.00	0.00	0.01	0.68	0.00	1.22	0.24
