Waf: Entering directory `/home/synrg-sc1/Desktop/Jiaming/ns-3.29-mesh/build'
Waf: Leaving directory `/home/synrg-sc1/Desktop/Jiaming/ns-3.29-mesh/build'
Build commands will be stored in build/compile_commands.json
'build' finished successfully (5.104s)
CreateVariables () DONE !!!
Creating 23 APs 50.00 m apart.
CreateApNodes () DONE !!!
Creating 0 CLs 20.00 m away from each AP.
CreateClNodes () DONE !!!
CreateNodes () DONE !!!
CreateMeshDevices () DONE !!!
CreateWifiDevices () DONE !!!
CreateCsmaDevices () DONE !!!
CreateDevices () DONE !!!
InstallInternetStack () DONE !!!
Gateway is connect to AP 0
InstallApplications () DONE !!!
Starting simulation for 120.00 s ...
-------------------------------------------------
Time[s]	ap-0	ap-1	ap-2	ap-3	ap-4	ap-5	ap-6	ap-7	ap-8	ap-9	ap-10	ap-11	ap-12	ap-13	ap-14	ap-15	ap-16	ap-17	ap-18	ap-19	ap-20	ap-21	ap-22
2.00	7.20	6.59	0.00	0.00	0.68	0.00	0.00	0.00	0.00	1.33	0.02	0.32	0.00	0.00	0.16	0.00	0.00	0.00	0.00	0.25	0.00	0.00	0.00
3.00	7.20	6.59	0.00	0.00	2.60	1.34	0.00	0.00	0.00	0.09	0.15	1.21	0.00	0.00	0.00	0.00	0.00	0.00	0.02	1.58	0.00	0.00	0.00
4.00	7.21	6.61	0.00	0.00	0.00	1.07	0.00	0.00	0.13	0.00	0.71	2.71	0.00	0.00	0.00	0.00	0.02	0.00	0.00	0.71	0.00	0.00	0.42
5.00	7.20	6.59	0.00	0.00	0.00	0.00	0.00	0.00	0.75	0.72	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.20	0.00	0.00	0.55	0.00
6.00	7.21	6.61	0.00	0.00	0.00	0.11	0.00	0.00	0.49	0.00	1.00	0.00	0.49	0.00	0.00	0.00	0.00	0.00	2.31	0.00	0.00	0.00	0.00
7.00	7.20	6.59	0.00	0.00	0.00	0.28	0.00	0.09	0.99	0.49	0.00	0.00	0.00	0.00	0.49	0.00	0.00	0.00	1.26	1.08	0.00	0.00	0.16
8.00	7.20	6.61	0.00	0.00	0.00	0.00	0.00	0.00	0.00	1.31	0.24	0.00	0.00	0.00	0.02	0.00	0.00	0.00	2.03	0.00	0.00	0.49	0.00
9.00	7.21	6.59	0.00	0.00	0.00	0.33	0.00	1.44	0.00	0.00	0.00	0.88	0.00	0.00	0.33	0.00	0.00	0.00	0.51	0.00	0.00	0.49	0.00
10.00	7.20	6.61	0.00	0.00	0.00	0.00	0.00	1.04	1.84	0.52	1.50	1.51	0.00	0.29	1.54	0.00	0.00	0.00	0.00	0.40	0.00	0.00	0.02
11.00	7.21	6.59	0.00	0.00	0.00	0.00	0.00	0.28	0.49	0.00	0.00	0.65	0.00	0.00	0.99	0.00	0.00	0.00	0.00	0.07	0.00	0.00	0.00
12.00	7.20	6.61	0.00	0.00	2.58	0.75	0.00	0.88	2.18	0.00	0.58	1.72	0.00	0.07	0.49	0.00	0.00	0.00	0.00	0.00	0.00	0.29	0.00
13.00	7.20	6.59	0.00	0.00	0.02	0.49	0.00	1.70	0.94	0.00	0.00	0.85	0.00	0.41	0.00	0.00	0.00	0.00	0.00	0.00	0.00	2.27	0.00
14.00	7.21	6.61	0.00	0.00	1.70	0.00	0.00	0.31	0.00	0.00	0.00	0.00	0.37	0.00	0.46	0.07	0.04	0.00	0.12	0.20	0.00	0.00	0.00
15.00	7.20	6.59	0.00	0.00	0.00	0.99	0.00	1.32	0.99	1.86	0.09	0.00	0.00	0.00	0.49	0.00	0.04	0.00	0.25	0.05	0.00	0.00	0.00
16.00	7.21	6.59	0.00	0.00	0.99	1.70	0.00	2.06	0.49	0.28	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.49	0.00
