Waf: Entering directory `/home/synrg-sc1/Desktop/Jiaming/ns-3.29-mesh/build'
Waf: Leaving directory `/home/synrg-sc1/Desktop/Jiaming/ns-3.29-mesh/build'
Build commands will be stored in build/compile_commands.json
'build' finished successfully (5.121s)
CreateVariables () DONE !!!
Creating 24 APs 50.00 m apart.
CreateApNodes () DONE !!!
Creating 0 CLs 20.00 m away from each AP.
CreateClNodes () DONE !!!
CreateNodes () DONE !!!
CreateMeshDevices () DONE !!!
CreateWifiDevices () DONE !!!
CreateCsmaDevices () DONE !!!
CreateDevices () DONE !!!
InstallInternetStack () DONE !!!
Gateway is connect to AP 0
InstallApplications () DONE !!!
Starting simulation for 120.00 s ...
-------------------------------------------------
Time[s]	ap-0	ap-1	ap-2	ap-3	ap-4	ap-5	ap-6	ap-7	ap-8	ap-9	ap-10	ap-11	ap-12	ap-13	ap-14	ap-15	ap-16	ap-17	ap-18	ap-19	ap-20	ap-21	ap-22	ap-23
2.00	6.84	6.59	6.55	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.07	0.44	0.00	0.00	0.00	0.00	0.00	0.12	0.00	0.00	1.10	0.00	0.00	0.00
3.00	6.90	6.59	6.59	0.00	0.00	0.00	0.00	0.00	0.00	0.66	0.00	0.00	0.00	0.15	0.00	0.00	0.00	0.01	0.00	0.00	1.65	0.00	0.00	0.00
4.00	6.90	6.61	6.61	0.00	0.00	0.00	0.00	0.00	0.00	0.31	0.19	0.98	0.00	0.05	0.00	0.00	0.00	0.00	0.00	0.00	1.83	0.00	0.00	0.00
5.00	6.90	6.59	6.59	0.00	0.00	0.00	0.00	0.00	0.00	0.95	0.00	1.21	0.00	0.16	0.00	0.00	0.00	0.00	0.00	0.00	1.98	0.00	0.00	0.00
6.00	6.90	6.61	6.61	0.00	0.00	0.21	0.00	0.00	0.09	0.00	0.00	1.27	0.00	0.00	0.00	0.00	0.04	0.00	0.47	0.00	0.92	1.00	0.00	0.09
7.00	6.90	6.59	6.59	0.00	0.00	0.19	0.12	0.00	0.28	0.14	0.00	1.60	0.00	0.00	0.00	0.49	0.00	0.00	0.00	0.00	2.31	0.05	0.00	0.00
8.00	6.90	6.61	6.61	0.00	0.00	0.69	0.00	0.00	0.00	0.31	0.00	0.00	0.00	0.00	0.00	0.59	0.00	0.71	1.31	0.00	0.00	0.00	0.00	0.00
9.00	6.90	6.59	6.59	0.00	0.00	0.32	0.00	0.00	0.00	0.58	0.00	0.49	0.00	0.00	0.00	0.57	0.00	0.21	0.00	0.00	0.31	0.12	0.00	0.00
10.00	6.90	6.61	6.61	0.00	0.00	1.20	0.00	0.00	0.00	1.12	0.19	0.00	0.00	0.00	0.00	0.71	0.00	0.81	0.00	0.00	1.54	0.00	0.00	0.00
11.00	6.90	6.59	6.59	0.00	0.00	0.64	0.00	0.00	0.28	0.91	0.19	0.00	0.00	0.00	0.00	0.99	0.00	0.00	0.00	0.00	1.53	0.44	0.00	0.00
12.00	6.90	6.61	6.61	0.00	0.16	0.59	0.00	0.00	0.80	0.07	0.46	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.73	0.00	1.04	0.00	0.00	0.00
13.00	6.90	6.59	6.59	0.00	0.52	0.93	0.00	0.00	0.00	0.00	0.09	0.00	0.00	0.00	0.00	0.00	0.16	0.00	0.15	0.00	0.00	0.00	0.00	0.00
14.00	6.90	6.61	6.59	0.00	0.00	0.66	0.24	0.00	0.61	1.50	0.02	4.03	0.00	0.00	0.00	0.00	0.24	0.00	0.26	0.00	0.00	0.00	0.00	0.00
15.00	6.90	6.59	6.61	0.00	0.00	0.24	0.00	0.00	0.64	1.04	0.26	0.99	0.00	0.00	0.00	1.45	0.07	1.81	1.08	0.00	0.16	0.22	0.00	0.00
16.00	6.90	6.59	6.59	0.00	0.00	0.85	0.00	0.00	0.72	0.85	0.38	0.00	0.00	0.00	0.00	0.00	0.00	0.00	1.98	0.00	0.00	0.22	0.00	0.01
17.00	6.89	6.61	6.61	0.00	0.61	1.39	0.00	0.00	0.48	1.37	0.02	0.00	0.00	2.52	0.00	0.00	0.21	0.00	0.00	0.00	0.00	0.53	0.00	0.01
18.00	6.90	6.59	6.59	0.00	0.00	0.93	0.00	0.00	0.77	0.97	0.00	0.00	0.00	1.06	0.00	0.00	0.19	0.00	0.00	0.00	0.00	0.35	0.00	0.00
19.00	6.90	6.61	6.61	0.00	0.00	0.01	0.00	0.00	0.00	0.87	0.41	0.00	0.00	0.95	0.00	0.00	0.05	0.12	0.00	0.00	3.82	0.44	0.00	0.00
20.00	6.90	6.59	6.59	0.00	0.00	0.00	0.00	0.00	0.00	1.13	0.00	0.00	0.00	0.00	0.09	0.00	0.12	1.50	0.00	0.00	0.44	0.27	0.00	0.00
21.00	6.90	6.61	6.61	0.00	0.00	0.00	0.00	0.00	0.00	0.68	0.00	0.00	0.00	0.00	0.07	0.31	0.07	1.26	0.00	0.00	0.45	0.27	0.00	0.00
22.00	6.90	6.59	6.59	0.00	0.00	1.75	0.04	0.00	0.13	0.19	0.14	1.72	0.00	0.00	0.00	1.51	0.00	0.00	0.14	0.00	0.16	0.07	0.00	0.00
23.00	6.90	6.61	6.61	0.00	0.00	0.00	0.00	0.00	0.29	1.04	0.25	0.01	0.00	0.00	0.00	0.73	0.00	0.00	0.00	0.00	0.00	0.12	0.00	0.00
24.00	6.90	6.59	6.59	0.00	0.00	0.00	0.00	0.00	0.00	0.38	0.05	0.49	0.00	0.00	0.00	0.16	0.00	0.27	2.28	0.00	1.88	0.21	0.00	0.00
25.00	6.90	6.61	6.61	0.00	0.00	0.45	0.00	0.00	0.24	0.68	0.19	0.00	0.00	0.00	0.00	1.32	0.00	0.25	1.86	0.00	0.49	0.14	0.00	0.00
26.00	6.90	6.59	6.59	0.00	0.00	0.00	0.37	0.00	0.02	0.04	0.00	2.23	0.00	0.00	0.00	1.48	0.19	2.27	1.52	0.00	2.47	0.58	0.00	0.01
27.00	6.90	6.61	6.59	0.00	0.00	0.31	0.00	0.00	0.33	0.00	0.24	1.79	0.00	0.00	0.00	2.93	0.35	0.00	2.04	0.00	1.06	0.07	0.00	0.00
28.00	6.90	6.59	6.61	0.00	0.00	1.47	0.00	0.00	1.02	0.00	0.07	1.33	0.00	0.00	0.00	0.00	0.09	0.00	0.00	0.00	0.97	0.16	0.00	0.00
29.00	6.90	6.59	6.59	0.00	0.61	1.11	0.68	0.00	0.37	0.00	0.00	2.37	0.00	0.00	0.00	0.00	0.09	0.00	0.01	0.00	0.13	0.42	0.00	0.00
30.00	6.90	6.61	6.61	0.00	0.00	1.65	0.14	0.00	0.26	0.19	0.00	2.53	0.00	0.49	0.00	0.26	0.00	0.00	0.38	0.00	0.00	0.34	0.00	0.00
31.00	6.90	6.59	6.59	0.00	0.80	0.20	0.00	0.00	0.05	0.00	0.00	1.21	0.00	0.99	0.00	0.00	0.00	1.27	0.01	0.00	0.00	0.12	0.00	0.00
32.00	6.90	6.61	6.61	0.00	0.00	0.00	0.12	0.00	0.44	0.54	0.00	1.83	0.00	0.00	0.00	0.00	0.00	1.13	0.78	0.00	0.00	0.00	0.00	0.00
33.00	6.90	6.59	6.59	0.00	0.80	0.74	0.00	0.00	0.40	0.93	0.06	1.24	0.00	0.49	0.00	0.00	0.00	1.68	0.05	0.00	1.60	0.27	0.00	0.06
34.00	6.89	6.61	6.61	0.00	0.00	0.55	0.12	0.00	0.26	0.78	0.05	2.25	0.00	0.00	0.00	0.49	0.00	0.00	0.00	0.00	0.40	0.00	0.00	0.00
35.00	6.90	6.59	6.59	0.00	0.00	0.52	0.00	0.00	0.31	1.13	0.00	0.54	0.00	0.00	0.00	0.00	0.00	0.29	0.49	0.00	1.72	0.14	0.00	0.00
36.00	6.90	6.61	6.61	0.00	0.00	0.00	0.00	0.00	1.15	1.17	0.21	1.31	0.00	0.00	0.05	0.00	0.00	0.45	0.00	0.00	0.00	0.31	0.00	0.00
37.00	6.90	6.59	6.59	0.00	0.42	0.00	0.00	0.00	0.19	0.47	0.05	2.97	0.00	1.46	0.00	0.32	0.00	0.00	0.00	0.00	1.48	0.28	0.00	0.00
38.00	6.90	6.61	6.61	0.00	0.00	1.85	0.20	0.00	0.00	2.26	0.62	1.15	0.00	0.59	0.00	0.99	0.00	0.00	0.00	0.00	1.80	0.57	0.00	0.00
39.00	6.90	6.59	6.59	0.00	0.00	0.46	0.00	0.00	0.12	1.53	0.26	2.58	0.00	0.16	0.00	1.61	0.00	1.19	2.25	0.00	0.78	0.73	0.00	0.00
40.00	6.90	6.61	6.61	0.00	1.11	1.28	0.00	0.00	0.40	0.99	0.99	0.82	0.00	0.53	0.00	0.60	0.13	0.41	1.31	0.00	0.29	0.24	0.00	0.00
41.00	6.90	6.59	6.59	0.00	0.31	0.00	0.05	0.00	1.78	0.99	0.00	0.94	0.00	0.02	0.00	0.00	0.59	0.00	1.64	0.00	0.94	0.42	0.00	0.00
42.00	6.90	6.59	6.59	0.00	0.00	1.39	0.06	0.00	0.00	0.82	0.00	0.00	0.00	0.00	0.00	0.49	0.52	1.17	1.78	0.00	1.66	0.58	0.00	0.00
43.00	6.90	6.61	6.61	0.00	0.00	2.97	0.00	0.00	2.03	1.48	0.00	0.99	0.00	0.00	0.00	0.00	0.00	0.00	1.12	0.00	1.86	0.68	0.00	0.00
44.00	6.90	6.59	6.59	0.00	0.00	0.00	0.15	0.00	2.11	3.83	0.09	1.65	0.00	0.16	0.00	0.61	0.20	0.00	2.92	0.00	2.54	0.05	0.00	0.00
45.00	6.90	6.61	6.61	0.00	0.00	0.49	0.00	0.00	0.00	0.00	0.62	3.47	0.00	0.00	0.00	0.71	0.31	0.00	1.68	0.00	2.67	0.64	0.00	0.01
46.00	6.90	6.59	6.59	0.00	0.00	2.37	0.00	0.00	1.60	2.21	0.42	0.49	0.00	0.00	0.00	0.60	0.02	0.00	1.08	0.00	1.80	0.19	0.00	0.00
47.00	6.90	6.61	6.61	0.00	0.00	0.02	0.00	0.00	3.17	0.00	0.73	0.00	0.00	3.21	0.00	1.19	0.00	0.00	2.64	0.00	1.85	0.16	0.00	0.00
48.00	6.90	6.59	6.59	0.00	0.00	0.93	0.00	0.00	0.00	2.32	0.28	1.38	0.00	0.00	0.00	0.58	0.00	0.02	0.00	0.00	2.41	0.00	0.00	0.00
49.00	6.90	6.61	6.61	0.00	1.08	0.12	0.00	0.00	0.15	0.00	0.16	0.00	0.00	0.99	0.00	0.00	0.00	0.98	0.00	0.00	2.41	0.00	0.00	0.00
50.00	6.89	6.59	6.59	0.00	0.00	4.29	0.00	0.00	0.99	1.53	0.33	0.99	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	1.22	0.57	0.00	0.00
51.00	6.90	6.61	6.61	0.00	2.57	0.78	0.00	0.00	1.19	0.00	0.61	0.00	0.00	0.49	0.49	1.81	0.59	1.19	0.88	0.00	2.66	0.48	0.00	0.02
52.00	6.90	6.59	6.59	0.00	0.00	1.93	0.00	0.00	0.62	1.73	0.16	1.44	0.00	0.00	0.00	0.00	0.52	0.00	0.93	0.00	0.99	0.81	0.00	0.00
53.00	6.90	6.61	6.61	0.00	0.00	1.53	0.00	0.00	3.76	2.90	0.58	2.00	0.00	0.00	0.00	0.00	0.31	0.00	0.45	0.00	2.08	0.57	0.00	0.00
54.00	6.90	6.59	6.59	0.00	0.00	0.06	0.93	0.00	1.24	2.84	0.00	1.52	0.00	1.02	0.00	0.00	0.02	0.00	0.95	0.00	0.53	0.54	0.00	0.00
55.00	6.90	6.59	6.59	0.00	0.00	2.01	0.00	0.00	0.49	0.26	0.45	0.00	0.00	0.00	0.00	0.99	0.00	0.00	0.49	0.00	0.00	0.35	0.00	0.00
56.00	6.90	6.61	6.61	0.00	0.00	1.27	0.00	0.00	0.93	1.52	0.24	0.12	0.00	0.00	0.00	0.00	0.00	0.00	0.72	0.00	0.00	0.24	0.00	0.00
57.00	6.90	6.59	6.59	0.00	0.00	0.00	0.34	0.00	0.37	0.15	0.65	0.89	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.77	0.45	0.00	0.00
58.00	6.90	6.61	6.61	0.00	0.00	0.00	0.00	0.00	0.42	0.52	0.05	0.00	0.00	0.00	0.00	0.00	0.14	0.00	0.00	0.00	0.61	0.21	0.00	0.00
59.00	6.90	6.59	6.59	0.00	0.49	0.11	1.80	0.00	1.10	0.52	0.48	1.63	0.00	0.00	0.00	0.02	0.00	2.50	0.02	0.00	1.97	0.51	0.00	0.00
60.00	6.90	6.61	6.61	0.00	0.00	0.11	0.00	0.00	1.60	0.46	0.16	0.00	0.00	0.00	0.00	0.14	0.05	0.00	0.00	0.00	0.00	0.53	0.00	0.01
61.00	6.90	6.59	6.59	0.00	0.05	0.99	0.02	0.00	0.01	2.23	0.00	2.72	0.00	0.00	0.00	1.35	0.19	1.57	0.00	0.00	1.47	0.21	0.00	0.00
62.00	6.90	6.61	6.61	0.00	0.00	0.00	0.00	0.00	0.00	1.97	0.28	0.11	0.00	0.08	0.00	0.00	0.09	0.74	0.25	0.00	2.53	0.09	0.00	0.00
63.00	6.90	6.59	6.59	0.00	0.00	0.00	0.00	0.00	0.99	0.58	0.42	0.00	0.00	1.59	0.00	0.00	0.07	0.00	0.00	0.00	1.73	0.51	0.00	0.00
64.00	6.90	6.61	6.61	0.00	0.14	0.00	0.00	0.00	0.40	0.14	0.07	0.00	0.00	0.27	0.00	0.00	0.31	0.00	0.00	0.00	0.00	0.21	0.00	0.00
65.00	6.90	6.59	6.59	0.00	0.00	0.00	0.00	0.00	0.59	3.51	0.06	0.00	0.00	0.54	0.00	0.00	0.16	0.00	0.00	0.00	0.32	0.00	0.00	0.00
