Waf: Entering directory `/home/synrg-sc1/Desktop/Jiaming/ns-3.29-mesh/build'
Waf: Leaving directory `/home/synrg-sc1/Desktop/Jiaming/ns-3.29-mesh/build'
Build commands will be stored in build/compile_commands.json
'build' finished successfully (5.079s)
CreateVariables () DONE !!!
Creating 25 APs 50.00 m apart.
CreateApNodes () DONE !!!
Creating 0 CLs 20.00 m away from each AP.
CreateClNodes () DONE !!!
CreateNodes () DONE !!!
CreateMeshDevices () DONE !!!
CreateWifiDevices () DONE !!!
CreateCsmaDevices () DONE !!!
CreateDevices () DONE !!!
InstallInternetStack () DONE !!!
Gateway is connect to AP 0
InstallApplications () DONE !!!
Starting simulation for 120.00 s ...
-------------------------------------------------
Time[s]	ap-0	ap-1	ap-2	ap-3	ap-4	ap-5	ap-6	ap-7	ap-8	ap-9	ap-10	ap-11	ap-12	ap-13	ap-14	ap-15	ap-16	ap-17	ap-18	ap-19	ap-20	ap-21	ap-22	ap-23	ap-24
2.00	6.85	0.00	0.00	0.19	0.00	0.00	0.44	0.00	0.22	0.00	0.00	0.00	0.48	0.00	0.00	0.00	0.47	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
3.00	6.90	0.00	0.48	1.22	0.00	0.00	0.97	0.00	0.42	0.00	0.61	0.00	0.00	0.98	0.00	0.00	0.00	0.00	0.00	0.08	0.00	0.00	0.00	0.00	0.00
4.00	6.90	0.00	0.00	0.19	0.31	0.00	0.00	0.00	0.09	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.14	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
5.00	6.90	0.00	0.00	0.00	0.00	0.00	0.35	0.00	0.00	3.21	0.49	0.00	0.00	0.00	0.00	0.00	1.21	0.00	0.00	0.89	0.00	0.00	0.00	0.00	0.00
6.00	6.90	0.00	0.00	1.26	0.00	0.00	0.00	0.00	0.00	0.20	0.00	0.00	0.00	0.00	0.00	0.00	0.42	0.00	0.00	0.00	0.00	0.00	0.00	0.99	0.00
7.00	6.90	0.00	0.20	0.00	0.99	0.00	0.58	0.00	0.14	0.00	2.03	0.00	0.00	0.00	0.75	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.29	0.00	0.00
8.00	6.90	0.00	0.00	0.26	0.00	0.00	0.00	0.00	0.07	0.54	0.00	0.00	0.00	0.00	0.49	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
9.00	6.90	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.07	2.60	0.67	0.00	0.01	1.17	0.39	0.00	0.00	1.38	0.00	1.22	0.00	0.00	0.00	0.00	0.00
10.00	6.90	0.00	0.00	0.14	0.00	0.00	0.00	0.00	1.81	0.00	1.26	0.00	0.00	0.40	0.14	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
11.00	6.90	0.00	1.92	0.02	0.00	0.00	0.88	0.00	0.04	0.00	2.26	0.00	0.00	0.07	0.06	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.16	0.00	0.00
12.00	6.90	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.27	0.00	1.39	0.00	0.00	0.49	0.37	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
13.00	6.90	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.27	0.91	0.00	0.00	0.00	0.00	0.00	0.69	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
14.00	6.90	0.00	0.00	0.64	0.00	0.00	0.00	0.00	0.00	0.00	1.32	0.00	0.00	0.00	0.49	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
15.00	6.90	0.00	0.09	0.85	0.00	0.00	0.00	0.00	0.00	0.80	1.74	0.00	0.00	0.00	0.00	0.00	0.07	0.00	0.00	1.74	0.00	0.00	0.00	0.00	0.00
16.00	6.90	0.00	0.00	0.00	0.49	0.00	0.00	0.00	1.54	0.00	0.13	0.00	0.61	0.00	0.09	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.06	0.00
17.00	6.89	0.00	1.31	0.00	0.00	0.00	0.00	0.00	1.92	0.52	0.93	0.00	0.00	0.00	0.00	0.00	0.54	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
18.00	6.90	0.00	0.00	0.00	2.45	0.00	0.00	0.00	0.05	0.00	2.07	0.00	0.00	0.00	0.00	0.00	0.89	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
19.00	6.90	0.00	0.00	0.46	0.00	0.00	0.28	0.00	0.00	1.51	1.48	0.00	0.12	1.13	0.00	0.00	1.35	0.00	0.00	0.00	0.00	0.00	0.00	0.62	0.00
20.00	6.90	0.00	0.51	0.00	0.00	0.00	0.16	0.00	0.00	0.49	1.71	0.00	0.00	0.72	0.00	0.16	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.13	0.00
21.00	6.90	0.00	1.28	1.22	0.00	0.00	0.04	0.00	0.49	0.00	0.00	0.00	0.00	0.64	0.00	0.00	0.00	0.00	0.00	2.38	0.00	0.00	0.02	0.00	0.00
22.00	6.90	0.00	0.00	0.00	0.00	0.00	0.14	0.00	0.97	0.00	1.30	0.00	0.00	1.17	0.00	0.00	0.00	0.00	0.00	1.31	0.00	0.00	0.00	0.02	0.00
23.00	6.90	0.00	0.00	0.46	0.00	0.00	0.00	0.00	0.01	1.20	0.00	0.00	0.33	1.22	0.00	0.00	0.68	0.00	0.00	1.50	0.00	0.00	0.00	0.84	0.00
24.00	6.90	0.00	0.13	0.00	0.00	0.00	0.00	0.00	1.50	1.38	0.00	0.13	0.24	0.00	0.00	0.28	0.26	0.00	0.05	0.00	0.00	0.00	0.05	0.00	0.07
25.00	6.90	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.48	0.99	0.00	0.00	1.26	1.51	0.00	1.34	0.00	0.00	0.00	0.49	0.99	0.00	0.00	0.00	0.00
26.00	6.90	0.00	0.00	0.00	0.00	0.00	1.26	0.00	0.21	1.00	2.03	0.00	0.00	1.74	0.00	0.09	0.00	0.00	0.00	0.32	0.00	0.00	0.04	0.07	0.00
27.00	6.90	0.00	0.00	0.16	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.14	0.00	0.04	0.00	0.48	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
28.00	6.90	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.99	0.00	0.24	0.31	0.49	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
29.00	6.90	0.00	0.00	0.92	0.00	0.00	0.47	0.00	0.46	2.17	0.00	0.00	0.00	0.00	1.08	0.00	0.00	0.00	0.00	2.43	0.00	0.00	0.00	0.00	0.00
30.00	6.90	0.00	0.00	0.00	0.00	0.00	0.49	0.00	0.00	0.68	0.00	0.00	0.00	0.00	0.00	0.08	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
31.00	6.90	0.00	0.68	0.00	0.00	0.00	0.00	0.00	2.11	0.00	2.19	0.00	0.00	0.00	0.00	0.00	0.05	0.00	0.00	1.27	0.00	0.00	0.00	0.00	0.00
32.00	6.90	0.00	0.00	0.87	1.30	0.00	0.00	0.00	0.21	0.00	0.00	0.00	0.00	0.49	0.00	0.00	1.06	0.00	0.00	1.90	0.49	0.00	0.00	0.00	0.00
33.00	6.90	0.00	0.00	0.39	0.00	0.00	0.00	0.00	0.85	0.49	0.00	0.19	0.99	1.57	0.00	1.30	0.20	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
34.00	6.89	0.00	0.00	2.19	0.00	0.00	1.20	0.00	1.18	0.00	0.24	0.07	0.00	0.00	0.00	0.19	2.23	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
35.00	6.90	0.00	1.35	0.00	0.99	0.00	1.17	0.00	0.00	1.33	0.00	0.00	0.00	0.00	0.00	0.08	0.08	0.00	0.00	0.00	0.16	0.00	0.00	0.00	0.00
36.00	6.90	0.00	0.00	0.04	0.00	0.00	0.00	0.00	1.25	1.48	0.00	0.00	0.00	1.05	0.49	0.00	0.00	0.00	0.00	0.74	0.28	0.00	0.00	0.26	0.00
37.00	6.90	0.00	0.00	0.00	0.00	0.00	0.00	0.00	1.40	1.32	0.99	0.00	0.00	0.40	1.18	0.00	0.00	0.00	0.00	1.51	0.00	0.00	0.00	0.79	0.00
38.00	6.90	0.00	0.00	0.00	0.00	0.00	0.00	0.00	1.84	0.85	0.49	0.00	0.18	0.00	0.00	0.57	0.49	0.00	0.00	0.00	0.06	0.00	0.00	0.00	0.00
39.00	6.90	0.00	1.61	0.00	0.62	0.00	0.00	0.00	1.18	0.00	0.75	0.00	0.00	0.00	0.02	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
40.00	6.90	0.00	1.66	1.15	0.00	0.00	0.14	0.00	0.00	2.14	0.00	0.00	0.31	0.00	0.00	0.01	0.00	0.00	0.00	1.17	0.00	0.00	0.15	0.00	0.00
41.00	6.90	0.00	0.05	0.00	0.75	0.00	0.00	0.00	0.00	0.00	0.75	0.00	0.00	0.18	0.35	0.00	0.16	0.00	0.00	0.08	0.00	0.00	0.00	0.00	0.00
42.00	6.90	0.00	1.22	0.00	0.21	0.00	0.49	0.00	0.75	0.75	0.87	0.00	0.49	0.49	0.00	0.00	0.14	0.00	0.00	0.00	0.04	0.00	0.00	0.53	0.00
43.00	6.90	0.00	2.73	0.19	0.04	0.00	0.00	0.00	0.00	0.00	1.11	0.27	0.00	0.00	0.00	0.40	0.24	0.00	0.00	0.27	0.00	0.00	0.01	0.00	0.00
