Waf: Entering directory `/home/synrg462/sp2019-ns3-mesh/build'
Waf: Leaving directory `/home/synrg462/sp2019-ns3-mesh/build'
Build commands will be stored in build/compile_commands.json
'build' finished successfully (4.421s)
CreateVariables () DONE !!!
Creating 10 APs 50.00 m apart.
CreateApNodes () DONE !!!
Creating 0 CLs 20.00 m away from each AP.
CreateClNodes () DONE !!!
CreateNodes () DONE !!!
CreateMeshDevices () DONE !!!
CreateWifiDevices () DONE !!!
CreateCsmaDevices () DONE !!!
CreateDevices () DONE !!!
InstallInternetStack () DONE !!!
Gateway is connect to AP 0
InstallApplications () DONE !!!
Starting simulation for 120.00 s ...
-------------------------------------------------
Time[s]	ap-0	ap-1	ap-2	ap-3	ap-4	ap-5	ap-6	ap-7	ap-8	ap-9
2.00	7.20	6.59	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
3.00	7.20	6.59	0.00	0.00	0.00	0.00	0.00	1.41	0.00	0.00
4.00	7.21	6.61	0.00	1.51	0.00	0.00	0.00	0.66	0.00	0.00
5.00	7.20	6.59	0.00	1.80	0.00	0.00	0.00	0.94	0.00	0.00
6.00	7.21	6.61	0.00	1.30	0.00	0.00	0.00	2.20	0.04	0.20
7.00	7.20	6.59	0.00	0.00	0.00	0.00	0.00	2.61	0.00	1.41
8.00	7.20	6.61	0.00	0.00	0.00	0.00	0.00	2.41	0.00	1.15
9.00	7.21	6.59	0.00	1.78	0.00	0.00	0.00	2.53	0.00	1.74
10.00	7.20	6.61	0.00	5.09	0.00	0.00	0.00	0.81	0.00	1.44
11.00	7.21	6.59	0.00	3.27	0.00	0.00	0.00	2.52	0.00	0.00
12.00	7.20	6.61	0.00	0.00	0.00	0.00	0.00	3.60	0.00	0.00
13.00	7.20	6.59	0.00	2.13	0.00	0.00	0.00	0.79	0.00	0.00
14.00	7.21	6.61	0.00	1.97	0.00	0.00	0.00	0.00	0.00	0.00
15.00	7.20	6.59	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
16.00	7.21	6.59	0.00	0.00	0.00	0.00	0.00	0.00	0.00	1.32
17.00	7.20	6.61	0.00	0.31	0.00	0.00	0.00	2.25	0.00	1.31
