Waf: Entering directory `/home/synrg-sc1/Desktop/Jiaming/ns-3.29-mesh/build'
Waf: Leaving directory `/home/synrg-sc1/Desktop/Jiaming/ns-3.29-mesh/build'
Build commands will be stored in build/compile_commands.json
'build' finished successfully (5.033s)
CreateVariables () DONE !!!
Creating 10 APs 50.00 m apart.
CreateApNodes () DONE !!!
Creating 0 CLs 20.00 m away from each AP.
CreateClNodes () DONE !!!
CreateNodes () DONE !!!
CreateMeshDevices () DONE !!!
CreateWifiDevices () DONE !!!
CreateCsmaDevices () DONE !!!
CreateDevices () DONE !!!
InstallInternetStack () DONE !!!
Gateway is connect to AP 0
InstallApplications () DONE !!!
Starting simulation for 120.00 s ...
-------------------------------------------------
Time[s]	ap-0	ap-1	ap-2	ap-3	ap-4	ap-5	ap-6	ap-7	ap-8	ap-9
2.00	8.66	8.09	0.00	0.00	0.00	1.65	0.00	0.00	0.00	1.47
3.00	8.70	8.10	0.00	0.57	0.00	0.57	0.14	2.44	0.00	1.17
4.00	8.70	8.10	0.00	0.09	0.00	0.98	0.34	2.59	0.00	1.72
5.00	8.70	8.10	6.92	0.00	0.00	0.00	0.00	0.51	0.00	1.86
6.00	8.69	8.10	7.83	0.42	0.00	1.40	0.00	0.26	0.00	1.02
7.00	8.70	8.10	7.81	0.84	0.00	2.04	0.00	0.61	0.00	3.84
8.00	8.70	8.09	7.31	0.00	0.00	4.55	0.68	0.02	0.00	3.60
9.00	8.70	8.10	0.64	0.45	0.00	1.59	0.00	0.55	0.00	3.47
10.00	8.70	8.10	1.22	0.02	0.00	1.86	0.00	3.47	0.00	2.28
11.00	8.69	8.10	4.17	0.91	0.00	0.99	0.00	0.98	0.00	0.00
12.00	8.70	8.10	7.82	0.00	0.00	1.44	0.25	0.47	0.00	2.28
13.00	8.70	8.10	7.27	0.37	0.00	0.27	0.06	0.26	0.00	3.01
14.00	8.70	8.09	1.78	0.22	0.00	0.01	0.00	0.08	0.00	3.70
15.00	8.70	8.10	7.82	0.00	0.00	0.00	0.00	1.12	0.00	1.80
16.00	8.69	8.10	7.82	0.00	0.00	0.00	0.00	0.00	0.00	3.18
17.00	8.70	8.10	2.89	0.02	0.00	0.62	0.04	0.28	0.00	0.00
18.00	8.70	8.10	0.71	0.24	0.00	0.60	0.00	0.40	0.00	3.38
19.00	8.70	8.10	0.00	0.00	0.00	0.00	0.00	0.00	0.00	1.85
20.00	8.70	8.09	1.83	0.39	0.00	0.08	0.01	0.91	0.00	4.19
21.00	8.69	8.10	1.67	0.01	0.00	1.90	0.69	0.34	0.00	2.11
22.00	8.70	8.10	0.00	0.00	0.00	2.26	0.93	0.65	0.00	1.58
23.00	8.70	8.10	0.00	0.00	0.00	0.00	0.00	1.02	0.00	2.87
24.00	8.70	8.10	5.11	0.00	0.00	3.52	1.52	0.29	0.00	1.91
25.00	8.69	8.10	0.00	0.89	0.00	4.35	0.20	2.32	0.00	2.40
26.00	8.70	8.09	0.00	0.54	0.00	3.65	0.85	0.34	0.00	4.30
27.00	8.70	8.10	6.65	0.13	0.00	0.02	0.00	0.11	0.00	3.33
28.00	8.70	8.10	7.14	0.41	0.00	0.09	0.08	1.32	0.00	1.87
29.00	8.70	8.10	6.52	0.01	0.00	0.00	0.00	0.34	0.02	2.48
30.00	8.69	8.10	1.27	0.00	0.00	1.34	0.87	0.97	0.00	3.42
31.00	8.70	8.10	3.84	0.00	0.00	0.88	0.00	0.61	0.00	1.60
32.00	8.70	8.10	6.39	0.33	0.00	5.46	0.05	1.94	0.00	2.46
33.00	8.70	8.09	1.79	0.37	0.00	0.94	0.00	3.64	0.00	2.14
34.00	8.70	8.10	0.00	0.20	0.00	2.70	0.29	4.55	0.00	2.48
35.00	8.69	8.10	0.00	0.00	0.00	3.24	0.48	4.84	0.00	4.97
36.00	8.70	8.10	0.92	0.00	0.00	2.20	1.68	2.83	0.00	4.02
37.00	8.70	8.10	2.50	0.00	0.00	3.06	0.52	1.00	0.00	1.54
38.00	8.70	8.10	7.80	0.00	0.00	5.41	0.00	0.00	0.00	0.00
39.00	8.70	8.09	7.74	0.33	0.00	1.55	0.06	1.19	0.00	1.75
40.00	8.69	8.10	6.77	0.79	0.00	1.17	0.16	1.04	0.00	2.65
41.00	8.70	8.10	7.78	0.27	0.00	0.00	0.00	0.04	0.00	2.31
42.00	8.70	8.10	1.86	1.02	0.00	2.70	0.34	2.16	0.00	2.57
43.00	8.70	8.10	2.61	0.67	0.00	0.22	0.48	2.10	0.00	2.32
