Waf: Entering directory `/home/synrg-sc1/Desktop/Jiaming/ns-3.29-mesh/build'
Waf: Leaving directory `/home/synrg-sc1/Desktop/Jiaming/ns-3.29-mesh/build'
Build commands will be stored in build/compile_commands.json
'build' finished successfully (4.953s)
CreateVariables () DONE !!!
Creating 11 APs 50.00 m apart.
CreateApNodes () DONE !!!
Creating 0 CLs 20.00 m away from each AP.
CreateClNodes () DONE !!!
CreateNodes () DONE !!!
CreateMeshDevices () DONE !!!
CreateWifiDevices () DONE !!!
CreateCsmaDevices () DONE !!!
CreateDevices () DONE !!!
InstallInternetStack () DONE !!!
Gateway is connect to AP 0
InstallApplications () DONE !!!
Starting simulation for 120.00 s ...
-------------------------------------------------
Time[s]	ap-0	ap-1	ap-2	ap-3	ap-4	ap-5	ap-6	ap-7	ap-8	ap-9	ap-10
2.00	8.07	8.09	6.29	0.00	0.00	0.18	2.52	1.61	2.19	0.00	0.00
3.00	8.10	8.10	6.30	0.29	1.34	0.35	0.00	1.84	1.77	0.00	0.00
4.00	8.10	8.10	6.30	0.00	1.02	0.37	0.57	1.84	0.52	1.37	0.00
5.00	8.10	8.10	6.30	0.00	0.62	1.63	1.79	0.39	0.19	0.00	0.00
6.00	8.10	8.10	6.30	0.00	3.51	2.30	0.00	0.29	0.00	0.05	0.00
7.00	8.10	8.10	6.30	0.00	4.82	5.44	0.00	0.08	0.00	0.00	0.00
8.00	8.09	8.09	6.30	0.00	4.59	5.38	0.00	0.00	0.00	0.00	0.00
9.00	8.10	8.10	6.30	0.00	4.68	5.38	0.00	1.22	4.47	0.00	0.00
10.00	8.10	8.10	6.30	0.00	4.40	1.63	0.00	0.16	1.04	0.00	0.00
11.00	8.10	8.10	6.30	0.00	3.34	3.50	0.00	0.82	0.00	0.00	0.00
12.00	8.10	8.10	6.30	0.00	4.05	4.55	2.13	1.27	0.00	0.00	0.00
13.00	8.10	8.10	6.30	0.00	4.58	4.31	0.49	0.00	0.00	0.00	0.00
14.00	8.09	8.09	6.30	0.69	3.13	0.00	0.00	2.20	1.98	0.00	0.00
15.00	8.10	8.10	6.30	0.04	3.98	4.47	1.41	0.47	0.00	0.00	0.00
16.00	8.10	8.10	6.30	0.00	3.96	3.11	0.39	0.07	0.00	0.00	0.00
17.00	8.10	8.10	6.30	0.00	1.44	0.49	0.00	0.00	0.49	1.61	0.00
18.00	8.10	8.10	6.30	0.01	0.98	1.97	1.63	1.73	0.05	0.54	0.00
